Shotgun Surgery,ResourceReader.getResourcePaths,394,1
Shotgun Surgery,ContentReader.getCoreNodeMetadata,402,1
Shotgun Surgery,ContentReader.getFullNodeMetadata,403,1
Shotgun Surgery,ContentReader.getChildNodePaths,404,1
Shotgun Surgery,ContentReader.readResource,405,1
Shotgun Surgery,ResourceURI.toURI,438,1
Shotgun Surgery,ContentManager.invalidateNode,439,1
Shotgun Surgery,UserDAO.findByUserId,443,1
Shotgun Surgery,ResourcePath.toString,446,1
Shotgun Surgery,ResourcePath.getNodePath,448,1
Shotgun Surgery,ResourcePath.getResourceName,449,1
Shotgun Surgery,ResourceManager.deleteResource,451,1
Shotgun Surgery,PipelineBuilder.getPipeline,460,1
Shotgun Surgery,PipelineBuilder.useStrictErrorHandling,461,1
Shotgun Surgery,PipelineBuilder.useNullEntityResolver,462,1
Shotgun Surgery,PipelineBuilder.useResourceURIResolver,463,1
Shotgun Surgery,RenderingPipelineBuilder.addNodeInformationWrapperStep,467,1
Shotgun Surgery,RenderingPipelineBuilder.addConfiguredTransformStep,469,1
Shotgun Surgery,RenderingPipelineBuilder.addXHTMLLinkFixerStep,471,1
Shotgun Surgery,RenderingPipelineBuilder.addSerializerAndExecute,472,1
Shotgun Surgery,LocalResourceResult.getResultFile,480,1
Shotgun Surgery,LocalResourceResult.getValidationResult,481,1
Shotgun Surgery,LocalResourceResult.validationFailed,482,1
Refused Parent Bequest,ContentManagerImplMoveTest,11,1
Refused Parent Bequest,ContentManagerImplTest,46,1
Refused Parent Bequest,FullNodeMetadata,53,1
Refused Parent Bequest,ResourceURIResolverTest,60,1
Refused Parent Bequest,ContentManagerHelper,75,1
Refused Parent Bequest,AbstractDeploymentPaperBundlingNodeVisitor,78,1
Refused Parent Bequest,ResourceURIResolver,127,1
Refused Parent Bequest,AbstractNodeVisitor,182,1
Refused Parent Bequest,Bundler,228,1
Refused Parent Bequest,ContentManagerImplCopyTest,265,1
Refused Parent Bequest,ContentManagerImplCreateNodeTest,277,1
Refused Parent Bequest,ZipBuildingNodeVisitor,284,1
Refused Parent Bequest,MetadataValidator,298,1
Refused Parent Bequest,ContentPageViewsTest,308,1
Refused Parent Bequest,DeploymentViewsTest,313,1
Refused Parent Bequest,ContentManagerImplDeleteNodeTest,325,1
Refused Parent Bequest,ContentManagerImpl,342,1
Refused Parent Bequest,ContentManagerImplCheckoutTest,345,1
Refused Parent Bequest,ProcessorControllerTest,347,1
Refused Parent Bequest,MCQViewsTest,348,1
Refused Parent Bequest,CharBufferPipingReaderCallback,374,1
Refused Parent Bequest,EditableNodeMetadata,379,1
Refused Parent Bequest,AardvarkLinkChecker,380,1
Refused Parent Bequest,StaticResourceResolverTest,408,1
Refused Parent Bequest,ValidationPreTests,409,1
Refused Parent Bequest,NodeInformationWrapperFilter,410,1
Refused Parent Bequest,AbstractContentManagerImplCommitTest,425,1
Refused Parent Bequest,ConfigurationResourceHelper,430,1
Refused Parent Bequest,SimpleCourseBasedAccessManager,434,1
Refused Parent Bequest,RenderingPipelineBuilder,473,1
Refused Parent Bequest,ContentManagerImplDeepCopyTest,484,1
Intensive Coupling,MetadataIndex.put,17,1
Intensive Coupling,TypesManager.registerTypesBean,30,1
Intensive Coupling,FlashMovieSettingsReaderStrategy.startContainerElement,117,1
Intensive Coupling,SnuggleTeXTestCase.canonicaliseXml,167,1
Intensive Coupling,MetadataFilterConditionCallback.handleCondition,184,1
Intensive Coupling,FullNodeMetadataReaderStrategy.textElement,189,1
Intensive Coupling,SimpleFilesystemResourceManager.checkStoreConsistency,194,1
Intensive Coupling,UserValidator.getValidationErrors,216,1
Intensive Coupling,WorkshopEditingStrategy.doTextSearchAndReplaceOnSourceResource,247,1
Intensive Coupling,DeploymentEditingStrategy.doTextSearchAndReplaceOnSourceResource,295,1
Intensive Coupling,ContentEditorImpl.doTextSearch,367,1
Intensive Coupling,FullNodeMetadataWriterStrategy.fireDocumentEvents,392,1
Intensive Coupling,NodeNumberingInformationWriterStrategy.fireDocumentEvents,398,1
Intensive Coupling,JavaNodeDescriptorWriterStrategy.fireDocumentEvents,412,1
Intensive Coupling,RequestLockManager.acquireLock,420,1
Intensive Coupling,ResourceURI.fromURI,437,1
Intensive Coupling,ResourcePath.fromString,445,1
