SmellMetrics,Seg, 4 jun 2018 18:15:49 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.felix.gogo.commands.Option.name()",n/a,13,1,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.Option.required()",n/a,2,1,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.Option.valueToShowInHelp()",n/a,5,1,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.SubShell.description()",n/a,1,0,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.SubShell.detailedDescription()",n/a,1,0,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.SubShell.name()",n/a,1,0,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.basic.AbstractCommand.createNewAction()",n/a,4,0,n/a,n/a,0,n/a,n/a
"org.apache.felix.gogo.commands.basic.AbstractCommand.execute(CommandSession,List<Object>)",5,0,n/a,12,2,2,6,2
"org.apache.felix.gogo.commands.basic.AbstractCommand.getActionClass()",2,5,n/a,3,0,0,1,1
"org.apache.felix.gogo.commands.basic.AbstractCommand.getPreparator()",1,1,n/a,3,0,0,1,1
"org.apache.felix.gogo.commands.basic.AbstractCommand.releaseAction(Action)",0,3,n/a,9,0,1,0,1
"org.apache.felix.gogo.commands.basic.ActionPreparator.prepare(Action,CommandSession,List<Object>)",n/a,1,1,n/a,n/a,3,n/a,n/a
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.convert(Action,CommandSession,Object,Type)",5,2,n/a,6,1,4,3,3
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.getWidth(CommandSession)",1,1,n/a,4,0,1,2,3
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.length(String)",1,1,n/a,3,0,1,1,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.loadDescription(Class,String)",14,1,n/a,30,4,2,17,7
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.prepare(Action,CommandSession,List<Object>)",177,1,n/a,3,6,3,131,50
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printDefaultsTo(PrintStream,String)",3,3,n/a,5,0,2,3,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printFormatted(String,String,int,PrintStream)",1,3,n/a,4,0,4,1,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printFormatted(String,String,int,PrintStream,boolean)",12,1,n/a,26,4,5,17,8
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printObjectDefaultsTo(PrintStream,Object)",3,2,n/a,7,1,2,2,6
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printUsage(CommandSession,Action,Map<Option, Field>,Map<Argument, Field>,PrintStream)",104,1,n/a,3,7,5,73,28
"org.apache.felix.gogo.commands.converter.DefaultConverter.DefaultConverter(Object)",0,1,n/a,3,0,1,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.convert(Object,ReifiedType)",26,12,n/a,29,2,2,20,19
"org.apache.felix.gogo.commands.converter.DefaultConverter.convert(Object,Type)",2,1,n/a,3,0,2,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertFromString(String,Class,Object)",39,1,n/a,67,2,3,53,29
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToArray(Object,ReifiedType)",17,1,n/a,23,2,2,16,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToCollection(Object,ReifiedType)",14,1,n/a,22,3,2,14,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToDictionary(Object,ReifiedType)",18,1,n/a,25,3,2,16,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToMap(Object,ReifiedType)",20,1,n/a,25,3,2,16,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToNumber(Number,Class)",16,3,n/a,26,1,2,22,11
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertWithConverters(Object,ReifiedType)",0,1,n/a,12,0,2,2,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.createObject(String,Class)",9,1,n/a,16,1,2,9,5
"org.apache.felix.gogo.commands.converter.DefaultConverter.getCollection(Class)",5,1,n/a,15,1,1,11,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.getMap(Class)",3,1,n/a,11,1,1,7,4
"org.apache.felix.gogo.commands.converter.DefaultConverter.getRealCause(Throwable)",2,1,n/a,6,1,1,3,3
"org.apache.felix.gogo.commands.converter.DefaultConverter.hasDefaultConstructor(Class)",8,2,n/a,16,2,1,9,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.isAssignable(Object,ReifiedType)",6,1,n/a,5,0,2,1,3
"org.apache.felix.gogo.commands.converter.DefaultConverter.toClass(ReifiedType)",1,10,n/a,3,0,1,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.unwrap(Class)",1,5,n/a,4,0,1,2,2
"org.apache.felix.gogo.commands.converter.GenericType.GenericType(Class,GenericType...)",1,3,n/a,4,0,2,2,1
