Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"csidekick.node.TigerNode.setStartLocation(Location)",1,1,1
"csidekick.node.TigerNode.toString()",1,1,1
"csidekick.node.Type.Type()",1,1,1
"csidekick.node.Type.Type(Type)",1,2,2
"csidekick.node.Type.canAdd(TigerNode)",1,1,1
"csidekick.node.Type.dimString()",1,1,2
"csidekick.node.Type.getDimensions()",1,1,1
"csidekick.node.Type.getName()",1,1,1
"csidekick.node.Type.getOrdinal()",1,1,1
"csidekick.node.Type.getType()",1,2,2
"csidekick.node.Type.getTypeParams()",1,1,2
"csidekick.node.Type.isArray()",1,1,1
"csidekick.node.Type.setDimensions(int)",1,1,1
"csidekick.node.Type.setIsArray(boolean)",1,1,1
"csidekick.node.Type.toString()",1,1,1
"csidekick.parser.CPPSideKickParser.CPPSideKickParser()",1,1,1
"csidekick.parser.CPPSideKickParser.parse(Buffer,DefaultErrorSource)",1,1,1
"csidekick.parser.CSideKickParser.CSideKickParser()",1,1,1
"csidekick.parser.CSideKickParser.parse(Buffer,DefaultErrorSource)",1,1,1
"csidekick.parser.cpp.ClassScope.AddSuper(Scope)",2,1,3
"csidekick.parser.cpp.ClassScope.ClassScope(String,Scope)",1,1,1
"csidekick.parser.cpp.ClassScope.IsTypeName(String)",5,2,5
"csidekick.parser.cpp.Scope.GetScope(String)",2,1,3
"csidekick.parser.cpp.Scope.IsTypeName(String)",1,1,1
"csidekick.parser.cpp.Scope.PutTypeName(String)",1,1,1
"csidekick.parser.cpp.Scope.PutTypeName(String,Scope)",1,1,1
"csidekick.parser.cpp.Scope.Scope(Scope)",1,1,1
"csidekick.parser.cpp.Scope.Scope(String,boolean,Scope)",1,1,1
"csidekick.parser.cpp.SymtabManager.CloseScope()",1,1,1
"csidekick.parser.cpp.SymtabManager.GetCurScope()",1,1,1
"csidekick.parser.cpp.SymtabManager.GetScope(String)",3,2,3
"csidekick.parser.cpp.SymtabManager.GetScopeOfFullyScopedName(String)",5,5,6
