Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"xml.parser.XercesParserImpl.Handler.Handler(Buffer,String,DefaultErrorSource,XmlParsedData)",1,1,1
"xml.parser.XercesParserImpl.Handler.addError(int,String,int,String)",1,1,1
"xml.parser.XercesParserImpl.Handler.attributeDecl(String,String,String,String,String)",2,4,5
"xml.parser.XercesParserImpl.Handler.characters(char[],int,int)",2,1,2
"xml.parser.XercesParserImpl.Handler.elementDecl(String,String)",1,2,2
"xml.parser.XercesParserImpl.Handler.endDocument()",1,3,3
"xml.parser.XercesParserImpl.Handler.endElement(String,String,String)",4,2,5
"xml.parser.XercesParserImpl.Handler.endPrefixMapping(String)",3,5,5
"xml.parser.XercesParserImpl.Handler.error(SAXParseException)",1,2,2
"xml.parser.XercesParserImpl.Handler.externalEntityDecl(String,String,String)",2,1,2
"xml.parser.XercesParserImpl.Handler.fatalError(SAXParseException)",1,2,2
"xml.parser.XercesParserImpl.Handler.findTagStart(int)",3,2,3
"xml.parser.XercesParserImpl.Handler.getModelForNamespace(String)",1,3,3
"xml.parser.XercesParserImpl.Handler.internalEntityDecl(String,String)",2,1,2
"xml.parser.XercesParserImpl.Handler.modelToCompletionInfo(XSModel)",1,3,3
"xml.parser.XercesParserImpl.Handler.resolveEntity(XMLResourceIdentifier)",2,3,3
"xml.parser.XercesParserImpl.Handler.setDocumentLocator(Locator)",1,1,1
"xml.parser.XercesParserImpl.Handler.startElement(String,String,String,Attributes)",4,5,8
"xml.parser.XercesParserImpl.Handler.startPrefixMapping(String,String)",1,1,1
"xml.parser.XercesParserImpl.Handler.warning(SAXParseException)",1,2,2
"xml.parser.XercesParserImpl.StoppedException.StoppedException()",1,1,1
"xml.parser.XercesParserImpl.XercesParserImpl()",1,1,1
"xml.parser.XercesParserImpl.parse(Buffer,DefaultErrorSource)",2,9,11
"xml.parser.XercesParserImpl.xsElementToElementDecl(XSNamedMap,CompletionInfo,XSElementDeclaration,ElementDecl)",2,12,16
"xml.parser.XercesParserImpl.xsTermToElementDecl(XSNamedMap,CompletionInfo,XSTerm,ElementDecl)",1,4,4
"xml.parser.XmlParser.XmlParser(String)",1,1,1
"xml.parser.XmlParser.activate(EditPane)",1,2,2
"xml.parser.XmlParser.complete(EditPane,int)",13,29,41
"xml.parser.XmlParser.deactivate(EditPane)",1,1,1
"xml.parser.XmlParser.getInstantCompletionTriggers()",1,1,1
"xml.parser.XmlParser.stop()",1,1,1
"xml.parser.XmlParser.supportsCompletion()",1,1,1
"xml.parser.XmlTag.XmlTag(String,Position,Attributes)",1,3,5
"xml.parser.XmlTag.getIcon()",1,1,2
"xml.parser.XmlTag.getLongString()",1,1,1
"xml.parser.XmlTag.getShortString()",5,2,5
"xml.parser.XmlTag.toString()",1,1,1

Class,OCavg,WMC
"csidekick.CSideKickOptionPane","1,00",3
"csidekick.Plugin",n/a,0
"csidekick.Project","1,00",3
"csidekick.ProjectProperties","1,12",9
"csidekick.node.BlockNode","1,00",3
"csidekick.node.CUNode","1,64",18
"csidekick.node.ClassNode","2,29",16
"csidekick.node.ConstructorNode","2,36",26
"csidekick.node.IncludeNode","1,00",3
"csidekick.node.Location","2,00",8
"csidekick.node.ModifierSet","2,00",32
"csidekick.node.Results","1,00",12
"csidekick.node.TigerLabeler","12,80",64
"csidekick.node.TigerNode","1,39",39
"csidekick.node.Type","1,31",17
"csidekick.parser.CPPSideKickParser","1,00",2
"csidekick.parser.CSideKickParser","1,00",2
"csidekick.parser.cpp.ClassScope","3,00",9
"csidekick.parser.cpp.Scope","1,17",7
"csidekick.parser.cpp.SymtabManager","2,55",28
"sidekick.java.node.ExtendsNode","1,00",3
"sidekick.java.node.MethodNode","2,38",31
"sidekick.java.node.Parameter","1,00",7
"textfilter.ActionManager","1,78",16
"textfilter.ApplicationChooserDialog","6,00",24
"textfilter.ApplicationRunner","11,00",22
"textfilter.CmdExec","2,33",28
"textfilter.CmdExec.InputTask","5,00",5
"textfilter.CmdExec.OutputTask","3,00",3
"textfilter.CmdExec.Timeout","1,00",1
"textfilter.EditActionComparator","1,00",1
"textfilter.FilterAction","1,00",7
"textfilter.RemoveFilterDialog","2,33",7
"textfilter.RemoveFilterDialog.EAListRenderer","1,00",1
"textfilter.TFMenuProvider","3,50",7
"textfilter.TextFilterPlugin","1,00",2
"xml.CatalogManager","4,07",61
"xml.CatalogManager.Entry","1,33",4
"xml.CatalogManager.VFSUpdateHandler","4,00",4
"xml.EditTagDialog","3,86",27
"xml.EditTagDialog.ActionHandler","4,00",4
"xml.EditTagDialog.Attribute","1,00",1
"xml.EditTagDialog.Attribute.Value","1,00",2
"xml.EditTagDialog.AttributeCompare","3,00",3
"xml.EditTagDialog.AttributeTable","2,00",4
"xml.EditTagDialog.AttributeTableModel","4,00",32
"xml.EditTagDialog.ComboValueRenderer","1,00",4
"xml.Resolver","3,29",56
"xml.Resolver.Entry","1,33",4
"xml.TagHighlight","2,50",5
"xml.XmlActions","5,33",96
"xml.XmlInsert","3,17",38
"xml.XmlInsert.ArrayListModel","1,00",5
"xml.XmlInsert.CaretHandler","2,00",2
"xml.XmlInsert.MouseHandler","18,00",18
"xml.XmlListCellRenderer","10,00",10
"xml.XmlListCellRenderer.CDATA",n/a,0
"xml.XmlListCellRenderer.ClosingTag","1,00",1
"xml.XmlListCellRenderer.Comment",n/a,0
"xml.XmlParsedData","4,29",30
"xml.XmlPlugin","4,00",20
"xml.XmlPlugin.TagMouseHandler","2,00",4
"xml.completion.AntCompleteTask","3,73",41
"xml.completion.CompletionInfo","2,08",25
"xml.completion.CompletionInfoHandler","2,83",17
"xml.completion.ElementDecl","3,18",35
"xml.completion.ElementDecl.AttributeDecl","2,00",4
"xml.completion.ElementDecl.Compare","1,00",1
"xml.completion.EntityDecl","1,67",5
"xml.completion.EntityDecl.Compare","2,00",2
"xml.completion.IDDecl","1,00",2
"xml.completion.IDDecl.Compare","1,00",1
"xml.completion.XmlCompletion","4,00",28
"xml.completion.XsdElementDecl","2,00",6
"xml.options.CatalogsOptionPane","1,50",6
"xml.options.CatalogsOptionPane.ActionHandler","5,00",5
"xml.options.CatalogsOptionPane.ListHandler","1,00",1
"xml.options.GeneralOptionPane","1,00",3
"xml.parser.SAXParserImpl","4,00",20
"xml.parser.SAXParserImpl.Handler","2,65",53
"xml.parser.SAXParserImpl.StoppedException","1,00",1
"xml.parser.TagParser","11,67",70
"xml.parser.TagParser.Tag","3,00",6
"xml.parser.XercesParserImpl","5,75",23
"xml.parser.XercesParserImpl.Handler","2,65",53
"xml.parser.XercesParserImpl.StoppedException","1,00",1
"xml.parser.XmlParser","5,14",36
"xml.parser.XmlTag","2,60",13

Package,v(G)avg,v(G)tot
"","3,92",635
"completion","3,20",189
"csidekick","1,21",17
"csidekick.node","2,20",297
"csidekick.parser","1,00",4
"csidekick.parser.cpp","2,35",47
"options","1,67",15
"parser","4,77",339

Module,v(G)avg,v(G)tot
"jedit-svn-281","3,26",1.543

Project,v(G)avg,v(G)tot
"project","3,26",1.543

