Martin packaging metrics,Qua, 13 dez 2017 16:38:24 BRST
Package,A,Ca,Ce,D,I
"net.sourceforge.jvlt","0,00",11,1,"0,92","0,08"
"net.sourceforge.jvlt.actions","0,27",43,25,"0,37","0,37"
"net.sourceforge.jvlt.core","0,05",121,18,"0,82","0,11"
"net.sourceforge.jvlt.event","0,39",71,21,"0,38","0,30"
"net.sourceforge.jvlt.io","0,16",37,42,"0,31","0,55"
"net.sourceforge.jvlt.metadata","0,11",69,46,"0,49","0,35"
"net.sourceforge.jvlt.model","0,20",32,23,"0,38","0,42"
"net.sourceforge.jvlt.multimedia","0,20",18,12,"0,40","0,40"
"net.sourceforge.jvlt.os","0,33",4,5,"0,11","0,50"
"net.sourceforge.jvlt.query","0,12",31,23,"0,46","0,43"
"net.sourceforge.jvlt.quiz","0,00",6,7,"0,46","0,54"
"net.sourceforge.jvlt.tools","0,00",2,13,"0,13","0,87"
"net.sourceforge.jvlt.ui","0,00",13,34,"0,28","0,76"
"net.sourceforge.jvlt.ui.components","0,09",84,72,"0,45","0,43"
"net.sourceforge.jvlt.ui.dialogs","0,07",60,73,"0,38","0,58"
"net.sourceforge.jvlt.ui.io","0,04",26,111,"0,15","0,84"
"net.sourceforge.jvlt.ui.quiz","0,09",23,123,"0,07","0,86"
"net.sourceforge.jvlt.ui.table","0,00",20,16,"0,56","0,50"
"net.sourceforge.jvlt.ui.utils","0,00",33,9,"0,79","0,23"
"net.sourceforge.jvlt.ui.vocabulary","0,02",51,163,"0,22","0,81"
"net.sourceforge.jvlt.ui.vocabulary.entrydialog","0,12",29,109,"0,09","0,80"
"net.sourceforge.jvlt.ui.wizard","0,60",13,11,"0,06","0,48"
"net.sourceforge.jvlt.utils","0,05",100,7,"0,88","0,07"

