Complexity metrics,Ter, 12 dez 2017 11:11:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.qpid.qmf2.agent.QueryWorkItem.getUserId()",1,1,1
"org.apache.qpid.qmf2.agent.ResubscribeParams.ResubscribeParams(Map)",1,1,1
"org.apache.qpid.qmf2.agent.ResubscribeParams.getLifetime()",1,1,1
"org.apache.qpid.qmf2.agent.ResubscribeParams.getSubscriptionId()",2,2,2
"org.apache.qpid.qmf2.agent.ResubscribeParams.getUserId()",1,1,1
"org.apache.qpid.qmf2.agent.ResubscribeRequestWorkItem.ResubscribeRequestWorkItem(Handle,ResubscribeParams)",1,1,1
"org.apache.qpid.qmf2.agent.ResubscribeRequestWorkItem.getResubscribeParams()",1,1,1
"org.apache.qpid.qmf2.agent.SubscribeRequestWorkItem.SubscribeRequestWorkItem(Handle,SubscriptionParams)",1,1,1
"org.apache.qpid.qmf2.agent.SubscribeRequestWorkItem.getSubscriptionParams()",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.Subscription(SubscribableAgent,SubscriptionParams)",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.cancel()",1,2,2
"org.apache.qpid.qmf2.agent.Subscription.getConsoleHandle()",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.getDuration()",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.getInterval()",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.getQuery()",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.getSubscriptionId()",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.publish(List<Map>)",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.refresh(ResubscribeParams)",1,1,1
"org.apache.qpid.qmf2.agent.Subscription.run()",1,6,6
"org.apache.qpid.qmf2.agent.Subscription.setDuration(long)",2,1,5
"org.apache.qpid.qmf2.agent.Subscription.setInterval(long)",1,1,3
"org.apache.qpid.qmf2.agent.SubscriptionParams.SubscriptionParams(Handle,Map)",1,1,1
"org.apache.qpid.qmf2.agent.SubscriptionParams.getConsoleHandle()",1,1,1
"org.apache.qpid.qmf2.agent.SubscriptionParams.getLifetime()",1,1,1
"org.apache.qpid.qmf2.agent.SubscriptionParams.getPublishInterval()",1,1,1
"org.apache.qpid.qmf2.agent.SubscriptionParams.getQuery()",1,1,1
"org.apache.qpid.qmf2.agent.SubscriptionParams.getUserId()",1,1,1
"org.apache.qpid.qmf2.agent.UnsubscribeRequestWorkItem.UnsubscribeRequestWorkItem(String)",1,1,1
"org.apache.qpid.qmf2.agent.UnsubscribeRequestWorkItem.getSubscriptionId()",1,1,1
"org.apache.qpid.qmf2.common.AMQPMessage.AMQPMessage()",1,1,1
"org.apache.qpid.qmf2.common.AMQPMessage.createListMessage(Session)",1,1,1
"org.apache.qpid.qmf2.common.AMQPMessage.getContentType(Message)",1,1,1
"org.apache.qpid.qmf2.common.AMQPMessage.getList(Message)",4,5,5
"org.apache.qpid.qmf2.common.AMQPMessage.getMap(Message)",4,6,7
"org.apache.qpid.qmf2.common.AMQPMessage.isAMQPList(Message)",2,2,3
"org.apache.qpid.qmf2.common.AMQPMessage.isAMQPMap(Message)",2,3,4
"org.apache.qpid.qmf2.common.AMQPMessage.setContentType(Message,String)",1,1,1
"org.apache.qpid.qmf2.common.AMQPMessage.setList(Message,List)",4,3,4
"org.apache.qpid.qmf2.common.BlockingNotifier.indication()",1,1,1
"org.apache.qpid.qmf2.common.BlockingNotifier.waitForWorkItem()",2,2,3
"org.apache.qpid.qmf2.common.BooleanEquals.BooleanEquals()",1,1,1
"org.apache.qpid.qmf2.common.BooleanEquals.BooleanEquals(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanEquals.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanEquals.evaluate(QmfData)",2,1,3
"org.apache.qpid.qmf2.common.BooleanExists.BooleanExists()",1,1,1
