Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.AntClassLoader.buildFinished(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.buildStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.cleanup()",1,3,4
"org.apache.tools.ant.AntClassLoader.defineClassFromData(File,byte[],String)",1,1,1
"org.apache.tools.ant.AntClassLoader.definePackage(File,String)",3,2,4
"org.apache.tools.ant.AntClassLoader.definePackage(File,String,Manifest)",1,12,13
"org.apache.tools.ant.AntClassLoader.findBaseClass(String)",1,2,2
"org.apache.tools.ant.AntClassLoader.findClass(String)",1,1,1
"org.apache.tools.ant.AntClassLoader.findClassInComponents(String)",3,4,5
"org.apache.tools.ant.AntClassLoader.findResources(String)",1,1,1
"org.apache.tools.ant.AntClassLoader.findResources(String,boolean)",3,7,7
"org.apache.tools.ant.AntClassLoader.forceLoadClass(String)",1,2,2
"org.apache.tools.ant.AntClassLoader.forceLoadSystemClass(String)",1,2,2
"org.apache.tools.ant.AntClassLoader.getCertificates(File,String)",3,2,4
"org.apache.tools.ant.AntClassLoader.getClassFilename(String)",1,1,1
"org.apache.tools.ant.AntClassLoader.getClassFromStream(InputStream,String,File)",1,2,2
"org.apache.tools.ant.AntClassLoader.getClasspath()",1,3,3
"org.apache.tools.ant.AntClassLoader.getConfiguredParent()",1,1,1
"org.apache.tools.ant.AntClassLoader.getJarManifest(File)",3,1,3
"org.apache.tools.ant.AntClassLoader.getNamedResources(String)",1,1,1
"org.apache.tools.ant.AntClassLoader.getResource(String)",1,14,14
"org.apache.tools.ant.AntClassLoader.getResourceAsStream(String)",1,10,10
"org.apache.tools.ant.AntClassLoader.getResourceStream(File,String)",6,7,8
"org.apache.tools.ant.AntClassLoader.getResourceURL(File,String)",7,9,11
"org.apache.tools.ant.AntClassLoader.getRootLoader()",1,3,3
"org.apache.tools.ant.AntClassLoader.initializeClass(Class<?>)",1,3,5
"org.apache.tools.ant.AntClassLoader.isInPath(File)",1,1,1
"org.apache.tools.ant.AntClassLoader.isParentFirst(String)",5,3,5
"org.apache.tools.ant.AntClassLoader.isZip(File)",2,5,5
"org.apache.tools.ant.AntClassLoader.loadBaseResource(String)",1,2,2
"org.apache.tools.ant.AntClassLoader.loadClass(String,boolean)",4,5,7
"org.apache.tools.ant.AntClassLoader.loadResource(String)",1,3,3
"org.apache.tools.ant.AntClassLoader.log(String,int)",1,2,2
"org.apache.tools.ant.AntClassLoader.messageLogged(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.newAntClassLoader(ClassLoader,Project,Path,boolean)",2,2,2
"org.apache.tools.ant.AntClassLoader.readFully(File,byte[])",3,2,3
"org.apache.tools.ant.AntClassLoader.resetThreadContextLoader()",1,3,3
"org.apache.tools.ant.AntClassLoader.setClassPath(Path)",1,3,4
"org.apache.tools.ant.AntClassLoader.setIsolated(boolean)",1,1,1
"org.apache.tools.ant.AntClassLoader.setParent(ClassLoader)",1,2,2
"org.apache.tools.ant.AntClassLoader.setParentFirst(boolean)",1,1,1
"org.apache.tools.ant.AntClassLoader.setProject(Project)",1,2,2
"org.apache.tools.ant.AntClassLoader.setThreadContextLoader()",2,4,5
"org.apache.tools.ant.AntClassLoader.subBuildFinished(BuildEvent)",1,2,2
"org.apache.tools.ant.AntClassLoader.subBuildStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.targetFinished(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.targetStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.taskFinished(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.taskStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.AntClassLoader.toString()",1,1,1
"org.apache.tools.ant.AntTypeDefinition.checkClass(Project)",5,6,7
"org.apache.tools.ant.AntTypeDefinition.create(Project)",1,1,1
