Martin packaging metrics,Qua, 13 dez 2017 15:47:51 BRST
Package,A,Ca,Ce,D,I
"common","0,20",49,23,"0,48","0,31"
"controller","0,17",125,96,"0,39","0,31"
"controller.color","0,00",4,4,"0,50","0,50"
"controller.filter","0,05",25,66,"0,23","0,74"
"controller.filter.condition","0,16",10,59,"0,01","0,86"
"controller.filter.util","0,14",8,3,"0,58","0,25"
"controller.printpreview","0,00",1,3,"0,25","0,75"
"extensions","0,44",54,33,"0,18","0,36"
"main","0,17",140,44,"0,59","0,22"
"modes","0,50",194,120,"0,12","0,36"
"modes.attributes","0,50",6,1,"0,36","0,14"
"modes.browsemode","0,00",3,41,"0,07","0,97"
"modes.common","0,25",8,7,"0,28","0,50"
"modes.common.actions","0,00",7,9,"0,44","0,50"
"modes.common.dialogs","0,00",4,7,"0,36","0,70"
"modes.common.listeners","0,00",5,14,"0,26","0,75"
"modes.common.plugins","0,50",6,8,"0,07","0,58"
"modes.filemode","0,00",2,20,"0,09","1,00"
"modes.mindmapmode","0,09",49,95,"0,25","0,63"
"modes.mindmapmode.actions","0,10",69,189,"0,17","0,74"
"modes.mindmapmode.actions.xml","0,55",19,11,"0,09","0,35"
"modes.mindmapmode.actions.xml.actors","0,06",12,146,"0,02","0,96"
"modes.mindmapmode.dialogs","0,14",6,11,"0,21","0,89"
"modes.mindmapmode.hooks","0,00",2,13,"0,13","0,87"
"modes.mindmapmode.listeners","0,00",3,14,"0,18","0,82"
"modes.viewmodes","0,50",2,10,"0,33","0,83"
"preferences","1,00",4,1,"0,20","0,20"
"preferences.layout","0,07",12,21,"0,29","0,80"
"swing","0,00",0,0,"0,00","1,00"
"view","0,00",8,5,"0,62","0,38"
"view.mindmapview","0,17",68,73,"0,31","0,52"

