Martin packaging metrics,Seg, 11 dez 2017 17:03:21 BRST
Package,A,Ca,Ce,D,I
"org.apache.log4j","0,11",277,78,"0,67","0,21"
"org.apache.log4j.concurrent","0,24",17,26,"0,16","0,69"
"org.apache.log4j.config","0,43",15,14,"0,09","0,50"
"org.apache.log4j.db","0,18",8,40,"0,02","0,83"
"org.apache.log4j.db.dialect","0,14",8,9,"0,33","0,53"
"org.apache.log4j.filter","0,00",7,15,"0,32","0,68"
"org.apache.log4j.helpers","0,12",87,53,"0,50","0,31"
"org.apache.log4j.jdbc","0,00",0,2,"0,00","1,00"
"org.apache.log4j.jmx","0,14",6,18,"0,11","0,75"
"org.apache.log4j.joran","0,50",15,6,"0,21","0,32"
"org.apache.log4j.joran.action","0,18",28,89,"0,06","0,76"
"org.apache.log4j.joran.spi","0,20",21,19,"0,33","0,49"
"org.apache.log4j.lbel","0,12",10,8,"0,43","0,44"
"org.apache.log4j.lbel.comparator","0,22",10,26,"0,06","0,72"
"org.apache.log4j.multiplex","0,50",6,18,"0,25","0,75"
"org.apache.log4j.net","0,11",26,103,"0,09","0,82"
"org.apache.log4j.net.test","0,00",1,7,"0,12","0,88"
"org.apache.log4j.nt","0,00",1,2,"0,33","0,67"
"org.apache.log4j.or","0,25",9,7,"0,31","0,44"
"org.apache.log4j.or.jms","0,00",0,1,"0,00","1,00"
"org.apache.log4j.or.sax","0,00",0,1,"0,00","1,00"
"org.apache.log4j.pattern","0,12",45,73,"0,26","0,64"
"org.apache.log4j.plugins","0,62",25,12,"0,05","0,29"
"org.apache.log4j.rolling","0,36",26,32,"0,08","0,55"
"org.apache.log4j.rolling.helper","0,33",8,8,"0,17","0,50"
"org.apache.log4j.rule","0,08",29,52,"0,27","0,62"
"org.apache.log4j.scheduler","0,33",9,2,"0,48","0,18"
"org.apache.log4j.selector","0,00",1,3,"0,25","0,75"
"org.apache.log4j.selector.servlet","0,00",0,3,"0,00","1,00"
"org.apache.log4j.spi","0,59",167,45,"0,20","0,21"
"org.apache.log4j.spi.location","0,00",2,4,"0,33","0,67"
"org.apache.log4j.varia","0,00",6,29,"0,17","0,83"
"org.apache.log4j.watchdog","0,67",7,12,"0,30","0,63"
"org.apache.log4j.xml","0,00",10,26,"0,28","0,74"
"org.apache.log4j.xml.examples","0,00",0,2,"0,00","1,00"
"org.apache.log4j.xml.test","0,00",0,2,"0,00","1,00"

