Martin packaging metrics,Qua, 13 dez 2017 16:30:34 BRST
Package,A,Ca,Ce,D,I
"net.n3.nanoxml","0,25",42,18,"0,45","0,31"
"org.jhotdraw.app","0,38",99,69,"0,21","0,38"
"org.jhotdraw.app.action","0,75",21,11,"0,09","0,34"
"org.jhotdraw.app.action.app","0,14",7,26,"0,07","0,79"
"org.jhotdraw.app.action.edit","0,17",62,33,"0,49","0,35"
"org.jhotdraw.app.action.file","0,00",25,70,"0,26","0,74"
"org.jhotdraw.app.action.view","0,00",6,4,"0,60","0,40"
"org.jhotdraw.app.action.window","0,00",7,15,"0,32","0,68"
"org.jhotdraw.app.osx","0,00",2,1,"0,67","0,33"
"org.jhotdraw.beans","0,00",12,3,"0,80","0,15"
"org.jhotdraw.color","0,17",64,41,"0,44","0,41"
"org.jhotdraw.draw","0,28",357,182,"0,38","0,33"
"org.jhotdraw.draw.action","0,11",112,184,"0,27","0,60"
"org.jhotdraw.draw.connector","0,10",29,29,"0,40","0,50"
"org.jhotdraw.draw.decoration","0,33",9,15,"0,04","0,62"
"org.jhotdraw.draw.event","0,22",60,51,"0,32","0,45"
"org.jhotdraw.draw.gui","0,00",8,6,"0,57","0,43"
"org.jhotdraw.draw.handle","0,12",73,160,"0,20","0,63"
"org.jhotdraw.draw.io","0,29",37,23,"0,33","0,38"
"org.jhotdraw.draw.layouter","0,40",7,14,"0,07","0,67"
"org.jhotdraw.draw.liner","0,25",6,21,"0,03","0,78"
"org.jhotdraw.draw.locator","0,29",15,20,"0,14","0,57"
"org.jhotdraw.draw.print","0,00",5,1,"0,83","0,17"
"org.jhotdraw.draw.text","0,00",2,4,"0,33","0,67"
"org.jhotdraw.draw.tool","0,24",51,68,"0,19","0,57"
"org.jhotdraw.geom","0,07",71,10,"0,81","0,12"
"org.jhotdraw.gui","0,17",97,39,"0,55","0,25"
"org.jhotdraw.gui.datatransfer","0,22",12,6,"0,44","0,33"
"org.jhotdraw.gui.event","0,50",10,5,"0,17","0,36"
"org.jhotdraw.gui.filechooser","0,00",9,0,"1,00","0,00"
"org.jhotdraw.gui.fontchooser","0,29",16,7,"0,41","0,29"
"org.jhotdraw.gui.plaf","0,00",2,0,"1,00","0,00"
"org.jhotdraw.gui.plaf.palette","0,02",45,44,"0,48","0,44"
"org.jhotdraw.gui.plaf.palette.colorchooser","0,00",8,23,"0,26","0,74"
"org.jhotdraw.io","0,00",8,3,"0,73","0,14"
"org.jhotdraw.net","0,00",7,0,"1,00","0,00"
"org.jhotdraw.samples.color","0,00",4,10,"0,29","0,75"
"org.jhotdraw.samples.draw","0,00",6,48,"0,11","0,90"
"org.jhotdraw.samples.font","0,00",0,1,"0,00","1,00"
"org.jhotdraw.samples.mini","0,00",11,72,"0,13","0,95"
"org.jhotdraw.samples.net","0,00",4,47,"0,08","0,92"
"org.jhotdraw.samples.net.figures","0,00",1,7,"0,12","0,88"
"org.jhotdraw.samples.odg","0,07",17,54,"0,17","0,81"
"org.jhotdraw.samples.odg.action","0,00",2,12,"0,14","0,86"
"org.jhotdraw.samples.odg.figures","0,22",17,41,"0,07","0,71"
"org.jhotdraw.samples.odg.geom","0,00",3,2,"0,60","0,50"
"org.jhotdraw.samples.odg.io","0,20",4,16,"0,00","0,83"
"org.jhotdraw.samples.pert","0,00",4,45,"0,08","0,91"
"org.jhotdraw.samples.pert.figures","0,00",8,19,"0,30","0,71"
"org.jhotdraw.samples.svg","0,06",20,64,"0,18","0,79"
"org.jhotdraw.samples.svg.action","0,00",8,15,"0,35","0,65"
"org.jhotdraw.samples.svg.figures","0,14",41,70,"0,23","0,63"
"org.jhotdraw.samples.svg.gui","0,03",19,109,"0,12","0,86"
"org.jhotdraw.samples.svg.io","0,22",14,45,"0,02","0,77"
"org.jhotdraw.samples.teddy","0,00",7,26,"0,21","0,81"
"org.jhotdraw.samples.teddy.action","0,00",4,16,"0,20","0,80"
"org.jhotdraw.samples.teddy.io","0,00",1,0,"1,00","0,00"
"org.jhotdraw.samples.teddy.regex","0,00",3,1,"0,75","0,25"
"org.jhotdraw.samples.teddy.text","0,00",4,3,"0,57","0,43"
"org.jhotdraw.text","0,00",10,6,"0,62","0,43"
"org.jhotdraw.undo","0,00",18,8,"0,69","0,20"
"org.jhotdraw.util","0,00",51,1,"0,98","0,02"
"org.jhotdraw.util.prefs","0,00",10,1,"0,91","0,09"
"org.jhotdraw.xml","0,36",43,12,"0,42","0,22"
"org.jhotdraw.xml.css","0,00",5,6,"0,45","0,60"

