Martin packaging metrics,Ter, 12 dez 2017 14:17:32 BRST
Package,A,Ca,Ce,D,I
"com.opensymphony.xwork2","0,51",537,82,"0,35","0,13"
"com.opensymphony.xwork2.config","0,50",103,27,"0,29","0,21"
"com.opensymphony.xwork2.config.entities","0,17",159,30,"0,67","0,12"
"com.opensymphony.xwork2.config.impl","0,09",17,40,"0,21","0,70"
"com.opensymphony.xwork2.config.providers","0,00",26,28,"0,48","0,52"
"com.opensymphony.xwork2.conversion","0,89",38,4,"0,02","0,10"
"com.opensymphony.xwork2.conversion.annotations","0,50",13,2,"0,37","0,13"
"com.opensymphony.xwork2.conversion.impl","0,07",56,44,"0,49","0,44"
"com.opensymphony.xwork2.conversion.metadata","0,00",0,2,"0,00","1,00"
"com.opensymphony.xwork2.factory","0,50",45,32,"0,08","0,42"
"com.opensymphony.xwork2.inject","0,48",109,20,"0,36","0,11"
"com.opensymphony.xwork2.inject.util","0,38",19,15,"0,18","0,43"
"com.opensymphony.xwork2.interceptor","0,32",92,66,"0,26","0,41"
"com.opensymphony.xwork2.interceptor.annotations","0,78",9,9,"0,28","0,50"
"com.opensymphony.xwork2.mock","0,00",23,11,"0,68","0,32"
"com.opensymphony.xwork2.ognl","0,08",30,28,"0,43","0,49"
"com.opensymphony.xwork2.ognl.accessor","0,00",16,31,"0,34","0,69"
"com.opensymphony.xwork2.result","1,00",1,0,"0,00","0,00"
"com.opensymphony.xwork2.security","0,33",24,8,"0,42","0,31"
"com.opensymphony.xwork2.spring","0,00",4,3,"0,57","0,43"
"com.opensymphony.xwork2.spring.interceptor","0,00",1,3,"0,25","0,75"
"com.opensymphony.xwork2.test","0,00",0,3,"0,00","1,00"
"com.opensymphony.xwork2.util","0,35",185,42,"0,46","0,16"
"com.opensymphony.xwork2.util.classloader","0,33",9,6,"0,27","0,40"
"com.opensymphony.xwork2.util.finder","0,32",35,17,"0,36","0,26"
"com.opensymphony.xwork2.util.fs","0,00",20,7,"0,74","0,26"
"com.opensymphony.xwork2.util.location","0,44",46,11,"0,36","0,17"
"com.opensymphony.xwork2.util.logging","0,50",20,8,"0,21","0,24"
"com.opensymphony.xwork2.util.logging.commons","0,00",2,3,"0,40","0,60"
"com.opensymphony.xwork2.util.logging.jdk","0,00",3,3,"0,50","0,50"
"com.opensymphony.xwork2.util.logging.log4j2","0,00",2,3,"0,40","0,60"
"com.opensymphony.xwork2.util.logging.slf4j","0,00",2,3,"0,40","0,60"
"com.opensymphony.xwork2.util.profiling","0,20",10,3,"0,57","0,25"
"com.opensymphony.xwork2.util.reflection","0,50",36,7,"0,34","0,16"
"com.opensymphony.xwork2.validator","0,37",54,40,"0,21","0,41"
"com.opensymphony.xwork2.validator.annotations","0,95",37,14,"0,22","0,27"
"com.opensymphony.xwork2.validator.validators","0,19",36,44,"0,26","0,55"
"org.apache.struts2","0,20",102,6,"0,74","0,06"
"org.apache.struts2.components","0,15",196,176,"0,37","0,47"
"org.apache.struts2.components.template","0,30",27,28,"0,19","0,49"
"org.apache.struts2.config","0,18",17,53,"0,06","0,76"
"org.apache.struts2.dispatcher","0,22",64,49,"0,34","0,43"
"org.apache.struts2.dispatcher.filter","0,00",5,13,"0,28","0,72"
"org.apache.struts2.dispatcher.listener","0,00",2,4,"0,33","0,67"
"org.apache.struts2.dispatcher.mapper","0,25",34,25,"0,33","0,42"
"org.apache.struts2.dispatcher.multipart","0,20",9,12,"0,23","0,60"
"org.apache.struts2.dispatcher.servlet","0,00",1,5,"0,17","0,83"
"org.apache.struts2.factory","0,00",2,14,"0,12","0,88"
"org.apache.struts2.interceptor","0,31",39,93,"0,02","0,72"
"org.apache.struts2.interceptor.debugging","0,00",2,11,"0,15","0,85"
"org.apache.struts2.interceptor.servlet","0,00",1,1,"0,50","0,50"
"org.apache.struts2.interceptor.validation","0,50",4,4,"0,00","0,50"
"org.apache.struts2.result","0,10",24,42,"0,26","0,63"
"org.apache.struts2.util","0,17",71,50,"0,41","0,43"
"org.apache.struts2.util.fs","0,00",1,1,"0,50","0,50"
"org.apache.struts2.views","0,50",7,5,"0,08","0,42"
"org.apache.struts2.views.annotations","1,00",1,0,"0,00","0,00"
"org.apache.struts2.views.freemarker","0,00",21,17,"0,55","0,46"
"org.apache.struts2.views.freemarker.tags","0,02",47,134,"0,24","0,74"
"org.apache.struts2.views.jsp","0,09",44,67,"0,31","0,61"
"org.apache.struts2.views.jsp.iterator","0,00",7,15,"0,32","0,68"
"org.apache.struts2.views.jsp.ui","0,14",60,124,"0,19","0,67"
"org.apache.struts2.views.util","0,25",19,9,"0,43","0,32"
"org.apache.struts2.views.velocity","0,00",8,10,"0,44","0,56"
"org.apache.struts2.views.velocity.components","0,03",37,119,"0,21","0,76"
"org.apache.struts2.views.xslt","0,20",20,27,"0,23","0,58"

