smells_analysis,Sex, 18 mai 2018 16:12:20 BRT
Method,CALL,CALLED,CALLEDp,CDENS,CONTROL,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),LOC,LOOP,LOOP_NEST,NBD,NCLOC,NP,NTP,RLOC,STAT,v(G)
"org.apache.tools.ant.AntClassLoader.buildFinished(BuildEvent)",1,5,5,"0,00%",0,1,1,2,0,n/a,1,9,0,0,0,3,1,0,"0,62%",1,1
"org.apache.tools.ant.AntClassLoader.buildStarted(BuildEvent)",0,3,3,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.cleanup()",6,29,26,"33,33%",3,1,6,25,1,n/a,3,19,1,1,2,14,0,0,"1,30%",9,4
"org.apache.tools.ant.AntClassLoader.defineClassFromData(File,byte[],String)",10,1,1,"0,00%",0,1,6,36,0,n/a,1,28,0,0,0,15,3,0,"1,91%",6,1
"org.apache.tools.ant.AntClassLoader.definePackage(File,String)",6,1,1,"30,00%",3,3,7,38,1,n/a,2,28,0,0,1,16,2,0,"1,91%",10,4
"org.apache.tools.ant.AntClassLoader.definePackage(File,String,Manifest)",23,1,1,"28,95%",11,1,27,176,2,n/a,12,62,0,0,2,53,3,0,"4,24%",38,13
"org.apache.tools.ant.AntClassLoader.findBaseClass(String)",2,3,3,"0,00%",0,1,1,11,0,n/a,2,18,0,0,0,3,1,0,"1,23%",1,2
"org.apache.tools.ant.AntClassLoader.findClass(String)",2,14,7,"0,00%",0,1,2,10,0,n/a,1,16,0,0,0,5,1,0,"1,09%",2,1
"org.apache.tools.ant.AntClassLoader.findClassInComponents(String)",11,1,1,"21,43%",3,3,11,55,1,n/a,4,39,1,1,3,25,1,0,"2,67%",14,5
"org.apache.tools.ant.AntClassLoader.findResources(String)",1,1,1,"0,00%",0,1,1,4,0,n/a,1,13,0,0,0,4,1,0,"0,89%",1,1
"org.apache.tools.ant.AntClassLoader.findResources(String,boolean)",11,3,3,"30,00%",3,3,7,52,1,n/a,7,39,0,0,1,19,2,0,"2,67%",10,7
"org.apache.tools.ant.AntClassLoader.forceLoadClass(String)",3,1,1,"20,00%",1,1,4,19,1,n/a,2,23,0,0,1,8,1,0,"1,57%",5,2
"org.apache.tools.ant.AntClassLoader.forceLoadSystemClass(String)",3,0,0,"20,00%",1,1,4,19,1,n/a,2,24,0,0,1,8,1,0,"1,64%",5,2
"org.apache.tools.ant.AntClassLoader.getCertificates(File,String)",4,1,1,"28,57%",2,3,5,24,1,n/a,2,23,0,0,1,12,2,0,"1,57%",7,4
"org.apache.tools.ant.AntClassLoader.getClassFilename(String)",1,2,2,"0,00%",0,1,1,7,0,n/a,1,12,0,0,0,3,1,0,"0,82%",1,1
"org.apache.tools.ant.AntClassLoader.getClassFromStream(InputStream,String,File)",5,1,1,"14,29%",1,1,6,29,0,n/a,2,27,1,1,1,11,3,0,"1,85%",7,2
"org.apache.tools.ant.AntClassLoader.getClasspath()",9,6,4,"22,22%",2,1,7,31,1,n/a,3,20,1,1,2,14,0,0,"1,37%",9,3
"org.apache.tools.ant.AntClassLoader.getConfiguredParent()",0,0,0,"0,00%",0,1,1,1,0,n/a,1,10,0,0,0,3,0,0,"0,68%",1,1
"org.apache.tools.ant.AntClassLoader.getJarManifest(File)",3,1,1,"33,33%",2,3,4,15,1,n/a,1,21,0,0,1,10,1,0,"1,44%",6,3
"org.apache.tools.ant.AntClassLoader.getNamedResources(String)",1,1,1,"0,00%",0,1,1,4,0,n/a,1,18,0,0,0,4,1,0,"1,23%",1,1
"org.apache.tools.ant.AntClassLoader.getResource(String)",17,19,13,"40,00%",8,1,12,117,2,n/a,14,50,1,1,3,33,1,0,"3,42%",20,14
"org.apache.tools.ant.AntClassLoader.getResourceAsStream(String)",12,14,12,"41,18%",7,1,10,85,2,n/a,10,43,0,0,2,34,1,0,"2,94%",17,10
