smells_analysis,Sex, 18 mai 2018 16:12:20 BRT
Method,CALL,CALLED,CALLEDp,CDENS,CONTROL,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),LOC,LOOP,LOOP_NEST,NBD,NCLOC,NP,NTP,RLOC,STAT,v(G)
"org.apache.tools.ant.IntrospectionHelper.supportsCharacters()",0,4,2,"0,00%",0,1,1,3,0,n/a,1,8,0,0,0,3,0,0,"0,50%",1,1
"org.apache.tools.ant.IntrospectionHelper.supportsNestedElement(String)",1,0,0,"0,00%",0,1,1,4,0,n/a,1,11,0,0,0,3,1,0,"0,69%",1,1
"org.apache.tools.ant.IntrospectionHelper.supportsNestedElement(String,String)",3,2,2,"33,33%",1,2,2,13,1,n/a,2,21,0,0,1,6,2,0,"1,31%",3,3
"org.apache.tools.ant.IntrospectionHelper.supportsNestedElement(String,String,Project,Object)",4,1,1,"33,33%",1,2,2,21,1,n/a,3,25,0,0,1,8,4,0,"1,56%",3,4
"org.apache.tools.ant.IntrospectionHelper.supportsReflectElement(String,String)",8,2,2,"36,36%",4,3,7,43,1,n/a,1,27,0,0,1,18,2,0,"1,68%",11,5
"org.apache.tools.ant.IntrospectionHelper.throwNotSupported(Project,Object,String)",2,4,4,"0,00%",0,1,2,11,0,n/a,1,13,0,0,0,6,3,0,"0,81%",2,1
"org.apache.tools.ant.Location.Location()",1,1,1,"0,00%",0,1,1,5,0,n/a,1,6,0,0,0,3,0,0,"4,38%",1,1
"org.apache.tools.ant.Location.Location(Locator)",4,4,4,"0,00%",0,1,1,11,0,n/a,1,11,0,0,0,3,1,0,"8,03%",1,1
"org.apache.tools.ant.Location.Location(String)",1,5,2,"0,00%",0,1,1,5,0,n/a,1,11,0,0,0,3,1,0,"8,03%",1,1
"org.apache.tools.ant.Location.Location(String,int,int)",2,11,6,"20,00%",1,1,4,27,1,n/a,3,21,0,0,1,9,3,0,"15,33%",5,3
"org.apache.tools.ant.Location.equals(Object)",5,70,69,"42,86%",3,4,4,24,1,n/a,1,19,0,0,1,12,1,0,"13,87%",7,4
"org.apache.tools.ant.Location.getColumnNumber()",0,0,0,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"5,11%",1,1
"org.apache.tools.ant.Location.getFileName()",0,7,6,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"5,11%",1,1
"org.apache.tools.ant.Location.getLineNumber()",0,8,0,"0,00%",0,1,1,1,0,n/a,1,7,0,0,0,3,0,0,"5,11%",1,1
"org.apache.tools.ant.Location.hashCode()",2,15,13,"0,00%",0,1,1,4,0,n/a,1,8,0,0,0,3,0,0,"5,84%",1,1
"org.apache.tools.ant.Location.toString()",6,94,77,"25,00%",2,1,6,26,2,n/a,3,22,0,0,2,12,0,0,"16,06%",8,3
"org.apache.tools.ant.MagicNames.MagicNames()",0,0,0,"0,00%",0,1,0,0,0,n/a,1,2,0,0,0,2,0,0,"0,85%",0,1
"org.apache.tools.ant.Main.Main()",0,2,1,"0,00%",0,1,0,0,0,n/a,1,6,0,0,0,2,0,0,"0,53%",0,1
"org.apache.tools.ant.Main.Main(String[])",1,0,0,"0,00%",0,1,1,3,0,n/a,1,15,0,0,0,4,1,0,"1,31%",1,1
"org.apache.tools.ant.Main.addBuildListeners(Project)",8,1,1,"11,11%",1,1,8,35,0,n/a,2,20,1,1,1,12,1,0,"1,75%",9,2
"org.apache.tools.ant.Main.addInputHandler(Project)",5,1,1,"16,67%",1,1,5,26,1,n/a,2,20,0,0,1,12,1,0,"1,75%",6,2
"org.apache.tools.ant.Main.createLogger()",11,1,1,"18,75%",3,3,13,58,1,n/a,4,32,0,0,2,26,0,0,"2,80%",16,4
"org.apache.tools.ant.Main.exit(int)",1,2,2,"0,00%",0,1,1,4,0,n/a,1,9,0,0,0,3,1,0,"0,79%",1,1
"org.apache.tools.ant.Main.findBuildFile(String,String)",8,2,2,"30,00%",3,3,7,39,1,n/a,3,35,1,1,2,15,2,0,"3,06%",10,4
"org.apache.tools.ant.Main.findTargetPosition(Vector<String>,String)",3,2,2,"25,00%",2,1,6,27,1,n/a,2,20,1,1,2,10,2,0,"1,75%",8,4
"org.apache.tools.ant.Main.getAntVersion()",15,4,4,"12,50%",2,2,14,55,1,n/a,3,34,0,0,2,24,0,0,"2,98%",16,4
"org.apache.tools.ant.Main.getParentFile(File)",3,1,1,"25,00%",1,1,3,21,1,n/a,2,17,0,0,1,8,1,0,"1,49%",4,3
"org.apache.tools.ant.Main.getShortAntVersion()",1,1,1,"33,33%",1,1,2,6,1,n/a,2,17,0,0,1,6,0,0,"1,49%",3,2
"org.apache.tools.ant.Main.handleArgBuildFile(String[],int)",3,1,1,"25,00%",1,1,3,15,0,n/a,1,11,0,0,1,10,2,0,"0,96%",4,2
"org.apache.tools.ant.Main.handleArgDefine(String[],int)",7,1,1,"16,67%",2,3,10,55,1,n/a,2,28,0,0,1,17,2,0,"2,45%",12,3
"org.apache.tools.ant.Main.handleArgInputHandler(String[],int)",2,1,1,"33,33%",2,2,4,17,1,n/a,1,15,0,0,1,14,2,0,"1,31%",6,3
"org.apache.tools.ant.Main.handleArgListener(String[],int)",2,1,1,"16,67%",1,1,5,14,0,n/a,1,12,0,0,1,11,2,0,"1,05%",6,2
"org.apache.tools.ant.Main.handleArgLogger(String[],int)",2,1,1,"33,33%",2,2,4,14,1,n/a,1,14,0,0,1,13,2,0,"1,23%",6,3
"org.apache.tools.ant.Main.handleArgNice(String[],int)",6,1,1,"28,57%",2,2,5,33,1,n/a,2,19,0,0,1,18,2,0,"1,66%",7,5
"org.apache.tools.ant.Main.handleArgPropertyFile(String[],int)",2,1,1,"20,00%",1,1,4,11,0,n/a,1,11,0,0,1,10,2,0,"0,96%",5,2
"org.apache.tools.ant.Main.handleLogfile()",2,2,2,"33,33%",1,1,2,9,1,n/a,2,11,0,0,1,6,0,0,"0,96%",3,2
"org.apache.tools.ant.Main.loadPropertyFiles()",12,1,1,"30,77%",4,1,9,50,1,n/a,5,24,2,2,3,22,0,0,"2,10%",13,5
"org.apache.tools.ant.Main.main(String[])",1,0,0,"0,00%",0,1,1,5,0,n/a,1,10,0,0,0,3,1,0,"0,88%",1,1
"org.apache.tools.ant.Main.printDescription(Project)",3,1,1,"50,00%",1,1,1,11,1,n/a,2,12,0,0,1,5,1,0,"1,05%",2,2
"org.apache.tools.ant.Main.printMessage(Throwable)",2,3,3,"33,33%",1,1,2,11,1,n/a,2,13,0,0,1,6,1,0,"1,14%",3,2
"org.apache.tools.ant.Main.printTargets(Project,Vector<String>,Vector<String>,Vector<Enumeration<String>>,String,int)",27,2,2,"26,92%",7,1,19,115,3,n/a,7,62,3,2,5,37,6,0,"5,43%",26,8
"org.apache.tools.ant.Main.printTargets(Project,boolean,boolean)",28,1,1,"31,25%",10,3,22,119,2,n/a,9,62,1,1,3,46,3,0,"5,43%",32,11
"org.apache.tools.ant.Main.printUsage()",37,2,2,"2,78%",1,1,35,180,0,n/a,2,44,1,1,1,41,0,0,"3,85%",36,2
"org.apache.tools.ant.Main.printVersion(int)",2,1,1,"0,00%",0,1,1,6,0,n/a,1,8,0,0,0,3,1,0,"0,70%",1,1
"org.apache.tools.ant.Main.processArgs(String[])",99,2,2,"37,31%",50,37,84,569,4,n/a,60,198,5,3,5,174,1,0,"17,34%",134,69
"org.apache.tools.ant.Main.removeDuplicateTargets(Map<String, Target>)",15,1,1,"27,27%",3,1,8,48,1,n/a,5,30,2,1,2,18,1,0,"2,63%",11,5
"org.apache.tools.ant.Main.runBuild(ClassLoader)",57,1,1,"32,00%",24,10,51,250,2,n/a,20,134,3,1,5,110,1,0,"11,73%",75,25
"org.apache.tools.ant.Main.setProperties(Project)",14,1,1,"8,33%",1,1,11,57,0,n/a,2,22,1,1,1,20,1,0,"1,93%",12,2
"org.apache.tools.ant.Main.start(String[],Properties,ClassLoader)",2,1,1,"0,00%",0,1,2,7,0,n/a,1,17,0,0,0,5,3,0,"1,49%",2,1
"org.apache.tools.ant.Main.startAnt(String[],Properties,ClassLoader)",16,3,2,"26,92%",7,2,19,67,1,n/a,8,51,1,1,3,41,3,0,"4,47%",26,9
"org.apache.tools.ant.NoBannerLogger.NoBannerLogger()",0,0,0,"0,00%",0,1,0,0,0,n/a,1,3,0,0,0,2,0,0,"4,35%",0,1
"org.apache.tools.ant.NoBannerLogger.extractTargetName(BuildEvent)",2,2,2,"0,00%",0,1,1,5,0,n/a,1,9,0,0,0,3,1,0,"13,04%",1,1
"org.apache.tools.ant.NoBannerLogger.messageLogged(BuildEvent)",7,14,12,"42,86%",3,2,4,38,1,n/a,4,23,0,0,2,14,1,0,"33,33%",7,5
"org.apache.tools.ant.NoBannerLogger.targetFinished(BuildEvent)",0,6,6,"0,00%",0,1,1,3,0,n/a,1,8,0,0,0,3,1,0,"11,59%",1,1
"org.apache.tools.ant.NoBannerLogger.targetStarted(BuildEvent)",1,5,5,"0,00%",0,1,1,5,0,n/a,1,10,0,0,0,3,1,0,"14,49%",1,1
"org.apache.tools.ant.PathTokenizer.PathTokenizer(String)",2,2,2,"25,00%",1,1,3,19,1,n/a,1,17,0,0,1,8,1,0,"13,08%",4,2
"org.apache.tools.ant.PathTokenizer.hasMoreTokens()",1,2,2,"33,33%",1,2,2,7,1,n/a,1,14,0,0,1,6,0,0,"10,77%",3,2
"org.apache.tools.ant.PathTokenizer.nextToken()",26,2,2,"40,00%",10,1,15,140,6,n/a,17,69,0,0,6,46,0,0,"53,08%",25,19
"org.apache.tools.ant.Project.AntRefTable.AntRefTable()",1,1,1,"0,00%",0,1,1,2,0,n/a,1,3,0,0,0,3,0,0,"7,50%",1,1
"org.apache.tools.ant.Project.AntRefTable.get(Object)",3,233,205,"16,67%",1,1,5,16,1,n/a,2,22,0,0,1,10,1,0,"55,00%",6,2
"org.apache.tools.ant.Project.AntRefTable.getReal(Object)",1,2,2,"0,00%",0,1,1,4,0,n/a,1,10,0,0,0,3,1,0,"25,00%",1,1
"org.apache.tools.ant.Project.Project()",1,41,5,"0,00%",0,1,1,3,0,n/a,1,6,0,0,0,3,0,0,"0,26%",1,1
"org.apache.tools.ant.Project.addBuildListener(BuildListener)",1,35,14,"30,00%",3,3,7,36,1,n/a,1,23,1,1,3,14,1,0,"1,01%",10,3
"org.apache.tools.ant.Project.addDataTypeDefinition(String,Class<?>)",2,0,0,"0,00%",0,1,1,8,0,n/a,1,17,0,0,0,4,2,0,"0,75%",1,1
"org.apache.tools.ant.Project.addFilter(String,String)",2,0,0,"33,33%",1,2,2,9,1,n/a,1,20,0,0,1,7,2,0,"0,88%",3,2
"org.apache.tools.ant.Project.addIdReference(String,Object)",1,1,1,"0,00%",0,1,1,5,0,n/a,1,9,0,0,0,3,2,0,"0,40%",1,1
"org.apache.tools.ant.Project.addOrReplaceTarget(String,Target)",3,5,5,"0,00%",0,1,4,16,0,n/a,1,15,0,0,0,6,2,0,"0,66%",4,1
"org.apache.tools.ant.Project.addOrReplaceTarget(Target)",2,1,1,"0,00%",0,1,1,6,0,n/a,1,10,0,0,0,3,1,0,"0,44%",1,1
"org.apache.tools.ant.Project.addReference(String,Object)",4,81,27,"28,57%",2,2,5,34,1,n/a,2,19,0,0,1,12,2,0,"0,84%",7,4
"org.apache.tools.ant.Project.addTarget(String,Target)",3,4,4,"33,33%",1,2,2,15,1,n/a,1,19,0,0,1,7,2,0,"0,84%",3,2
"org.apache.tools.ant.Project.addTarget(Target)",2,0,0,"0,00%",0,1,1,6,0,n/a,1,13,0,0,0,3,1,0,"0,57%",1,1
"org.apache.tools.ant.Project.addTaskDefinition(String,Class<?>)",2,10,1,"0,00%",0,1,1,8,0,n/a,1,25,0,0,0,5,2,0,"1,10%",1,1
"org.apache.tools.ant.Project.checkTaskClass(Class<?>)",17,2,2,"21,05%",4,3,15,76,1,n/a,6,42,0,0,1,28,1,0,"1,85%",19,6
"org.apache.tools.ant.Project.copyFile(File,File)",1,0,0,"0,00%",0,1,1,5,0,n/a,1,17,0,0,0,4,2,0,"0,75%",1,1
"org.apache.tools.ant.Project.copyFile(File,File,boolean)",1,0,0,"0,00%",0,1,1,9,0,n/a,1,21,0,0,0,6,3,0,"0,92%",1,2
"org.apache.tools.ant.Project.copyFile(File,File,boolean,boolean)",1,1,1,"0,00%",0,1,1,10,0,n/a,1,24,0,0,0,6,4,0,"1,06%",1,2
"org.apache.tools.ant.Project.copyFile(File,File,boolean,boolean,boolean)",1,0,0,"0,00%",0,1,1,11,0,n/a,1,30,0,0,0,7,5,0,"1,32%",1,2
"org.apache.tools.ant.Project.copyFile(String,String)",1,0,0,"0,00%",0,1,1,5,0,n/a,1,18,0,0,0,5,2,0,"0,79%",1,1
"org.apache.tools.ant.Project.copyFile(String,String,boolean)",1,0,0,"0,00%",0,1,1,9,0,n/a,1,21,0,0,0,6,3,0,"0,92%",1,2
"org.apache.tools.ant.Project.copyFile(String,String,boolean,boolean)",1,1,1,"0,00%",0,1,1,10,0,n/a,1,24,0,0,0,6,4,0,"1,06%",1,2
"org.apache.tools.ant.Project.copyFile(String,String,boolean,boolean,boolean)",1,0,0,"0,00%",0,1,1,11,0,n/a,1,30,0,0,0,7,5,0,"1,32%",1,2
"org.apache.tools.ant.Project.copyInheritedProperties(Project)",2,2,2,"0,00%",0,1,1,7,0,n/a,1,15,0,0,0,3,1,0,"0,66%",1,1
"org.apache.tools.ant.Project.copyUserProperties(Project)",2,2,2,"0,00%",0,1,1,7,0,n/a,1,15,0,0,0,3,1,0,"0,66%",1,1
"org.apache.tools.ant.Project.createClassLoader(ClassLoader,Path)",1,0,0,"0,00%",0,1,1,7,0,n/a,1,13,0,0,0,4,2,0,"0,57%",1,1
"org.apache.tools.ant.Project.createClassLoader(Path)",3,39,32,"0,00%",0,1,1,10,0,n/a,1,12,0,0,0,4,1,0,"0,53%",1,1
"org.apache.tools.ant.Project.createDataType(String)",2,6,2,"0,00%",0,1,1,7,0,n/a,1,15,0,0,0,3,1,0,"0,66%",1,1
"org.apache.tools.ant.Project.createSubProject()",4,1,1,"16,67%",1,1,5,15,0,n/a,1,17,0,0,1,10,0,0,"0,75%",6,2
"org.apache.tools.ant.Project.createTask(String)",2,5,5,"0,00%",0,1,1,7,0,n/a,1,16,0,0,0,3,1,0,"0,70%",1,1
"org.apache.tools.ant.Project.defaultInput(byte[],int,int)",3,3,3,"25,00%",1,2,3,15,1,n/a,2,22,0,0,1,9,3,0,"0,97%",4,2
"org.apache.tools.ant.Project.demuxFlush(String,boolean)",5,3,3,"33,33%",2,1,4,25,2,n/a,3,23,0,0,2,12,2,0,"1,01%",6,4
"org.apache.tools.ant.Project.demuxInput(byte[],int,int)",4,3,3,"25,00%",1,2,3,19,1,n/a,2,21,0,0,1,9,3,0,"0,92%",4,2
"org.apache.tools.ant.Project.demuxOutput(String,boolean)",5,5,5,"33,33%",2,1,4,24,2,n/a,3,21,0,0,2,12,2,0,"0,92%",6,4
"org.apache.tools.ant.Project.executeSortedTargets(Vector<Target>)",19,2,2,"39,39%",13,8,20,115,4,n/a,7,67,2,2,5,61,1,0,"2,95%",33,14
"org.apache.tools.ant.Project.executeTarget(String)",3,40,1,"25,00%",1,2,3,13,1,n/a,1,21,0,0,1,7,1,0,"0,92%",4,2
"org.apache.tools.ant.Project.executeTargets(Vector<String>)",6,12,2,"0,00%",0,1,2,20,0,n/a,1,14,0,0,0,5,1,0,"0,62%",2,1
"org.apache.tools.ant.Project.fireBuildFinished(Throwable)",4,4,1,"12,50%",1,1,7,23,0,n/a,2,17,1,1,1,9,1,0,"0,75%",8,2
"org.apache.tools.ant.Project.fireBuildStarted()",2,1,1,"16,67%",1,1,5,16,0,n/a,2,11,1,1,1,7,0,0,"0,48%",6,2
"org.apache.tools.ant.Project.fireMessageLogged(Project,String,Throwable,int)",3,2,2,"0,00%",0,1,3,11,0,n/a,1,17,0,0,0,6,4,0,"0,75%",3,1
"org.apache.tools.ant.Project.fireMessageLogged(Project,String,int)",1,1,1,"0,00%",0,1,1,6,0,n/a,1,13,0,0,0,4,3,0,"0,57%",1,1
"org.apache.tools.ant.Project.fireMessageLogged(Target,String,Throwable,int)",3,2,2,"0,00%",0,1,3,11,0,n/a,1,17,0,0,0,6,4,0,"0,75%",3,1
"org.apache.tools.ant.Project.fireMessageLogged(Target,String,int)",1,0,0,"0,00%",0,1,1,6,0,n/a,1,13,0,0,0,4,3,0,"0,57%",1,1
"org.apache.tools.ant.Project.fireMessageLogged(Task,String,Throwable,int)",3,3,3,"0,00%",0,1,3,11,0,n/a,1,17,0,0,0,6,4,0,"0,75%",3,1
"org.apache.tools.ant.Project.fireMessageLogged(Task,String,int)",1,0,0,"0,00%",0,1,1,6,0,n/a,1,12,0,0,0,3,3,0,"0,53%",1,1
"org.apache.tools.ant.Project.fireMessageLoggedEvent(BuildEvent,String,int)",11,3,3,"31,25%",5,2,11,66,1,n/a,4,48,1,1,2,24,3,0,"2,11%",16,5
"org.apache.tools.ant.Project.fireSubBuildFinished(Throwable)",3,2,1,"25,00%",2,1,6,26,1,n/a,3,19,1,1,2,10,1,0,"0,84%",8,3
"org.apache.tools.ant.Project.fireSubBuildStarted()",2,1,1,"28,57%",2,1,5,22,1,n/a,3,15,1,1,2,9,0,0,"0,66%",7,3
"org.apache.tools.ant.Project.fireTargetFinished(Target,Throwable)",3,2,1,"14,29%",1,1,6,20,0,n/a,2,18,1,1,1,8,2,0,"0,79%",7,2
"org.apache.tools.ant.Project.fireTargetStarted(Target)",2,2,1,"16,67%",1,1,5,16,0,n/a,2,14,1,1,1,7,1,0,"0,62%",6,2
"org.apache.tools.ant.Project.fireTaskFinished(Task,Throwable)",7,2,1,"10,00%",1,1,9,34,0,n/a,2,21,1,1,1,11,2,0,"0,92%",10,2
"org.apache.tools.ant.Project.fireTaskStarted(Task)",4,2,1,"14,29%",1,1,6,22,0,n/a,2,16,1,1,1,8,1,0,"0,70%",7,2
"org.apache.tools.ant.Project.getBaseDir()",2,167,62,"40,00%",2,1,3,10,1,n/a,3,16,0,0,2,10,0,0,"0,70%",5,3
"org.apache.tools.ant.Project.getBuildListeners()",2,2,2,"28,57%",2,1,5,18,0,n/a,2,14,1,1,2,9,0,0,"0,62%",7,2
"org.apache.tools.ant.Project.getCopyOfDataTypeDefinitions()",2,1,1,"0,00%",0,1,1,3,0,n/a,1,12,0,0,0,3,0,0,"0,53%",1,1
"org.apache.tools.ant.Project.getCopyOfReferences()",1,1,1,"0,00%",0,1,1,2,0,n/a,1,12,0,0,0,3,0,0,"0,53%",1,1
"org.apache.tools.ant.Project.getCopyOfTargets()",1,1,1,"0,00%",0,1,1,2,0,n/a,1,9,0,0,0,3,0,0,"0,40%",1,1
"org.apache.tools.ant.Project.getCopyOfTaskDefinitions()",2,1,1,"0,00%",0,1,1,3,0,n/a,1,12,0,0,0,3,0,0,"0,53%",1,1
"org.apache.tools.ant.Project.getCoreLoader()",0,5,5,"0,00%",0,1,1,1,0,n/a,1,11,0,0,0,3,0,0,"0,48%",1,1
"org.apache.tools.ant.Project.getDataTypeDefinitions()",2,5,5,"0,00%",0,1,1,6,0,n/a,1,10,0,0,0,3,0,0,"0,44%",1,1
"org.apache.tools.ant.Project.getDefaultInputStream()",0,2,2,"0,00%",0,1,1,1,0,n/a,1,9,0,0,0,3,0,0,"0,40%",1,1
"org.apache.tools.ant.Project.getDefaultTarget()",0,4,4,"0,00%",0,1,1,1,0,n/a,1,8,0,0,0,3,0,0,"0,35%",1,1
"org.apache.tools.ant.Project.getDescription()",1,8,4,"33,33%",1,1,2,10,1,n/a,2,12,0,0,1,6,0,0,"0,53%",3,2
"org.apache.tools.ant.Project.getElementName(Object)",2,3,3,"0,00%",0,1,1,7,0,n/a,1,16,0,0,0,3,1,0,"0,70%",1,1
"org.apache.tools.ant.Project.getExecutor()",14,2,2,"31,25%",5,3,11,66,2,n/a,6,32,0,0,3,27,0,0,"1,41%",16,7
"org.apache.tools.ant.Project.getFilters()",1,0,0,"0,00%",0,1,1,3,0,n/a,1,17,0,0,0,4,0,0,"0,75%",1,1
"org.apache.tools.ant.Project.getGlobalFilterSet()",0,8,8,"0,00%",0,1,1,1,0,n/a,1,8,0,0,0,3,0,0,"0,35%",1,1
"org.apache.tools.ant.Project.getInheritedProperties()",2,1,1,"0,00%",0,1,1,6,0,n/a,1,8,0,0,0,3,0,0,"0,35%",1,1
"org.apache.tools.ant.Project.getInputHandler()",0,6,2,"0,00%",0,1,1,1,0,n/a,1,9,0,0,0,3,0,0,"0,40%",1,1
"org.apache.tools.ant.Project.getJavaVersion()",1,0,0,"0,00%",0,1,1,3,0,n/a,1,11,0,0,0,4,0,0,"0,48%",1,1
"org.apache.tools.ant.Project.getName()",0,3,3,"0,00%",0,1,1,1,0,n/a,1,8,0,0,0,3,0,0,"0,35%",1,1
"org.apache.tools.ant.Project.getProject(Object)",5,5,5,"42,86%",3,3,4,26,1,n/a,3,20,0,0,2,13,1,0,"0,88%",7,4
"org.apache.tools.ant.Project.getProperties()",2,10,9,"0,00%",0,1,1,6,0,n/a,1,8,0,0,0,3,0,0,"0,35%",1,1
"org.apache.tools.ant.Project.getProperty(String)",3,523,93,"0,00%",0,1,2,16,0,n/a,2,13,0,0,0,4,1,0,"0,57%",2,2
"org.apache.tools.ant.Project.getReference(String)",5,61,31,"50,00%",4,2,4,31,2,n/a,3,27,0,0,3,17,1,1,"1,19%",8,5
"org.apache.tools.ant.Project.getReferences()",0,6,2,"0,00%",0,1,1,1,0,n/a,1,9,0,0,0,3,0,0,"0,40%",1,1
"org.apache.tools.ant.Project.getResource(String)",2,1,1,"0,00%",0,1,1,4,0,n/a,1,10,0,0,0,3,1,0,"0,44%",1,1
"org.apache.tools.ant.Project.getTargets()",0,11,7,"0,00%",0,1,1,1,0,n/a,1,8,0,0,0,3,0,0,"0,35%",1,1
"org.apache.tools.ant.Project.getTaskDefinitions()",2,10,4,"0,00%",0,1,1,6,0,n/a,1,10,0,0,0,3,0,0,"0,44%",1,1
"org.apache.tools.ant.Project.getThreadTask(Thread)",4,4,4,"37,50%",3,1,5,30,1,n/a,3,20,1,1,3,13,1,0,"0,88%",8,4
"org.apache.tools.ant.Project.getUserProperties()",2,3,3,"0,00%",0,1,1,6,0,n/a,1,7,0,0,0,3,0,0,"0,31%",1,1
"org.apache.tools.ant.Project.getUserProperty(String)",2,1,1,"0,00%",0,1,1,8,0,n/a,1,12,0,0,0,3,1,0,"0,53%",1,1
"org.apache.tools.ant.Project.hasReference(String)",1,2,2,"0,00%",0,1,1,4,0,n/a,1,8,0,0,0,3,1,0,"0,35%",1,1
"org.apache.tools.ant.Project.inheritIDReferences(Project)",0,1,1,"0,00%",0,1,0,0,0,n/a,1,6,0,0,0,2,1,0,"0,26%",0,1
"org.apache.tools.ant.Project.init()",3,18,2,"0,00%",0,1,2,8,0,n/a,1,12,0,0,0,4,0,0,"0,53%",2,1
"org.apache.tools.ant.Project.initProperties()",5,3,3,"0,00%",0,1,4,13,0,n/a,1,11,0,0,0,6,0,0,"0,48%",4,1
"org.apache.tools.ant.Project.initSubProject(Project)",10,1,1,"0,00%",0,1,4,28,0,n/a,1,11,0,0,0,7,1,0,"0,48%",4,1
"org.apache.tools.ant.Project.isKeepGoingMode()",0,5,5,"0,00%",0,1,1,2,0,n/a,1,10,0,0,0,3,0,0,"0,44%",1,1
"org.apache.tools.ant.Project.log(String)",1,16,10,"0,00%",0,1,1,4,0,n/a,1,8,0,0,0,3,1,0,"0,35%",1,1
"org.apache.tools.ant.Project.log(String,Throwable,int)",1,2,2,"0,00%",0,1,1,6,0,n/a,1,10,0,0,0,3,3,0,"0,44%",1,1
"org.apache.tools.ant.Project.log(String,int)",1,136,134,"0,00%",0,1,1,5,0,n/a,1,8,0,0,0,3,2,0,"0,35%",1,1
"org.apache.tools.ant.Project.log(Target,String,Throwable,int)",1,1,1,"0,00%",0,1,1,6,0,n/a,1,13,0,0,0,4,4,0,"0,57%",1,1
"org.apache.tools.ant.Project.log(Target,String,int)",1,6,6,"0,00%",0,1,1,6,0,n/a,1,10,0,0,0,3,3,0,"0,44%",1,1
"org.apache.tools.ant.Project.log(Task,String,Throwable,int)",1,2,1,"0,00%",0,1,1,6,0,n/a,1,11,0,0,0,3,4,0,"0,48%",1,1
"org.apache.tools.ant.Project.log(Task,String,int)",1,1,1,"0,00%",0,1,1,6,0,n/a,1,9,0,0,0,3,3,0,"0,40%",1,1
"org.apache.tools.ant.Project.makeCircularException(String,Stack<String>)",8,1,1,"12,50%",1,1,7,28,0,n/a,2,20,1,1,1,11,2,0,"0,88%",8,2
"org.apache.tools.ant.Project.registerThreadTask(Thread,Task)",6,4,4,"33,33%",2,1,4,26,1,n/a,2,19,0,0,2,11,2,0,"0,84%",6,2
"org.apache.tools.ant.Project.removeBuildListener(BuildListener)",2,11,4,"40,00%",4,3,6,43,1,n/a,3,23,1,1,3,15,1,0,"1,01%",10,3
"org.apache.tools.ant.Project.replaceProperties(String)",2,28,27,"0,00%",0,1,1,9,0,n/a,1,17,0,0,0,3,1,0,"0,75%",1,1
"org.apache.tools.ant.Project.resolveFile(String)",1,135,52,"0,00%",0,1,1,5,0,n/a,1,15,0,0,0,3,1,0,"0,66%",1,1
"org.apache.tools.ant.Project.resolveFile(String,File)",1,22,0,"0,00%",0,1,1,5,0,n/a,1,21,0,0,0,4,2,0,"0,92%",1,1
"org.apache.tools.ant.Project.setAntLib()",3,1,1,"33,33%",1,1,2,19,1,n/a,2,13,0,0,1,7,0,0,"0,57%",3,2
"org.apache.tools.ant.Project.setBaseDir(File)",11,6,4,"22,22%",2,3,7,50,1,n/a,3,24,0,0,1,15,1,0,"1,06%",9,3
"org.apache.tools.ant.Project.setBasedir(String)",2,18,7,"0,00%",0,1,1,4,0,n/a,1,12,0,0,0,3,1,0,"0,53%",1,1
"org.apache.tools.ant.Project.setCoreLoader(ClassLoader)",0,2,2,"0,00%",0,1,1,4,0,n/a,1,10,0,0,0,3,1,0,"0,44%",1,1
"org.apache.tools.ant.Project.setDefault(String)",1,4,4,"33,33%",1,1,2,12,1,n/a,2,13,0,0,1,6,1,0,"0,57%",3,2
"org.apache.tools.ant.Project.setDefaultInputStream(InputStream)",0,4,2,"0,00%",0,1,1,4,0,n/a,1,12,0,0,0,3,1,0,"0,53%",1,1
"org.apache.tools.ant.Project.setDefaultTarget(String)",1,0,0,"0,00%",0,1,1,3,0,n/a,1,15,0,0,0,4,1,0,"0,66%",1,1
"org.apache.tools.ant.Project.setDescription(String)",0,4,4,"0,00%",0,1,1,4,0,n/a,1,9,0,0,0,3,1,0,"0,40%",1,1
"org.apache.tools.ant.Project.setExecutor(Executor)",1,2,2,"0,00%",0,1,1,5,0,n/a,1,7,0,0,0,3,1,0,"0,31%",1,1
"org.apache.tools.ant.Project.setFileLastModified(File,long)",2,0,0,"0,00%",0,1,2,11,0,n/a,1,21,0,0,0,6,2,0,"0,92%",2,1
"org.apache.tools.ant.Project.setInheritedProperty(String,String)",2,3,3,"0,00%",0,1,1,8,0,n/a,1,15,0,0,0,3,2,0,"0,66%",1,1
"org.apache.tools.ant.Project.setInputHandler(InputHandler)",0,7,2,"0,00%",0,1,1,3,0,n/a,1,8,0,0,0,3,1,0,"0,35%",1,1
"org.apache.tools.ant.Project.setJavaVersionProperty()",8,2,2,"16,67%",1,2,5,36,1,n/a,1,21,0,0,1,10,0,0,"0,92%",6,2
"org.apache.tools.ant.Project.setKeepGoingMode(boolean)",0,3,2,"0,00%",0,1,1,4,0,n/a,1,12,0,0,0,3,1,0,"0,53%",1,1
"org.apache.tools.ant.Project.setName(String)",1,2,2,"0,00%",0,1,2,9,0,n/a,1,11,0,0,0,4,1,0,"0,48%",2,1
