Martin packaging metrics,Seg, 11 dez 2017 18:37:05 BRST
Package,A,Ca,Ce,D,I
"backwards.src.test-framework.java.org.apache.lucene.analysis","0,27",89,36,"0,44","0,27"
"backwards.src.test-framework.java.org.apache.lucene.index","0,12",51,33,"0,48","0,39"
"backwards.src.test-framework.java.org.apache.lucene.queryParser","0,25",8,21,"0,03","0,79"
"backwards.src.test-framework.java.org.apache.lucene.search","0,00",19,25,"0,43","0,48"
"backwards.src.test-framework.java.org.apache.lucene.store","0,00",42,15,"0,74","0,27"
"backwards.src.test-framework.java.org.apache.lucene.util","0,13",277,25,"0,78","0,08"
"backwards.src.test.org.apache.lucene","0,00",12,48,"0,20","0,97"
"backwards.src.test.org.apache.lucene.analysis","0,03",15,155,"0,06","0,99"
"backwards.src.test.org.apache.lucene.analysis.tokenattributes","0,00",0,10,"0,00","1,00"
"backwards.src.test.org.apache.lucene.collation","0,00",1,9,"0,10","1,00"
"backwards.src.test.org.apache.lucene.document","0,00",0,15,"0,00","1,00"
"backwards.src.test.org.apache.lucene.index","0,03",113,865,"0,08","0,98"
"backwards.src.test.org.apache.lucene.queryParser","0,00",9,49,"0,16","0,96"
"backwards.src.test.org.apache.lucene.search","0,01",44,686,"0,05","0,98"
"backwards.src.test.org.apache.lucene.search.function","0,08",5,53,"0,01","0,97"
"backwards.src.test.org.apache.lucene.search.payloads","0,00",13,66,"0,16","0,92"
"backwards.src.test.org.apache.lucene.search.spans","0,00",5,112,"0,04","0,99"
"backwards.src.test.org.apache.lucene.store","0,00",15,85,"0,15","0,96"
"backwards.src.test.org.apache.lucene.util","0,00",22,98,"0,18","0,96"
"backwards.src.test.org.apache.lucene.util.packed","0,00",0,3,"0,00","1,00"
"contrib.analysis-extras.src.java.org.apache.solr.analysis","0,00",0,24,"0,00","1,00"
"contrib.analysis-extras.src.test.org.apache.solr.analysis","0,00",0,12,"0,00","1,00"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ar","0,00",10,16,"0,38","0,61"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.bg","0,00",3,10,"0,23","0,80"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.br","0,00",3,10,"0,23","0,78"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ca","0,00",2,9,"0,18","0,88"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.charfilter","0,00",3,5,"0,38","0,67"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.cjk","0,00",6,18,"0,25","0,75"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.cn","0,00",2,7,"0,22","0,78"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.compound","0,25",4,11,"0,02","0,75"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.compound.hyphenation","0,09",7,2,"0,69","0,17"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.cz","0,00",3,11,"0,21","0,80"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.da","0,00",2,10,"0,17","0,86"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.de","0,00",6,23,"0,21","0,79"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.el","0,00",5,14,"0,26","0,75"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.en","0,00",7,18,"0,28","0,77"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.es","0,00",3,13,"0,19","0,82"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.eu","0,00",2,8,"0,20","0,86"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.fa","0,00",4,12,"0,25","0,77"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.fi","0,00",3,14,"0,18","0,83"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.fr","0,00",7,22,"0,24","0,75"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ga","0,00",3,12,"0,20","0,83"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.gl","0,00",4,15,"0,21","0,80"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.hi","0,00",4,15,"0,21","0,81"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.hu","0,00",3,14,"0,18","0,83"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.hunspell","0,10",7,13,"0,25","0,83"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.hy","0,00",2,8,"0,20","0,86"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.id","0,00",3,10,"0,23","0,80"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.in","0,00",4,7,"0,36","0,70"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.it","0,00",3,14,"0,18","0,83"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.lv","0,00",4,12,"0,25","0,82"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.miscellaneous","0,00",11,23,"0,32","0,65"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ngram","0,33",8,14,"0,03","0,78"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.nl","0,00",2,13,"0,13","0,90"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.no","0,00",4,18,"0,18","0,82"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.path","0,00",2,6,"0,25","0,75"
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.payloads","0,20",13,21,"0,18","0,62"
