Complexity metrics,Seg, 11 dez 2017 18:53:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.LineRecordWriter.LineRecordWriter(DataOutputStream)",1,1,2
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.LineRecordWriter.close(Reporter)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.LineRecordWriter.write(Text,CrawlDatum)",1,4,4
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.getRecordWriter(FileSystem,JobConf,String,Progressable)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbDumpMapper.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbDumpMapper.configure(JobConf)",1,3,3
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbDumpMapper.map(Text,CrawlDatum,OutputCollector<Text, CrawlDatum>,Reporter)",8,5,9
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner.CrawlDbStatCombiner()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner.reduce(Text,Iterator<LongWritable>,OutputCollector<Text, LongWritable>,Reporter)",1,6,6
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatMapper.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatMapper.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatMapper.map(Text,CrawlDatum,OutputCollector<Text, LongWritable>,Reporter)",1,2,2
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatReducer.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatReducer.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatReducer.reduce(Text,Iterator<LongWritable>,OutputCollector<Text, LongWritable>,Reporter)",1,14,14
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNMapper.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNMapper.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNMapper.map(Text,CrawlDatum,OutputCollector<FloatWritable, Text>,Reporter)",2,1,2
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNReducer.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNReducer.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNReducer.reduce(FloatWritable,Iterator<Text>,OutputCollector<FloatWritable, Text>,Reporter)",1,3,3
"org.apache.nutch.crawl.CrawlDbReader.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.closeReaders()",2,2,4
"org.apache.nutch.crawl.CrawlDbReader.get(String,String,JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.main(String[])",1,1,1
"org.apache.nutch.crawl.CrawlDbReader.openReaders(String,JobConf)",2,1,2
"org.apache.nutch.crawl.CrawlDbReader.processDumpJob(String,String,JobConf,String,String,String,Integer,String)",1,9,9
"org.apache.nutch.crawl.CrawlDbReader.processStatJob(String,Configuration,boolean)",1,10,10
"org.apache.nutch.crawl.CrawlDbReader.processStatJobHelper(String,Configuration,boolean)",1,10,10
"org.apache.nutch.crawl.CrawlDbReader.processTopNJob(String,long,float,String,JobConf)",1,4,4
"org.apache.nutch.crawl.CrawlDbReader.query(Map<String, String>,Configuration,String,String)",5,21,22
"org.apache.nutch.crawl.CrawlDbReader.readUrl(String,String,JobConf)",1,2,2
"org.apache.nutch.crawl.CrawlDbReader.run(String[])",7,11,16
"org.apache.nutch.crawl.CrawlDbReducer.close()",1,1,1
"org.apache.nutch.crawl.CrawlDbReducer.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.CrawlDbReducer.reduce(Text,Iterator<CrawlDatum>,OutputCollector<Text, CrawlDatum>,Reporter)",9,48,64
"org.apache.nutch.crawl.DeduplicationJob.DBFilter.close()",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.DBFilter.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.DBFilter.map(Text,CrawlDatum,OutputCollector<BytesWritable, CrawlDatum>,Reporter)",3,3,4
"org.apache.nutch.crawl.DeduplicationJob.DedupReducer.close()",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.DedupReducer.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.DedupReducer.reduce(BytesWritable,Iterator<CrawlDatum>,OutputCollector<Text, CrawlDatum>,Reporter)",9,9,9
"org.apache.nutch.crawl.DeduplicationJob.DedupReducer.writeOutAsDuplicate(CrawlDatum,OutputCollector<Text, CrawlDatum>,Reporter)",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.StatusUpdateReducer.close()",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.StatusUpdateReducer.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.StatusUpdateReducer.reduce(Text,Iterator<CrawlDatum>,OutputCollector<Text, CrawlDatum>,Reporter)",2,4,4
"org.apache.nutch.crawl.DeduplicationJob.main(String[])",1,1,1
"org.apache.nutch.crawl.DeduplicationJob.run(Map<String, Object>,String)",1,2,2
"org.apache.nutch.crawl.DeduplicationJob.run(String[])",2,6,6
"org.apache.nutch.crawl.DefaultFetchSchedule.setFetchSchedule(Text,CrawlDatum,long,long,long,long,int)",1,2,2
"org.apache.nutch.crawl.FetchScheduleFactory.FetchScheduleFactory()",1,1,1
"org.apache.nutch.crawl.FetchScheduleFactory.getFetchSchedule(Configuration)",2,2,3
"org.apache.nutch.crawl.Generator.CrawlDbUpdater.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.Generator.CrawlDbUpdater.map(Text,CrawlDatum,OutputCollector<Text, CrawlDatum>,Reporter)",1,1,1
"org.apache.nutch.crawl.Generator.CrawlDbUpdater.reduce(Text,Iterator<CrawlDatum>,OutputCollector<Text, CrawlDatum>,Reporter)",4,5,5
"org.apache.nutch.crawl.Generator.DecreasingFloatComparator.compare(byte[],int,int,byte[],int,int)",1,1,1
"org.apache.nutch.crawl.Generator.Generator()",1,1,1
"org.apache.nutch.crawl.Generator.Generator(Configuration)",1,1,1
"org.apache.nutch.crawl.Generator.GeneratorOutputFormat.generateFileNameForKeyValue(FloatWritable,SelectorEntry,String)",1,1,1
"org.apache.nutch.crawl.Generator.HashComparator.HashComparator()",1,1,1
"org.apache.nutch.crawl.Generator.HashComparator.compare(WritableComparable,WritableComparable)",1,1,3
"org.apache.nutch.crawl.Generator.HashComparator.compare(byte[],int,int,byte[],int,int)",1,1,3
"org.apache.nutch.crawl.Generator.HashComparator.hash(byte[],int,int)",1,1,2
"org.apache.nutch.crawl.Generator.PartitionReducer.reduce(Text,Iterator<SelectorEntry>,OutputCollector<Text, CrawlDatum>,Reporter)",1,2,2
"org.apache.nutch.crawl.Generator.Selector.close()",1,1,1
"org.apache.nutch.crawl.Generator.Selector.configure(JobConf)",1,2,5
"org.apache.nutch.crawl.Generator.Selector.getPartition(FloatWritable,Writable,int)",1,1,1
"org.apache.nutch.crawl.Generator.Selector.map(Text,CrawlDatum,OutputCollector<FloatWritable, SelectorEntry>,Reporter)",9,10,16
"org.apache.nutch.crawl.Generator.Selector.reduce(FloatWritable,Iterator<SelectorEntry>,OutputCollector<FloatWritable, SelectorEntry>,Reporter)",7,11,16
"org.apache.nutch.crawl.Generator.SelectorEntry.SelectorEntry()",1,1,1
"org.apache.nutch.crawl.Generator.SelectorEntry.readFields(DataInput)",1,1,1
"org.apache.nutch.crawl.Generator.SelectorEntry.toString()",1,1,1
"org.apache.nutch.crawl.Generator.SelectorEntry.write(DataOutput)",1,1,1
"org.apache.nutch.crawl.Generator.SelectorInverseMapper.map(FloatWritable,SelectorEntry,OutputCollector<Text, SelectorEntry>,Reporter)",1,1,1
"org.apache.nutch.crawl.Generator.generate(Path,Path,int,long,long)",1,1,1
"org.apache.nutch.crawl.Generator.generate(Path,Path,int,long,long,boolean,boolean)",1,1,1
"org.apache.nutch.crawl.Generator.generate(Path,Path,int,long,long,boolean,boolean,boolean,int)",5,12,13
"org.apache.nutch.crawl.Generator.generateSegmentName()",1,1,2
"org.apache.nutch.crawl.Generator.main(String[])",1,1,1
"org.apache.nutch.crawl.Generator.partitionSegment(FileSystem,Path,Path,int)",1,2,2
"org.apache.nutch.crawl.Generator.run(Map<String, Object>,String)",2,11,14
"org.apache.nutch.crawl.Generator.run(String[])",3,11,12
"org.apache.nutch.crawl.Injector.InjectMapper.close()",1,1,1
"org.apache.nutch.crawl.Injector.InjectMapper.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.Injector.InjectMapper.map(WritableComparable<?>,Text,OutputCollector<Text, CrawlDatum>,Reporter)",5,16,21
"org.apache.nutch.crawl.Injector.InjectReducer.close()",1,1,1
"org.apache.nutch.crawl.Injector.InjectReducer.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.Injector.InjectReducer.reduce(Text,Iterator<CrawlDatum>,OutputCollector<Text, CrawlDatum>,Reporter)",1,7,16
"org.apache.nutch.crawl.Injector.Injector()",1,1,1
"org.apache.nutch.crawl.Injector.Injector(Configuration)",1,1,1
"org.apache.nutch.crawl.Injector.inject(Path,Path)",2,8,8
"org.apache.nutch.crawl.Injector.main(String[])",1,1,1
"org.apache.nutch.crawl.Injector.run(Map<String, Object>,String)",2,4,5
"org.apache.nutch.crawl.Injector.run(String[])",2,3,3
"org.apache.nutch.crawl.Inlink.Inlink()",1,1,1
"org.apache.nutch.crawl.Inlink.Inlink(String,String)",1,1,1
"org.apache.nutch.crawl.Inlink.equals(Object)",2,2,3
"org.apache.nutch.crawl.Inlink.getAnchor()",1,1,1
"org.apache.nutch.crawl.Inlink.getFromUrl()",1,1,1
"org.apache.nutch.crawl.Inlink.hashCode()",1,1,1
"org.apache.nutch.crawl.Inlink.read(DataInput)",1,1,1
"org.apache.nutch.crawl.Inlink.readFields(DataInput)",1,1,1
"org.apache.nutch.crawl.Inlink.skip(DataInput)",1,1,1
"org.apache.nutch.crawl.Inlink.toString()",1,1,1
"org.apache.nutch.crawl.Inlink.write(DataOutput)",1,1,1
"org.apache.nutch.crawl.InlinkPriorityQueue.InlinkPriorityQueue(int)",1,1,1
"org.apache.nutch.crawl.InlinkPriorityQueue.lessThan(Object,Object)",1,1,1
"org.apache.nutch.crawl.Inlinks.add(Inlink)",1,1,1
"org.apache.nutch.crawl.Inlinks.add(Inlinks)",1,1,1
"org.apache.nutch.crawl.Inlinks.clear()",1,1,1
"org.apache.nutch.crawl.Inlinks.getAnchors()",3,4,6
"org.apache.nutch.crawl.Inlinks.iterator()",1,1,1
"org.apache.nutch.crawl.Inlinks.readFields(DataInput)",1,2,2
"org.apache.nutch.crawl.Inlinks.size()",1,1,1
"org.apache.nutch.crawl.Inlinks.toString()",1,2,2
"org.apache.nutch.crawl.Inlinks.write(DataOutput)",1,2,2
"org.apache.nutch.crawl.LinkDb.LinkDb()",1,1,1
"org.apache.nutch.crawl.LinkDb.LinkDb(Configuration)",1,1,1
"org.apache.nutch.crawl.LinkDb.close()",1,1,1
"org.apache.nutch.crawl.LinkDb.configure(JobConf)",1,1,3
"org.apache.nutch.crawl.LinkDb.createJob(Configuration,Path,boolean,boolean)",1,4,5
"org.apache.nutch.crawl.LinkDb.getHost(String)",1,1,2
"org.apache.nutch.crawl.LinkDb.install(JobConf,Path)",1,4,4
"org.apache.nutch.crawl.LinkDb.invert(Path,Path,boolean,boolean,boolean)",1,1,1
"org.apache.nutch.crawl.LinkDb.invert(Path,Path[],boolean,boolean,boolean)",3,12,12
"org.apache.nutch.crawl.LinkDb.main(String[])",1,1,1
"org.apache.nutch.crawl.LinkDb.map(Text,ParseData,OutputCollector<Text, Inlinks>,Reporter)",8,15,21
"org.apache.nutch.crawl.LinkDb.run(Map<String, Object>,String)",2,8,13
"org.apache.nutch.crawl.LinkDb.run(String[])",2,8,8
"org.apache.nutch.crawl.LinkDbFilter.close()",1,1,1
"org.apache.nutch.crawl.LinkDbFilter.configure(JobConf)",1,2,3
"org.apache.nutch.crawl.LinkDbFilter.map(Text,Inlinks,OutputCollector<Text, Inlinks>,Reporter)",2,12,15
"org.apache.nutch.crawl.LinkDbMerger.LinkDbMerger()",1,1,1
"org.apache.nutch.crawl.LinkDbMerger.LinkDbMerger(Configuration)",1,1,1
"org.apache.nutch.crawl.LinkDbMerger.close()",1,1,1
"org.apache.nutch.crawl.LinkDbMerger.configure(JobConf)",1,1,1
"org.apache.nutch.crawl.LinkDbMerger.createMergeJob(Configuration,Path,boolean,boolean)",1,1,1
"org.apache.nutch.crawl.LinkDbMerger.main(String[])",1,1,1
"org.apache.nutch.crawl.LinkDbMerger.merge(Path,Path[],boolean,boolean)",1,2,2
"org.apache.nutch.crawl.LinkDbMerger.reduce(Text,Iterator<Inlinks>,OutputCollector<Text, Inlinks>,Reporter)",2,4,5
"org.apache.nutch.crawl.LinkDbMerger.run(String[])",2,6,6
"org.apache.nutch.crawl.LinkDbReader.LinkDBDumpMapper.close()",1,1,1
"org.apache.nutch.crawl.LinkDbReader.LinkDBDumpMapper.configure(JobConf)",1,2,2
"org.apache.nutch.crawl.LinkDbReader.LinkDBDumpMapper.map(Text,Inlinks,OutputCollector<Text, Inlinks>,Reporter)",3,2,3
"org.apache.nutch.crawl.LinkDbReader.LinkDbReader()",1,1,1
"org.apache.nutch.crawl.LinkDbReader.LinkDbReader(Configuration,Path)",1,1,1
"org.apache.nutch.crawl.LinkDbReader.close()",1,3,3
"org.apache.nutch.crawl.LinkDbReader.getAnchors(Text)",2,1,2
"org.apache.nutch.crawl.LinkDbReader.getInlinks(Text)",1,2,2
"org.apache.nutch.crawl.LinkDbReader.init(Path)",1,1,1
"org.apache.nutch.crawl.LinkDbReader.main(String[])",1,1,1
"org.apache.nutch.crawl.LinkDbReader.processDumpJob(String,String,String)",1,3,3
"org.apache.nutch.crawl.LinkDbReader.run(String[])",4,8,9
"org.apache.nutch.crawl.MD5Signature.calculate(Content,Parse)",1,2,2
"org.apache.nutch.crawl.MapWritable.ClassIdEntry.ClassIdEntry(byte,Class<?>)",1,1,1
"org.apache.nutch.crawl.MapWritable.KeyValueEntry.KeyValueEntry(Writable,Writable)",1,1,1
"org.apache.nutch.crawl.MapWritable.KeyValueEntry.equals(Object)",2,3,3
"org.apache.nutch.crawl.MapWritable.KeyValueEntry.hashCode()",1,1,1
"org.apache.nutch.crawl.MapWritable.KeyValueEntry.toString()",1,1,1
"org.apache.nutch.crawl.MapWritable.MapWritable()",1,1,1
"org.apache.nutch.crawl.MapWritable.MapWritable(MapWritable)",2,3,3
"org.apache.nutch.crawl.MapWritable.addIdEntry(byte,Class<?>)",1,1,2
"org.apache.nutch.crawl.MapWritable.addToMap(Class<?>,Byte)",1,1,1
"org.apache.nutch.crawl.MapWritable.clear()",1,1,1
"org.apache.nutch.crawl.MapWritable.containsKey(Writable)",1,1,1
"org.apache.nutch.crawl.MapWritable.containsValue(Writable)",3,2,3
"org.apache.nutch.crawl.MapWritable.createInternalIdClassEntries()",1,4,4
"org.apache.nutch.crawl.MapWritable.equals(Object)",3,4,5
"org.apache.nutch.crawl.MapWritable.findEntryByKey(Writable)",1,2,3
"org.apache.nutch.crawl.MapWritable.get(Writable)",2,1,2
"org.apache.nutch.crawl.MapWritable.getClass(byte)",4,1,4
"org.apache.nutch.crawl.MapWritable.getClassId(Class<?>)",4,3,4
"org.apache.nutch.crawl.MapWritable.getKeyValueEntry(byte,byte)",3,3,6
"org.apache.nutch.crawl.MapWritable.hashCode()",1,2,2
"org.apache.nutch.crawl.MapWritable.isEmpty()",1,1,1
"org.apache.nutch.crawl.MapWritable.keySet()",2,2,3
"org.apache.nutch.crawl.MapWritable.put(Writable,Writable)",3,1,3
"org.apache.nutch.crawl.MapWritable.putAll(MapWritable)",2,3,4
"org.apache.nutch.crawl.MapWritable.readFields(DataInput)",1,8,9
"org.apache.nutch.crawl.MapWritable.remove(Writable)",3,3,5
