Complexity metrics,Seg, 11 dez 2017 18:53:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.nutch.fetcher.FetchNode.getOutlinks()",1,1,1
"org.apache.nutch.fetcher.FetchNode.getStatus()",1,1,1
"org.apache.nutch.fetcher.FetchNode.getTitle()",1,1,1
"org.apache.nutch.fetcher.FetchNode.getUrl()",1,1,1
"org.apache.nutch.fetcher.FetchNode.setFetchTime(long)",1,1,1
"org.apache.nutch.fetcher.FetchNode.setOutlinks(Outlink[])",1,1,1
"org.apache.nutch.fetcher.FetchNode.setStatus(int)",1,1,1
"org.apache.nutch.fetcher.FetchNode.setTitle(String)",1,1,1
"org.apache.nutch.fetcher.FetchNode.setUrl(Text)",1,1,1
"org.apache.nutch.fetcher.FetchNodeDb.FetchNodeDb()",1,1,1
"org.apache.nutch.fetcher.FetchNodeDb.getFetchNodeDb()",1,1,1
"org.apache.nutch.fetcher.FetchNodeDb.getInstance()",1,1,2
"org.apache.nutch.fetcher.FetchNodeDb.put(String,FetchNode)",1,1,1
"org.apache.nutch.fetcher.Fetcher.Fetcher()",1,1,1
"org.apache.nutch.fetcher.Fetcher.Fetcher(Configuration)",1,1,1
"org.apache.nutch.fetcher.Fetcher.InputFormat.getSplits(JobConf,int)",1,2,2
"org.apache.nutch.fetcher.Fetcher.checkConfiguration()",2,4,4
"org.apache.nutch.fetcher.Fetcher.close()",1,1,1
"org.apache.nutch.fetcher.Fetcher.configure(JobConf)",1,1,1
"org.apache.nutch.fetcher.Fetcher.fetch(Path,int)",1,5,5
"org.apache.nutch.fetcher.Fetcher.getActiveThreads()",1,1,1
"org.apache.nutch.fetcher.Fetcher.isParsing(Configuration)",1,1,1
"org.apache.nutch.fetcher.Fetcher.isStoringContent(Configuration)",1,1,1
"org.apache.nutch.fetcher.Fetcher.main(String[])",1,1,1
"org.apache.nutch.fetcher.Fetcher.reportStatus(int,int)",1,1,1
"org.apache.nutch.fetcher.Fetcher.run(Map<String, Object>,String)",2,5,6
"org.apache.nutch.fetcher.Fetcher.run(RecordReader<Text, CrawlDatum>,OutputCollector<Text, NutchWritable>,Reporter)",3,34,39
"org.apache.nutch.fetcher.Fetcher.run(String[])",2,5,5
"org.apache.nutch.fetcher.FetcherOutputFormat.checkOutputSpecs(FileSystem,JobConf)",3,3,5
"org.apache.nutch.fetcher.FetcherOutputFormat.getRecordWriter(FileSystem,JobConf,String,Progressable)",1,8,10
"org.apache.nutch.fetcher.FetcherThread.FetcherThread(Configuration,AtomicInteger,FetchItemQueues,QueueFeeder,AtomicInteger,AtomicLong,Reporter,AtomicInteger,String,boolean,OutputCollector<Text, NutchWritable>,boolean,AtomicInteger,AtomicLong)",1,4,5
"org.apache.nutch.fetcher.FetcherThread.getReprUrl()",1,1,1
"org.apache.nutch.fetcher.FetcherThread.handleRedirect(Text,CrawlDatum,String,String,boolean,String)",5,12,14
"org.apache.nutch.fetcher.FetcherThread.isHalted()",1,1,1
"org.apache.nutch.fetcher.FetcherThread.logError(Text,String)",1,2,2
"org.apache.nutch.fetcher.FetcherThread.output(Text,CrawlDatum,Content,ProtocolStatus,int)",1,1,1
"org.apache.nutch.fetcher.FetcherThread.output(Text,CrawlDatum,Content,ProtocolStatus,int,int)",11,31,38
"org.apache.nutch.fetcher.FetcherThread.queueRedirect(Text,FetchItem)",1,3,3
"org.apache.nutch.fetcher.FetcherThread.run()",10,33,45
"org.apache.nutch.fetcher.FetcherThread.setHalted(boolean)",1,1,1
"org.apache.nutch.fetcher.FetcherThread.setReprUrl(String)",1,1,1
"org.apache.nutch.fetcher.FetcherThread.updateStatus(int)",1,1,1
"org.apache.nutch.fetcher.QueueFeeder.QueueFeeder(RecordReader<Text, CrawlDatum>,FetchItemQueues,int)",1,1,1
"org.apache.nutch.fetcher.QueueFeeder.run()",5,9,11
"org.apache.nutch.fetcher.QueueFeeder.setTimeLimit(long)",1,1,1
"org.apache.nutch.indexer.CleaningJob.DBFilter.close()",1,1,1
"org.apache.nutch.indexer.CleaningJob.DBFilter.configure(JobConf)",1,1,1
"org.apache.nutch.indexer.CleaningJob.DBFilter.map(Text,CrawlDatum,OutputCollector<ByteWritable, Text>,Reporter)",1,3,3
"org.apache.nutch.indexer.CleaningJob.DeleterReducer.close()",1,2,3
"org.apache.nutch.indexer.CleaningJob.DeleterReducer.configure(JobConf)",1,1,2
"org.apache.nutch.indexer.CleaningJob.DeleterReducer.reduce(ByteWritable,Iterator<Text>,OutputCollector<Text, ByteWritable>,Reporter)",1,2,2
"org.apache.nutch.indexer.CleaningJob.delete(String,boolean)",1,1,1
"org.apache.nutch.indexer.CleaningJob.getConf()",1,1,1
"org.apache.nutch.indexer.CleaningJob.main(String[])",1,1,1
"org.apache.nutch.indexer.CleaningJob.run(String[])",2,4,5
"org.apache.nutch.indexer.CleaningJob.setConf(Configuration)",1,1,1
"org.apache.nutch.indexer.IndexWriters.IndexWriters(Configuration)",3,4,6
"org.apache.nutch.indexer.IndexWriters.close()",2,2,3
"org.apache.nutch.indexer.IndexWriters.commit()",2,2,3
"org.apache.nutch.indexer.IndexWriters.delete(String)",2,2,3
"org.apache.nutch.indexer.IndexWriters.describe()",1,3,3
"org.apache.nutch.indexer.IndexWriters.open(JobConf,String)",2,2,3
"org.apache.nutch.indexer.IndexWriters.update(NutchDocument)",2,2,3
"org.apache.nutch.indexer.IndexWriters.write(NutchDocument)",2,2,3
"org.apache.nutch.indexer.IndexerMapReduce.close()",1,1,1
"org.apache.nutch.indexer.IndexerMapReduce.configure(JobConf)",1,3,3
"org.apache.nutch.indexer.IndexerMapReduce.filterUrl(String)",2,1,3
"org.apache.nutch.indexer.IndexerMapReduce.initMRJob(Path,Path,Collection<Path>,JobConf,boolean)",1,7,7
"org.apache.nutch.indexer.IndexerMapReduce.map(Text,Writable,OutputCollector<Text, NutchWritable>,Reporter)",2,2,2
"org.apache.nutch.indexer.IndexerMapReduce.normalizeUrl(String)",2,3,4
"org.apache.nutch.indexer.IndexerMapReduce.reduce(Text,Iterator<NutchWritable>,OutputCollector<Text, NutchIndexAction>,Reporter)",18,37,45
"org.apache.nutch.indexer.IndexerOutputFormat.getRecordWriter(FileSystem,JobConf,String,Progressable)",1,3,3
"org.apache.nutch.indexer.IndexingException.IndexingException()",1,1,1
"org.apache.nutch.indexer.IndexingException.IndexingException(String)",1,1,1
"org.apache.nutch.indexer.IndexingException.IndexingException(String,Throwable)",1,1,1
"org.apache.nutch.indexer.IndexingException.IndexingException(Throwable)",1,1,1
"org.apache.nutch.indexer.IndexingFilters.IndexingFilters(Configuration)",1,1,1
"org.apache.nutch.indexer.IndexingFilters.filter(NutchDocument,Parse,Text,CrawlDatum,Inlinks)",3,2,3
"org.apache.nutch.indexer.IndexingFiltersChecker.IndexingFiltersChecker()",1,1,1
"org.apache.nutch.indexer.IndexingFiltersChecker.main(String[])",1,1,1
"org.apache.nutch.indexer.IndexingFiltersChecker.run(String[])",7,23,25
"org.apache.nutch.indexer.IndexingJob.IndexingJob()",1,1,1
"org.apache.nutch.indexer.IndexingJob.IndexingJob(Configuration)",1,1,1
"org.apache.nutch.indexer.IndexingJob.index(Path,Path,List<Path>,boolean)",1,1,1
"org.apache.nutch.indexer.IndexingJob.index(Path,Path,List<Path>,boolean,boolean)",1,1,1
"org.apache.nutch.indexer.IndexingJob.index(Path,Path,List<Path>,boolean,boolean,String)",1,1,1
"org.apache.nutch.indexer.IndexingJob.index(Path,Path,List<Path>,boolean,boolean,String,boolean,boolean)",1,1,1
"org.apache.nutch.indexer.IndexingJob.index(Path,Path,List<Path>,boolean,boolean,String,boolean,boolean,boolean)",1,1,1
"org.apache.nutch.indexer.IndexingJob.index(Path,Path,List<Path>,boolean,boolean,String,boolean,boolean,boolean,boolean)",1,6,6
"org.apache.nutch.indexer.IndexingJob.main(String[])",1,1,1
"org.apache.nutch.indexer.IndexingJob.run(Map<String, Object>,String)",2,14,20
"org.apache.nutch.indexer.IndexingJob.run(String[])",2,15,15
"org.apache.nutch.indexer.NutchDocument.NutchDocument()",1,1,1
"org.apache.nutch.indexer.NutchDocument.add(String,Object)",1,2,2
"org.apache.nutch.indexer.NutchDocument.getDocumentMeta()",1,1,1
"org.apache.nutch.indexer.NutchDocument.getField(String)",1,1,1
"org.apache.nutch.indexer.NutchDocument.getFieldNames()",1,1,1
"org.apache.nutch.indexer.NutchDocument.getFieldValue(String)",3,1,3
"org.apache.nutch.indexer.NutchDocument.getWeight()",1,1,1
"org.apache.nutch.indexer.NutchDocument.iterator()",1,1,1
"org.apache.nutch.indexer.NutchDocument.readFields(DataInput)",2,2,3
"org.apache.nutch.indexer.NutchDocument.removeField(String)",1,1,1
"org.apache.nutch.indexer.NutchDocument.setWeight(float)",1,1,1
"org.apache.nutch.indexer.NutchDocument.toString()",1,2,2
"org.apache.nutch.indexer.NutchDocument.write(DataOutput)",1,2,2
"org.apache.nutch.indexer.NutchField.NutchField()",1,1,1
"org.apache.nutch.indexer.NutchField.NutchField(Object)",1,1,1
"org.apache.nutch.indexer.NutchField.NutchField(Object,float)",1,2,2
"org.apache.nutch.indexer.NutchField.add(Object)",1,1,1
"org.apache.nutch.indexer.NutchField.clone()",1,1,1
"org.apache.nutch.indexer.NutchField.getValues()",1,1,1
"org.apache.nutch.indexer.NutchField.getWeight()",1,1,1
"org.apache.nutch.indexer.NutchField.readFields(DataInput)",1,8,8
"org.apache.nutch.indexer.NutchField.reset()",1,1,1
"org.apache.nutch.indexer.NutchField.setWeight(float)",1,1,1
"org.apache.nutch.indexer.NutchField.toString()",1,1,1
"org.apache.nutch.indexer.NutchField.write(DataOutput)",1,8,8
"org.apache.nutch.indexer.NutchIndexAction.NutchIndexAction(NutchDocument,byte)",1,1,1
"org.apache.nutch.indexer.NutchIndexAction.readFields(DataInput)",1,1,1
"org.apache.nutch.indexer.NutchIndexAction.write(DataOutput)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.MetaWrapper()",1,1,1
"org.apache.nutch.metadata.MetaWrapper.MetaWrapper(Metadata,Writable,Configuration)",1,1,2
"org.apache.nutch.metadata.MetaWrapper.MetaWrapper(Writable,Configuration)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.addMeta(String,String)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.getMeta(String)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.getMetaValues(String)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.getMetadata()",1,1,1
"org.apache.nutch.metadata.MetaWrapper.readFields(DataInput)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.setMeta(String,String)",1,1,1
"org.apache.nutch.metadata.MetaWrapper.write(DataOutput)",1,1,1
"org.apache.nutch.metadata.Metadata.Metadata()",1,1,1
"org.apache.nutch.metadata.Metadata._getValues(String)",1,1,2
"org.apache.nutch.metadata.Metadata.add(String,String)",1,2,2
"org.apache.nutch.metadata.Metadata.clear()",1,1,1
"org.apache.nutch.metadata.Metadata.equals(Object)",7,3,8
"org.apache.nutch.metadata.Metadata.get(String)",2,1,2
"org.apache.nutch.metadata.Metadata.getValues(String)",1,1,1
"org.apache.nutch.metadata.Metadata.isMultiValued(String)",1,2,2
"org.apache.nutch.metadata.Metadata.names()",1,1,1
"org.apache.nutch.metadata.Metadata.readFields(DataInput)",1,3,3
"org.apache.nutch.metadata.Metadata.remove(String)",1,1,1
"org.apache.nutch.metadata.Metadata.set(String,String)",1,1,1
"org.apache.nutch.metadata.Metadata.setAll(Properties)",1,2,2
"org.apache.nutch.metadata.Metadata.size()",1,1,1
"org.apache.nutch.metadata.Metadata.toString()",1,3,3
"org.apache.nutch.metadata.Metadata.write(DataOutput)",1,4,6
"org.apache.nutch.metadata.SpellCheckedMetadata.add(String,String)",1,1,1
"org.apache.nutch.metadata.SpellCheckedMetadata.get(String)",1,1,1
"org.apache.nutch.metadata.SpellCheckedMetadata.getNormalizedName(String)",1,4,7
"org.apache.nutch.metadata.SpellCheckedMetadata.getValues(String)",1,1,1
"org.apache.nutch.metadata.SpellCheckedMetadata.normalize(String)",1,3,3
"org.apache.nutch.metadata.SpellCheckedMetadata.remove(String)",1,1,1
"org.apache.nutch.metadata.SpellCheckedMetadata.set(String,String)",1,1,1
"org.apache.nutch.net.URLFilterChecker.URLFilterChecker(Configuration)",1,1,1
"org.apache.nutch.net.URLFilterChecker.checkAll()",1,3,3
"org.apache.nutch.net.URLFilterChecker.checkOne(String)",5,4,7
"org.apache.nutch.net.URLFilterChecker.main(String[])",1,5,5
"org.apache.nutch.net.URLFilterException.URLFilterException()",1,1,1
"org.apache.nutch.net.URLFilterException.URLFilterException(String)",1,1,1
"org.apache.nutch.net.URLFilterException.URLFilterException(String,Throwable)",1,1,1
"org.apache.nutch.net.URLFilterException.URLFilterException(Throwable)",1,1,1
"org.apache.nutch.net.URLFilters.URLFilters(Configuration)",1,1,1
"org.apache.nutch.net.URLFilters.filter(String)",3,2,3
"org.apache.nutch.net.URLNormalizerChecker.URLNormalizerChecker(Configuration)",1,1,1
"org.apache.nutch.net.URLNormalizerChecker.checkAll(String)",1,2,2
"org.apache.nutch.net.URLNormalizerChecker.checkOne(String,String)",5,3,6
"org.apache.nutch.net.URLNormalizerChecker.main(String[])",1,5,5
"org.apache.nutch.net.URLNormalizers.URLNormalizers(Configuration,String)",2,4,5
"org.apache.nutch.net.URLNormalizers.findExtensions(String)",3,11,12
"org.apache.nutch.net.URLNormalizers.getExtensions(String)",2,3,4
"org.apache.nutch.net.URLNormalizers.getURLNormalizers(String)",2,4,5
"org.apache.nutch.net.URLNormalizers.normalize(String,String)",5,3,5
"org.apache.nutch.net.protocols.HttpDateFormat.main(String[])",1,1,1
"org.apache.nutch.net.protocols.HttpDateFormat.toDate(String)",1,1,1
"org.apache.nutch.net.protocols.HttpDateFormat.toLong(String)",1,1,1
"org.apache.nutch.net.protocols.HttpDateFormat.toString(Calendar)",1,1,1
"org.apache.nutch.net.protocols.HttpDateFormat.toString(Date)",1,1,1
"org.apache.nutch.net.protocols.HttpDateFormat.toString(long)",1,1,1
"org.apache.nutch.net.protocols.ProtocolException.ProtocolException()",1,1,1
"org.apache.nutch.net.protocols.ProtocolException.ProtocolException(String)",1,1,1
"org.apache.nutch.net.protocols.ProtocolException.ProtocolException(String,Throwable)",1,1,1
"org.apache.nutch.net.protocols.ProtocolException.ProtocolException(Throwable)",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getBaseHref()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getGeneralTags()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getHttpEquivTags()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getNoCache()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getNoFollow()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getNoIndex()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getRefresh()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getRefreshHref()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.getRefreshTime()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.reset()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setBaseHref(URL)",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setNoCache()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setNoFollow()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setNoIndex()",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setRefresh(boolean)",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setRefreshHref(URL)",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.setRefreshTime(int)",1,1,1
"org.apache.nutch.parse.HTMLMetaTags.toString()",1,3,3
"org.apache.nutch.parse.HtmlParseFilters.HtmlParseFilters(Configuration)",1,1,1
"org.apache.nutch.parse.HtmlParseFilters.filter(Content,ParseResult,HTMLMetaTags,DocumentFragment)",3,3,3
"org.apache.nutch.parse.Outlink.Outlink()",1,1,1
"org.apache.nutch.parse.Outlink.Outlink(String,String)",1,1,2
"org.apache.nutch.parse.Outlink.equals(Object)",2,2,3
"org.apache.nutch.parse.Outlink.getAnchor()",1,1,1
"org.apache.nutch.parse.Outlink.getMetadata()",1,1,1
"org.apache.nutch.parse.Outlink.getToUrl()",1,1,1
"org.apache.nutch.parse.Outlink.read(DataInput)",1,1,1
"org.apache.nutch.parse.Outlink.readFields(DataInput)",1,2,2
"org.apache.nutch.parse.Outlink.setMetadata(MapWritable)",1,1,1
"org.apache.nutch.parse.Outlink.setUrl(String)",1,1,1
"org.apache.nutch.parse.Outlink.skip(DataInput)",1,2,2
"org.apache.nutch.parse.Outlink.toString()",1,4,4
"org.apache.nutch.parse.Outlink.write(DataOutput)",1,3,3
"org.apache.nutch.parse.OutlinkExtractor.getOutlinks(String,Configuration)",1,1,1
"org.apache.nutch.parse.OutlinkExtractor.getOutlinks(String,String,Configuration)",3,9,9
"org.apache.nutch.parse.ParseCallable.ParseCallable(Parser,Content)",1,1,1
"org.apache.nutch.parse.ParseCallable.call()",1,1,1
"org.apache.nutch.parse.ParseData.ParseData()",1,1,1
"org.apache.nutch.parse.ParseData.ParseData(ParseStatus,String,Outlink[],Metadata)",1,1,1
"org.apache.nutch.parse.ParseData.ParseData(ParseStatus,String,Outlink[],Metadata,Metadata)",1,1,1
"org.apache.nutch.parse.ParseData.equals(Object)",2,5,6
"org.apache.nutch.parse.ParseData.getContentMeta()",1,1,1
"org.apache.nutch.parse.ParseData.getMeta(String)",1,2,2
"org.apache.nutch.parse.ParseData.getOutlinks()",1,1,1
"org.apache.nutch.parse.ParseData.getParseMeta()",1,1,1
"org.apache.nutch.parse.ParseData.getStatus()",1,1,1
"org.apache.nutch.parse.ParseData.getTitle()",1,1,1
"org.apache.nutch.parse.ParseData.getVersion()",1,1,1
"org.apache.nutch.parse.ParseData.main(String[])",2,2,2
"org.apache.nutch.parse.ParseData.read(DataInput)",1,1,1
"org.apache.nutch.parse.ParseData.readFields(DataInput)",2,5,6
"org.apache.nutch.parse.ParseData.setOutlinks(Outlink[])",1,1,1
"org.apache.nutch.parse.ParseData.setParseMeta(Metadata)",1,1,1
"org.apache.nutch.parse.ParseData.toString()",1,3,3
"org.apache.nutch.parse.ParseData.write(DataOutput)",1,2,2
"org.apache.nutch.parse.ParseException.ParseException()",1,1,1
"org.apache.nutch.parse.ParseException.ParseException(String)",1,1,1
"org.apache.nutch.parse.ParseException.ParseException(String,Throwable)",1,1,1
"org.apache.nutch.parse.ParseException.ParseException(Throwable)",1,1,1
"org.apache.nutch.parse.ParseImpl.ParseImpl()",1,1,1
"org.apache.nutch.parse.ParseImpl.ParseImpl(Parse)",1,1,1
"org.apache.nutch.parse.ParseImpl.ParseImpl(ParseText,ParseData)",1,1,1
"org.apache.nutch.parse.ParseImpl.ParseImpl(ParseText,ParseData,boolean)",1,1,1
"org.apache.nutch.parse.ParseImpl.ParseImpl(String,ParseData)",1,1,1
"org.apache.nutch.parse.ParseImpl.getData()",1,1,1
"org.apache.nutch.parse.ParseImpl.getText()",1,1,1
"org.apache.nutch.parse.ParseImpl.isCanonical()",1,1,1
"org.apache.nutch.parse.ParseImpl.read(DataInput)",1,1,1
"org.apache.nutch.parse.ParseImpl.readFields(DataInput)",1,1,1
"org.apache.nutch.parse.ParseImpl.write(DataOutput)",1,1,1
"org.apache.nutch.parse.ParseOutputFormat.SimpleEntry.SimpleEntry(Text,CrawlDatum)",1,1,1
"org.apache.nutch.parse.ParseOutputFormat.SimpleEntry.getKey()",1,1,1
"org.apache.nutch.parse.ParseOutputFormat.SimpleEntry.getValue()",1,1,1
"org.apache.nutch.parse.ParseOutputFormat.SimpleEntry.setValue(CrawlDatum)",1,1,1
"org.apache.nutch.parse.ParseOutputFormat.checkOutputSpecs(FileSystem,JobConf)",3,3,5
"org.apache.nutch.parse.ParseOutputFormat.filterNormalize(String,String,String,boolean,URLFilters,URLNormalizers)",1,1,1
"org.apache.nutch.parse.ParseOutputFormat.filterNormalize(String,String,String,boolean,URLFilters,URLNormalizers,String)",5,5,10
"org.apache.nutch.parse.ParseOutputFormat.getRecordWriter(FileSystem,JobConf,String,Progressable)",4,22,29
"org.apache.nutch.parse.ParsePluginList.ParsePluginList()",1,1,1
"org.apache.nutch.parse.ParsePluginList.getAliases()",1,1,1
"org.apache.nutch.parse.ParsePluginList.getPluginList(String)",1,1,1
"org.apache.nutch.parse.ParsePluginList.getSupportedMimeTypes()",1,1,1
"org.apache.nutch.parse.ParsePluginList.setAliases(Map<String, String>)",1,1,1
"org.apache.nutch.parse.ParsePluginList.setPluginList(String,List<String>)",1,1,1
"org.apache.nutch.parse.ParsePluginsReader.ParsePluginsReader()",1,1,1
"org.apache.nutch.parse.ParsePluginsReader.getAliases(Element)",2,12,13
"org.apache.nutch.parse.ParsePluginsReader.getFParsePluginsFile()",1,1,1
"org.apache.nutch.parse.ParsePluginsReader.main(String[])",1,8,10
"org.apache.nutch.parse.ParsePluginsReader.parse(Configuration)",2,12,14
"org.apache.nutch.parse.ParsePluginsReader.setFParsePluginsFile(String)",1,1,1
"org.apache.nutch.parse.ParseResult.ParseResult(String)",1,1,1
"org.apache.nutch.parse.ParseResult.createParseResult(String,Parse)",1,1,1
"org.apache.nutch.parse.ParseResult.filter()",1,3,3
"org.apache.nutch.parse.ParseResult.get(String)",1,1,1
"org.apache.nutch.parse.ParseResult.get(Text)",1,1,1
"org.apache.nutch.parse.ParseResult.isEmpty()",1,1,1
"org.apache.nutch.parse.ParseResult.isSuccess()",3,2,3
"org.apache.nutch.parse.ParseResult.iterator()",1,1,1
"org.apache.nutch.parse.ParseResult.put(String,ParseText,ParseData)",1,1,1
"org.apache.nutch.parse.ParseResult.put(Text,ParseText,ParseData)",1,1,1
"org.apache.nutch.parse.ParseResult.size()",1,1,1
"org.apache.nutch.parse.ParseSegment.ParseSegment()",1,1,1
"org.apache.nutch.parse.ParseSegment.ParseSegment(Configuration)",1,1,1
"org.apache.nutch.parse.ParseSegment.close()",1,1,1
"org.apache.nutch.parse.ParseSegment.configure(JobConf)",1,1,1
"org.apache.nutch.parse.ParseSegment.isTruncated(Content)",5,5,8
"org.apache.nutch.parse.ParseSegment.main(String[])",1,1,1
"org.apache.nutch.parse.ParseSegment.map(WritableComparable<?>,Content,OutputCollector<Text, ParseImpl>,Reporter)",3,10,11
"org.apache.nutch.parse.ParseSegment.parse(Path)",2,3,3
"org.apache.nutch.parse.ParseSegment.reduce(Text,Iterator<Writable>,OutputCollector<Text, Writable>,Reporter)",1,1,1
"org.apache.nutch.parse.ParseSegment.run(Map<String, Object>,String)",2,5,6
"org.apache.nutch.parse.ParseSegment.run(String[])",1,6,6
"org.apache.nutch.parse.ParseStatus.EmptyParseImpl.EmptyParseImpl(ParseStatus,Configuration)",1,1,1
"org.apache.nutch.parse.ParseStatus.EmptyParseImpl.getData()",1,1,1
"org.apache.nutch.parse.ParseStatus.EmptyParseImpl.getText()",1,1,1
"org.apache.nutch.parse.ParseStatus.EmptyParseImpl.isCanonical()",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus()",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(Throwable)",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(int)",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(int,String)",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(int,String[])",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(int,int)",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(int,int,String)",1,1,1
"org.apache.nutch.parse.ParseStatus.ParseStatus(int,int,String[])",1,1,1
"org.apache.nutch.parse.ParseStatus.equals(Object)",10,3,12
"org.apache.nutch.parse.ParseStatus.getArgs()",1,1,1
"org.apache.nutch.parse.ParseStatus.getEmptyParse(Configuration)",1,1,1
"org.apache.nutch.parse.ParseStatus.getEmptyParseResult(String,Configuration)",1,1,1
"org.apache.nutch.parse.ParseStatus.getMajorCode()",1,1,1
"org.apache.nutch.parse.ParseStatus.getMessage()",2,1,4
"org.apache.nutch.parse.ParseStatus.getMinorCode()",1,1,1
"org.apache.nutch.parse.ParseStatus.getVersion()",1,1,1
"org.apache.nutch.parse.ParseStatus.isSuccess()",1,1,1
"org.apache.nutch.parse.ParseStatus.read(DataInput)",1,1,1
"org.apache.nutch.parse.ParseStatus.readFields(DataInput)",2,2,4
"org.apache.nutch.parse.ParseStatus.setArgs(String[])",1,1,1
"org.apache.nutch.parse.ParseStatus.setMajorCode(byte)",1,1,1
"org.apache.nutch.parse.ParseStatus.setMessage(String)",1,1,3
"org.apache.nutch.parse.ParseStatus.setMinorCode(short)",1,1,1
"org.apache.nutch.parse.ParseStatus.toString()",1,5,7
"org.apache.nutch.parse.ParseStatus.write(DataOutput)",1,2,2
"org.apache.nutch.parse.ParseText.ParseText()",1,1,1
"org.apache.nutch.parse.ParseText.ParseText(String)",1,1,1
"org.apache.nutch.parse.ParseText.equals(Object)",2,1,2
"org.apache.nutch.parse.ParseText.getText()",1,1,1
"org.apache.nutch.parse.ParseText.main(String[])",2,2,2
"org.apache.nutch.parse.ParseText.read(DataInput)",1,1,1
"org.apache.nutch.parse.ParseText.readFields(DataInput)",2,2,4
"org.apache.nutch.parse.ParseText.toString()",1,1,1
"org.apache.nutch.parse.ParseText.write(DataOutput)",1,1,1
"org.apache.nutch.parse.ParseUtil.ParseUtil(Configuration)",1,1,1
"org.apache.nutch.parse.ParseUtil.parse(Content)",3,9,10
"org.apache.nutch.parse.ParseUtil.parseByExtensionId(String,Content)",2,7,7
"org.apache.nutch.parse.ParseUtil.runParser(Parser,Content)",1,2,2
"org.apache.nutch.parse.ParserChecker.ParserChecker()",1,1,1
"org.apache.nutch.parse.ParserChecker.getConf()",1,1,1
"org.apache.nutch.parse.ParserChecker.main(String[])",1,1,1
"org.apache.nutch.parse.ParserChecker.run(String[])",7,28,29
"org.apache.nutch.parse.ParserChecker.setConf(Configuration)",1,1,1
"org.apache.nutch.parse.ParserFactory.ParserFactory(Configuration)",3,2,4
"org.apache.nutch.parse.ParserFactory.escapeContentType(String)",1,1,1
"org.apache.nutch.parse.ParserFactory.findExtensions(String)",2,1,2
"org.apache.nutch.parse.ParserFactory.getExtension(Extension[],String)",3,2,3
"org.apache.nutch.parse.ParserFactory.getExtension(Extension[],String,String)",3,2,3
"org.apache.nutch.parse.ParserFactory.getExtensionFromAlias(Extension[],String)",1,1,1
"org.apache.nutch.parse.ParserFactory.getExtensions(String)",2,3,4
"org.apache.nutch.parse.ParserFactory.getParserById(String)",3,6,7
"org.apache.nutch.parse.ParserFactory.getParsers(String,String)",2,5,6
"org.apache.nutch.parse.ParserFactory.match(Extension,String,String)",1,4,4
"org.apache.nutch.parse.ParserFactory.matchExtensions(List<String>,Extension[],String)",1,16,17
"org.apache.nutch.parse.ParserNotFound.ParserNotFound(String)",1,1,1
"org.apache.nutch.parse.ParserNotFound.ParserNotFound(String,String)",1,1,1
"org.apache.nutch.parse.ParserNotFound.ParserNotFound(String,String,String)",1,1,1
"org.apache.nutch.parse.ParserNotFound.getContentType()",1,1,1
"org.apache.nutch.parse.ParserNotFound.getUrl()",1,1,1
"org.apache.nutch.plugin.CircularDependencyException.CircularDependencyException(String)",1,1,1
"org.apache.nutch.plugin.CircularDependencyException.CircularDependencyException(Throwable)",1,1,1
"org.apache.nutch.plugin.Extension.Extension(PluginDescriptor,String,String,String,Configuration,PluginRepository)",1,1,1
"org.apache.nutch.plugin.Extension.addAttribute(String,String)",1,1,1
"org.apache.nutch.plugin.Extension.getAttribute(String)",1,1,1
"org.apache.nutch.plugin.Extension.getClazz()",1,1,1
"org.apache.nutch.plugin.Extension.getDescriptor()",1,1,1
