Complexity metrics,Qua, 13 dez 2017 16:37:32 BRST
Method,ev(G),iv(G),v(G)
"net.sourceforge.jvlt.core.ChoiceSchemaAttribute.getChoice(String)",1,1,1
"net.sourceforge.jvlt.core.ChoiceSchemaAttribute.getChoices()",1,1,1
"net.sourceforge.jvlt.core.ChoiceSchemaAttribute.setChoices(AttributeChoice[])",1,2,2
"net.sourceforge.jvlt.core.ChoiceSchemaAttribute.toString()",1,2,2
"net.sourceforge.jvlt.core.Dict.Dict()",1,1,1
"net.sourceforge.jvlt.core.Dict.addEntry(Entry)",2,2,3
"net.sourceforge.jvlt.core.Dict.addExample(Example)",2,2,3
"net.sourceforge.jvlt.core.Dict.getEntries()",1,1,1
"net.sourceforge.jvlt.core.Dict.getEntry(Entry)",3,1,3
"net.sourceforge.jvlt.core.Dict.getEntry(String)",2,2,2
"net.sourceforge.jvlt.core.Dict.getEntryAttributeSchema()",1,1,1
"net.sourceforge.jvlt.core.Dict.getEntryCount()",1,1,1
"net.sourceforge.jvlt.core.Dict.getExample(Example)",3,1,3
"net.sourceforge.jvlt.core.Dict.getExample(String)",2,2,2
"net.sourceforge.jvlt.core.Dict.getExampleCount()",1,1,1
"net.sourceforge.jvlt.core.Dict.getExamples()",1,1,1
"net.sourceforge.jvlt.core.Dict.getExamples(Entry)",2,2,3
"net.sourceforge.jvlt.core.Dict.getExamples(Sense)",1,3,3
"net.sourceforge.jvlt.core.Dict.getLanguage()",1,1,1
"net.sourceforge.jvlt.core.Dict.getNextUnusedEntryID()",3,2,3
"net.sourceforge.jvlt.core.Dict.getNextUnusedExampleID()",3,2,3
"net.sourceforge.jvlt.core.Dict.removeEntry(Entry)",2,2,2
"net.sourceforge.jvlt.core.Dict.removeExample(Example)",1,1,1
"net.sourceforge.jvlt.core.Dict.setLanguage(String)",2,2,5
"net.sourceforge.jvlt.core.DictException.DictException(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.Comparator.compare(Entry,Entry)",9,9,10
"net.sourceforge.jvlt.core.Entry.Comparator.equals(Object)",1,1,1
"net.sourceforge.jvlt.core.Entry.Entry(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag.UserFlag(int)",1,1,1
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag.getLongName()",6,2,6
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag.getShortName()",6,2,6
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag.getValue()",1,1,1
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag.toString()",1,1,1
"net.sourceforge.jvlt.core.Entry.Stats.clone()",1,3,4
"net.sourceforge.jvlt.core.Entry.Stats.reinit(Reinitializable)",1,1,1
"net.sourceforge.jvlt.core.Entry.addCategory(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.addCustomField(String,String)",1,1,1
"net.sourceforge.jvlt.core.Entry.addMultimediaFile(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.addPronunciation(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.addSense(Sense)",1,1,1
"net.sourceforge.jvlt.core.Entry.addSense(int,Sense)",2,1,2
"net.sourceforge.jvlt.core.Entry.clone()",1,2,2
"net.sourceforge.jvlt.core.Entry.compareTo(Entry)",1,1,1
"net.sourceforge.jvlt.core.Entry.createDeepCopy()",1,3,3
"net.sourceforge.jvlt.core.Entry.equals(Object)",2,1,3
"net.sourceforge.jvlt.core.Entry.getBatch()",1,1,1
"net.sourceforge.jvlt.core.Entry.getCategories()",1,1,1
"net.sourceforge.jvlt.core.Entry.getCustomFields()",1,1,1
"net.sourceforge.jvlt.core.Entry.getDateAdded()",1,1,1
"net.sourceforge.jvlt.core.Entry.getEntryClass()",1,1,1
"net.sourceforge.jvlt.core.Entry.getExpireDate()",3,2,4
"net.sourceforge.jvlt.core.Entry.getID()",1,1,1
"net.sourceforge.jvlt.core.Entry.getLastQueried()",1,1,1
"net.sourceforge.jvlt.core.Entry.getLastQuizResult()",1,1,1
"net.sourceforge.jvlt.core.Entry.getLesson()",1,1,1
"net.sourceforge.jvlt.core.Entry.getMistakeRatio()",2,1,2
"net.sourceforge.jvlt.core.Entry.getMultimediaFiles()",1,1,1
"net.sourceforge.jvlt.core.Entry.getNumMistakes()",1,1,1
"net.sourceforge.jvlt.core.Entry.getNumQueried()",1,1,1
"net.sourceforge.jvlt.core.Entry.getOrthography()",1,1,1
"net.sourceforge.jvlt.core.Entry.getPronunciations()",1,1,1
"net.sourceforge.jvlt.core.Entry.getSense(Sense)",3,1,3
"net.sourceforge.jvlt.core.Entry.getSenses()",1,1,1
"net.sourceforge.jvlt.core.Entry.getStats()",1,1,1
"net.sourceforge.jvlt.core.Entry.getUserFlags()",1,1,1
"net.sourceforge.jvlt.core.Entry.reinit(Reinitializable)",1,1,1
"net.sourceforge.jvlt.core.Entry.removeSense(Sense)",1,1,1
"net.sourceforge.jvlt.core.Entry.resetStats()",1,1,1
"net.sourceforge.jvlt.core.Entry.setBatch(int)",1,1,1
"net.sourceforge.jvlt.core.Entry.setCategories(String[])",1,1,1
"net.sourceforge.jvlt.core.Entry.setCustomFields(StringPair[])",1,1,1
