Martin packaging metrics,Seg, 4 dez 2017 18:31:24 BRST
Package,A,Ca,Ce,D,I
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.data.schema","0,00",0,5,"0,00","1,00"
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.mapreduce","0,03",18,98,"0,12","0,93"
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.rcfile","0,00",0,6,"0,00","1,00"
"hcatalog.hcatalog-pig-adapter.src.main.java.org.apache.hive.hcatalog.pig","0,29",3,30,"0,19","0,97"
"hcatalog.hcatalog-pig-adapter.src.test.java.org.apache.hive.hcatalog.pig","0,00",6,55,"0,10","0,98"
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.listener","0,00",0,6,"0,00","1,00"
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.messaging","0,90",23,5,"0,08","0,16"
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.messaging.jms","0,00",1,2,"0,33","0,67"
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.messaging.json","0,00",1,9,"0,10","0,90"
"hcatalog.server-extensions.src.test.java.org.apache.hive.hcatalog.listener","0,00",0,18,"0,00","1,00"
"hcatalog.src.test.e2e.hcatalog.tools.generate.java.org.apache.hadoop.hive.tools.generate","0,00",0,2,"0,00","1,00"
"hcatalog.src.test.e2e.hcatalog.udfs.java.org.apache.hive.hcatalog.utils","0,00",23,101,"0,19","0,95"
"hcatalog.streaming.src.java.org.apache.hive.hcatalog.streaming","0,17",4,29,"0,05","0,95"
"hcatalog.streaming.src.test.org.apache.hive.hcatalog.streaming","0,00",5,13,"0,28","0,85"
"hcatalog.webhcat.java-client.src.main.java.org.apache.hive.hcatalog.api","0,11",9,48,"0,05","0,93"
"hcatalog.webhcat.java-client.src.test.java.org.apache.hive.hcatalog.api","0,00",2,14,"0,12","0,92"
"hcatalog.webhcat.svr.src.main.java.org.apache.hive.hcatalog.templeton","0,04",24,42,"0,33","0,74"
