Dependency metrics,Sex, 6 out 2017 18:45:43 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.app.ActivityThread.ProviderClientRecord",1.027,4,1.415,1,2.385
"android.app.ActivityThread.ProviderRefCount",0,0,0,1,2.386
"android.app.ActivityThread.ReceiverData",1.027,6,1.415,3,2.385
"android.app.ActivityThread.ResourcesKey",0,0,0,1,2.386
"android.app.ActivityThread.ResultData",1.027,2,1.415,3,2.385
"android.app.ActivityThread.ServiceArgsData",1.027,2,1.415,3,2.385
"android.app.ActivityThread.StopInfo",0,0,0,1,2.386
"android.app.AlarmManager",1.027,2,1.415,5,2.385
"android.app.AlertDialog",1.027,16,1.415,11,2.385
"android.app.AlertDialog.Builder",1.027,14,1.415,11,2.385
"android.app.AliasActivity",0,12,1.416,0,0
"android.app.AppGlobals",1.027,2,1.415,2,2.385
"android.app.Application",1.027,4,1.415,7,2.385
"android.app.ApplicationErrorReport",0,18,1.419,0,0
"android.app.ApplicationErrorReport.AnrInfo",0,2,1.416,1,1
"android.app.ApplicationErrorReport.BatteryInfo",0,2,1.416,1,1
"android.app.ApplicationErrorReport.CrashInfo",1.027,2,1.415,9,2.385
"android.app.ApplicationErrorReport.RunningServiceInfo",0,2,1.416,1,1
"android.app.ApplicationLoaders",0,0,0,1,2.386
"android.app.ApplicationPackageManager",1.027,31,1.415,2,2.385
"android.app.ApplicationPackageManager.ResourceName",1.027,4,1.415,1,2.385
"android.app.ApplicationThreadNative",1.027,18,1.415,3,2.385
"android.app.ApplicationThreadProxy",1.027,16,1.415,1,2.385
"android.app.BackStackRecord",1.027,7,1.415,3,2.385
"android.app.BackStackRecord.Op",1.027,1,1.415,2,2.385
"android.app.BackStackState",1.027,10,1.415,2,2.385
"android.app.ContextImpl",1.027,73,1.415,9,2.385
"android.app.ContextImpl.ApplicationContentResolver",1.027,4,1.415,1,2.385
"android.app.ContextImpl.ServiceFetcher",1.027,1,1.415,2,2.385
"android.app.ContextImpl.StaticServiceFetcher",1.027,2,1.415,1,2.385
"android.app.DatePickerDialog",0,12,1.439,0,0
"android.app.Dialog",1.027,42,1.415,29,2.385
"android.app.Dialog.ListenersHandler",1.027,7,1.415,1,2.385
"android.app.DialogFragment",0,13,1.416,0,0
"android.app.DownloadManager",1.027,13,1.415,11,2.385
"android.app.DownloadManager.CursorTranslator",1.027,8,1.415,1,2.385
"android.app.DownloadManager.Query",1.027,6,1.415,7,2.385
"android.app.DownloadManager.Request",1.027,8,1.415,7,2.385
"android.app.ExpandableListActivity",0,12,1.416,0,0
"android.app.Fragment",1.027,27,1.415,17,2.385
"android.app.Fragment.InstantiationException",0,1,1,1,2.386
"android.app.FragmentBreadCrumbs",0,15,1.416,1,4
"android.app.FragmentManager",1.027,6,1.415,7,2.385
"android.app.FragmentManagerImpl",1.027,31,1.415,8,2.385
"android.app.FragmentManagerState",1.027,5,1.415,1,2.385
"android.app.FragmentState",1.027,7,1.415,2,2.385
"android.app.FragmentTransaction",1.027,1,1.415,8,2.385
"android.app.FullBackupAgent",0,7,1.420,0,0
"android.app.IActivityManager.ContentProviderHolder",1.027,7,1.415,4,2.385
"android.app.IActivityManager.WaitResult",1.027,4,1.415,3,2.385
"android.app.Instrumentation",1.027,44,1.415,31,2.385
"android.app.Instrumentation.ActivityGoing",1.027,3,1.415,1,2.385
"android.app.Instrumentation.ActivityMonitor",1.027,6,1.415,1,2.385
