Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.preference.GenericInflater.Factory",0,2,1.416,2,31
"android.preference.GenericInflater.Parent",0,0,0,2,30
"android.preference.OnDependencyChangeListener",12,1,1.439,1,28
"android.preference.Preference.OnPreferenceChangeInternalListener",12,1,1.439,2,28
"android.preference.Preference.OnPreferenceChangeListener",12,1,1.439,1,28
"android.preference.Preference.OnPreferenceClickListener",12,1,1.439,1,28
"android.preference.PreferenceFragment.OnPreferenceStartFragmentCallback",12,2,1.439,2,28
"android.preference.PreferenceManager.OnActivityDestroyListener",0,0,0,2,29
"android.preference.PreferenceManager.OnActivityResultListener",0,1,1.416,2,29
"android.preference.PreferenceManager.OnActivityStopListener",0,0,0,2,29
"android.preference.PreferenceManager.OnPreferenceTreeClickListener",12,2,1.439,4,28
"android.provider.Applications.ApplicationColumns",0,1,1,0,0
"android.provider.BaseColumns",0,0,0,92,2.423
"android.provider.BrowserContract.BaseSyncColumns",0,0,0,2,2.388
"android.provider.BrowserContract.CommonColumns",0,0,0,4,2.386
"android.provider.BrowserContract.HistoryColumns",0,0,0,3,2.386
"android.provider.BrowserContract.ImageColumns",0,0,0,4,2.386
"android.provider.BrowserContract.SyncColumns",0,1,1,1,2.386
"android.provider.Calendar.AccountColumns",0,0,0,3,9
"android.provider.Calendar.AttendeesColumns",0,0,0,3,6
"android.provider.Calendar.BaseSyncColumns",0,0,0,3,10
"android.provider.Calendar.CalendarAlertsColumns",0,0,0,1,1
"android.provider.Calendar.CalendarCacheColumns",0,0,0,3,3
"android.provider.Calendar.CalendarMetaDataColumns",0,0,0,1,1
"android.provider.Calendar.CalendarsColumns",0,0,0,5,7
"android.provider.Calendar.EventDaysColumns",0,0,0,1,1
"android.provider.Calendar.EventsColumns",0,0,0,10,10
"android.provider.Calendar.EventsRawTimesColumns",0,0,0,1,1
"android.provider.Calendar.ExtendedPropertiesColumns",0,0,0,2,3
"android.provider.Calendar.RemindersColumns",0,0,0,2,3
"android.provider.Calendar.SyncColumns",0,1,1,6,9
"android.provider.Contacts.ContactMethods.ProviderNames",0,0,0,1,1
"android.provider.Contacts.ContactMethodsColumns",0,0,0,2,2
"android.provider.Contacts.ExtensionsColumns",0,0,0,2,2
"android.provider.Contacts.GroupsColumns",0,0,0,3,42
"android.provider.Contacts.OrganizationColumns",0,0,0,1,1
"android.provider.Contacts.PeopleColumns",0,0,0,9,42
"android.provider.Contacts.PhonesColumns",0,0,0,4,41
"android.provider.Contacts.PhotosColumns",0,0,0,2,41
"android.provider.Contacts.PresenceColumns",0,3,1.420,3,40
"android.provider.Contacts.SettingsColumns",0,0,0,1,1
"android.provider.ContactsContract.BaseSyncColumns",0,0,0,4,12
"android.provider.ContactsContract.CommonDataKinds.BaseTypes",0,0,0,8,13
"android.provider.ContactsContract.CommonDataKinds.CommonColumns",0,2,2,10,12
"android.provider.ContactsContract.ContactNameColumns",0,0,0,5,31
"android.provider.ContactsContract.ContactOptionsColumns",0,0,0,7,30
"android.provider.ContactsContract.ContactStatusColumns",0,0,0,4,29
"android.provider.ContactsContract.ContactsColumns",0,1,1,8,30
"android.provider.ContactsContract.DataColumns",0,0,0,19,34
"android.provider.ContactsContract.DataColumnsWithJoins",0,8,8,16,27
"android.provider.ContactsContract.DisplayNameSources",0,0,0,0,0
"android.provider.ContactsContract.FullNameStyle",0,0,0,0,0
"android.provider.ContactsContract.GroupsColumns",0,0,0,2,2
"android.provider.ContactsContract.PhoneLookupColumns",0,0,0,1,3
"android.provider.ContactsContract.PhoneticNameStyle",0,0,0,0,0
"android.provider.ContactsContract.PresenceColumns",0,0,0,1,43
"android.provider.ContactsContract.RawContactsColumns",0,0,0,7,30
"android.provider.ContactsContract.SettingsColumns",0,0,0,1,1
"android.provider.ContactsContract.StatusColumns",0,0,0,4,72
"android.provider.ContactsContract.SyncColumns",0,1,1,5,11
"android.provider.ContactsContract.SyncStateColumns",0,1,2,0,0
"android.provider.DrmStore.Audio",2,3,1.419,1,2
"android.provider.DrmStore.Columns",0,1,1,3,3
"android.provider.DrmStore.Images",2,3,1.419,1,2
"android.provider.MediaStore.Audio.AlbumColumns",0,0,0,2,2
"android.provider.MediaStore.Audio.ArtistColumns",0,0,0,1,1
"android.provider.MediaStore.Audio.AudioColumns",0,1,2,3,4
"android.provider.MediaStore.Audio.GenresColumns",0,0,0,1,1
"android.provider.MediaStore.Audio.PlaylistsColumns",0,0,0,1,2
"android.provider.MediaStore.Files.FileColumns",0,1,2,0,0
"android.provider.MediaStore.Images.ImageColumns",0,1,2,1,2.386
"android.provider.MediaStore.MediaColumns",0,1,1,10,2.390
"android.provider.MediaStore.Video.VideoColumns",0,1,2,1,2.386
"android.provider.OpenableColumns",0,0,0,0,0
"android.provider.SocialContract.ActivitiesColumns",0,0,0,1,1
"android.provider.SyncConstValue",0,0,0,3,42
"android.provider.SyncStateContract.Columns",0,1,1,6,6
"android.provider.Telephony.BaseMmsColumns",0,1,1,7,9
