Dependency metrics,Ter, 10 out 2017 13:39:46 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.tools.ant.helper.DefaultExecutor",218,5,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2",218,17,266,7,1.119
"org.apache.tools.ant.helper.ProjectHelper2.AntHandler",218,1,266,6,1.119
"org.apache.tools.ant.helper.ProjectHelper2.ElementHandler",218,11,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.MainHandler",218,4,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler",218,8,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.RootHandler",218,5,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.TargetHandler",218,7,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl",218,11,266,9,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler",218,1,266,6,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler",218,7,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.DescriptionHandler",218,3,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler",218,11,266,2,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler",218,6,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.RootHandler",218,4,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler",218,6,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler",218,12,266,2,1.119
"org.apache.tools.ant.helper.SingleCheckExecutor",218,3,266,1,1.119
"org.apache.tools.ant.input.DefaultInputHandler",218,5,266,5,1.119
"org.apache.tools.ant.input.GreedyInputHandler",0,5,267,1,3
"org.apache.tools.ant.input.InputRequest",0,0,0,6,1.121
"org.apache.tools.ant.input.MultipleChoiceInputRequest",0,1,1,2,1.120
"org.apache.tools.ant.input.PropertyFileInputHandler",0,3,267,4,6
"org.apache.tools.ant.launch.LaunchException",0,0,0,1,1.121
"org.apache.tools.ant.launch.Launcher",0,5,5,2,1.120
"org.apache.tools.ant.launch.Locator",0,1,1,7,1.121
"org.apache.tools.ant.listener.AnsiColorLogger",0,2,267,0,0
"org.apache.tools.ant.listener.CommonsLoggingListener",0,7,267,0,0
"org.apache.tools.ant.listener.Log4jListener",0,5,267,0,0
"org.apache.tools.ant.listener.MailLogger",0,12,274,0,0
"org.apache.tools.ant.listener.TimestampedLogger",0,1,267,0,0
"org.apache.tools.ant.loader.AntClassLoader2",0,1,267,0,0
"org.apache.tools.ant.taskdefs.AbstractCvsTask",0,15,269,4,4
"org.apache.tools.ant.taskdefs.AbstractJarSignerTask",0,13,282,3,3
"org.apache.tools.ant.taskdefs.Ant",0,16,275,3,4
"org.apache.tools.ant.taskdefs.Ant.Reference",0,1,267,3,5
"org.apache.tools.ant.taskdefs.Ant.TargetElement",0,0,0,2,5
"org.apache.tools.ant.taskdefs.AntStructure",1,6,269,1,1
"org.apache.tools.ant.taskdefs.AntStructure.DTDPrinter",1,8,269,1,1
"org.apache.tools.ant.taskdefs.Antlib",218,9,266,1,1.119
"org.apache.tools.ant.taskdefs.AntlibDefinition",218,3,266,7,1.119
"org.apache.tools.ant.taskdefs.Apt",2,10,317,3,3
"org.apache.tools.ant.taskdefs.Apt.Option",0,0,0,2,4
"org.apache.tools.ant.taskdefs.Available",0,14,268,1,9
"org.apache.tools.ant.taskdefs.Available.FileDir",0,1,267,1,10
"org.apache.tools.ant.taskdefs.BUnzip2",0,7,272,0,0
"org.apache.tools.ant.taskdefs.BZip2",0,5,272,0,0
"org.apache.tools.ant.taskdefs.Basename",0,4,267,0,0
"org.apache.tools.ant.taskdefs.BuildNumber",0,5,267,0,0
"org.apache.tools.ant.taskdefs.CVSPass",0,4,267,0,0
"org.apache.tools.ant.taskdefs.CallTarget",0,9,276,0,0
"org.apache.tools.ant.taskdefs.Checksum",0,15,270,1,9
"org.apache.tools.ant.taskdefs.Checksum.FileUnion",0,5,267,1,10
"org.apache.tools.ant.taskdefs.Checksum.FormatElement",0,1,267,1,10
"org.apache.tools.ant.taskdefs.Chmod",0,14,285,0,0
"org.apache.tools.ant.taskdefs.Classloader",0,10,267,0,0
"org.apache.tools.ant.taskdefs.Concat",1,27,273,1,1
"org.apache.tools.ant.taskdefs.Concat.MultiReader",1,6,273,1,1
"org.apache.tools.ant.taskdefs.Concat.TextElement",0,5,267,1,2
"org.apache.tools.ant.taskdefs.ConditionTask",0,5,313,0,0
"org.apache.tools.ant.taskdefs.Copy",0,21,269,5,6
"org.apache.tools.ant.taskdefs.CopyPath",0,10,267,0,0
"org.apache.tools.ant.taskdefs.Copydir",0,7,268,0,0
"org.apache.tools.ant.taskdefs.Copyfile",0,4,267,0,0
"org.apache.tools.ant.taskdefs.Cvs",0,1,270,0,0
"org.apache.tools.ant.taskdefs.DefBase",218,9,266,4,1.119
"org.apache.tools.ant.taskdefs.DefaultExcludes",0,6,267,0,0
"org.apache.tools.ant.taskdefs.Definer",218,16,266,3,1.119
"org.apache.tools.ant.taskdefs.Definer.Format",218,1,266,1,1.119
"org.apache.tools.ant.taskdefs.Definer.OnError",218,1,266,2,1.119
"org.apache.tools.ant.taskdefs.Definer.ResourceStack",0,0,0,1,1.120
"org.apache.tools.ant.taskdefs.Delete",0,41,277,2,18
"org.apache.tools.ant.taskdefs.Delete.ReverseDirs",0,3,267,1,19
"org.apache.tools.ant.taskdefs.Deltree",0,3,267,0,0
"org.apache.tools.ant.taskdefs.DependSet",3,27,283,3,3
"org.apache.tools.ant.taskdefs.DependSet.Newest",3,3,283,1,3
"org.apache.tools.ant.taskdefs.DependSet.NonExistent",3,3,283,1,3
