Package,v(G)avg,v(G)tot
"java.android.provider","2,29",55
"java.android.telephony","1,90",273
"java.android.telephony.gsm","1,14",56
"java.com.android.internal.telephony","2,72",4.093
"java.com.android.internal.telephony.cat","2,77",631
"java.com.android.internal.telephony.cdma","3,20",1.935
"java.com.android.internal.telephony.cdma.sms","4,95",381
"java.com.android.internal.telephony.gsm","4,08",2.642
"java.com.android.internal.telephony.ims","1,77",23
"java.com.android.internal.telephony.sip","1,49",466
"java.com.android.internal.telephony.test","2,34",496
"java.com.android.internal.telephony.uicc","2,83",17

