Class,OCavg,WMC
"com.android.internal.telephony.PhoneStateIntentReceiver","1,65",28
"com.android.internal.telephony.PhoneSubInfo","1,24",21
"com.android.internal.telephony.PhoneSubInfoProxy","1,06",17
"com.android.internal.telephony.RIL","4,76",823
"com.android.internal.telephony.RIL.RILReceiver","4,00",8
"com.android.internal.telephony.RIL.RILSender","5,67",17
"com.android.internal.telephony.RILRequest","2,33",14
"com.android.internal.telephony.RestrictedState","1,40",14
"com.android.internal.telephony.RetryManager","3,71",63
"com.android.internal.telephony.RetryManager.RetryRec","1,00",1
"com.android.internal.telephony.SMSDispatcher","4,35",100
"com.android.internal.telephony.SMSDispatcher.ConfirmDialogListener","1,67",5
"com.android.internal.telephony.SMSDispatcher.SmsTracker","1,00",2
"com.android.internal.telephony.ServiceStateTracker","1,89",53
"com.android.internal.telephony.SmsAddress","1,00",4
"com.android.internal.telephony.SmsHeader","6,75",27
"com.android.internal.telephony.SmsHeader.ConcatRef",n/a,0
"com.android.internal.telephony.SmsHeader.MiscElt",n/a,0
"com.android.internal.telephony.SmsHeader.PortAddrs",n/a,0
"com.android.internal.telephony.SmsMessageBase","1,35",23
"com.android.internal.telephony.SmsMessageBase.SubmitPduBase","1,00",1
"com.android.internal.telephony.SmsRawData","1,00",6
"com.android.internal.telephony.SmsResponse","1,00",2
"com.android.internal.telephony.SmsStorageMonitor","2,00",14
"com.android.internal.telephony.SmsUsageMonitor","2,83",34
"com.android.internal.telephony.SmsUsageMonitor.SettingsObserver","1,00",2
"com.android.internal.telephony.SmsUsageMonitor.SettingsObserverHandler","4,00",8
"com.android.internal.telephony.SmsUsageMonitor.ShortCodePatternMatcher","5,00",10
"com.android.internal.telephony.TelephonyCapabilities","1,18",13
"com.android.internal.telephony.UUSInfo","1,00",8
"com.android.internal.telephony.WapPushManagerParams",n/a,0
"com.android.internal.telephony.WapPushOverSms","12,00",24
"com.android.internal.telephony.WapPushOverSms.WapPushConnection","1,86",13
"com.android.internal.telephony.WspTypeDecoder","2,79",67
"com.android.internal.telephony.cat.AppInterface.CommandType","1,67",5
"com.android.internal.telephony.cat.BIPClientParams","1,50",3
"com.android.internal.telephony.cat.BerTlv","2,50",10
"com.android.internal.telephony.cat.CallSetupParams","2,50",5
"com.android.internal.telephony.cat.CatCmdMessage","2,00",26
"com.android.internal.telephony.cat.CatCmdMessage.BrowserSettings",n/a,0
"com.android.internal.telephony.cat.CatCmdMessage.CallSettings",n/a,0
"com.android.internal.telephony.cat.CatException","1,00",1
"com.android.internal.telephony.cat.CatLog","2,00",4
"com.android.internal.telephony.cat.CatResponseMessage","1,00",7
"com.android.internal.telephony.cat.CatService","5,10",102
"com.android.internal.telephony.cat.CommandDetails","1,11",10
"com.android.internal.telephony.cat.CommandParams","1,00",4
