Package,PDcy,PDpt
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.binaryxml",2,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.color",11,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.descriptors",10,35
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.drawable",11,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.export",4,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.formatting",8,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout",21,8
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.configuration",22,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.descriptors",11,17
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.gle2",34,14
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.gre",24,4
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.refactoring",25,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.uimodel",7,8
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest",15,8
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest.descriptors",9,6
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest.model",13,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest.pages",11,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.menu",8,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.menu.descriptors",5,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources",13,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources.descriptors",6,10
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources.uimodel",4,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.ui",6,7
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.ui.tree",7,4
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.uimodel",18,31
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.xml",24,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.xml.descriptors",5,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch",14,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch.junit",8,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch.junit.runtime",4,1
