Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.eclipse.jdt.core.util.IInnerClassesAttribute",0,2,2,4,536
"org.eclipse.jdt.core.util.IInnerClassesAttributeEntry",0,0,0,4,538
"org.eclipse.jdt.core.util.ILineNumberAttribute",0,1,1,4,539
"org.eclipse.jdt.core.util.ILocalVariableAttribute",0,2,2,4,539
"org.eclipse.jdt.core.util.ILocalVariableTableEntry",0,0,0,4,541
"org.eclipse.jdt.core.util.ILocalVariableTypeTableAttribute",0,2,2,2,535
"org.eclipse.jdt.core.util.ILocalVariableTypeTableEntry",0,0,0,4,537
"org.eclipse.jdt.core.util.IMethodInfo",0,3,10,6,535
"org.eclipse.jdt.core.util.IModifierConstants",0,0,0,5,534
"org.eclipse.jdt.core.util.IOpcodeMnemonics",0,0,0,3,535
"org.eclipse.jdt.core.util.IParameterAnnotation",0,1,4,6,538
"org.eclipse.jdt.core.util.IRuntimeInvisibleAnnotationsAttribute",0,2,5,2,535
"org.eclipse.jdt.core.util.IRuntimeInvisibleParameterAnnotationsAttribute",0,2,6,2,534
"org.eclipse.jdt.core.util.IRuntimeVisibleAnnotationsAttribute",0,2,5,2,535
"org.eclipse.jdt.core.util.IRuntimeVisibleParameterAnnotationsAttribute",0,2,6,2,534
"org.eclipse.jdt.core.util.ISignatureAttribute",0,1,1,2,535
"org.eclipse.jdt.core.util.ISourceAttribute",0,1,1,4,536
"org.eclipse.jdt.core.util.IVerificationTypeInfo",0,0,0,0,0
"org.eclipse.jdt.internal.codeassist.IExtendedCompletionRequestor",0,1,3,1,531
"org.eclipse.jdt.internal.codeassist.ISearchRequestor",0,1,6,5,531
"org.eclipse.jdt.internal.codeassist.ISelectionRequestor",0,1,2,4,531
"org.eclipse.jdt.internal.codeassist.RelevanceConstants",0,0,0,1,531
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword",0,0,0,4,535
"org.eclipse.jdt.internal.codeassist.impl.Keywords",0,0,0,2,532
"org.eclipse.jdt.internal.compiler.ICompilerRequestor",208,1,272,10,830
"org.eclipse.jdt.internal.compiler.IDebugRequestor",208,1,272,1,830
"org.eclipse.jdt.internal.compiler.IDocumentElementRequestor",0,1,2,2,532
"org.eclipse.jdt.internal.compiler.IErrorHandlingPolicy",0,0,0,10,832
"org.eclipse.jdt.internal.compiler.IProblemFactory",0,1,2,19,833
"org.eclipse.jdt.internal.compiler.ISourceElementRequestor",0,4,6,6,533
"org.eclipse.jdt.internal.compiler.ast.OperatorIds",0,0,0,17,846
"org.eclipse.jdt.internal.compiler.batch.FileSystem.Classpath",0,1,33,3,5
"org.eclipse.jdt.internal.compiler.classfmt.ClassFileConstants",208,1,272,54,830
"org.eclipse.jdt.internal.compiler.codegen.AttributeNamesConstants",0,0,0,5,831
"org.eclipse.jdt.internal.compiler.codegen.Opcodes",0,0,0,3,831
"org.eclipse.jdt.internal.compiler.env.IBinaryField",0,2,19,9,835
"org.eclipse.jdt.internal.compiler.env.IBinaryMethod",0,1,1,11,835
"org.eclipse.jdt.internal.compiler.env.IBinaryNestedType",0,0,0,7,835
"org.eclipse.jdt.internal.compiler.env.IBinaryType",0,5,25,28,834
"org.eclipse.jdt.internal.compiler.env.ICompilationUnit",0,1,1,44,836
"org.eclipse.jdt.internal.compiler.env.IConstants",208,1,272,61,830
"org.eclipse.jdt.internal.compiler.env.IDependent",0,0,0,18,842
"org.eclipse.jdt.internal.compiler.env.IGenericField",0,0,0,6,838
"org.eclipse.jdt.internal.compiler.env.IGenericMethod",0,0,0,8,838
"org.eclipse.jdt.internal.compiler.env.IGenericType",0,1,1,31,838
"org.eclipse.jdt.internal.compiler.env.INameEnvironment",0,1,33,20,831
"org.eclipse.jdt.internal.compiler.env.ISourceField",0,1,1,3,835
"org.eclipse.jdt.internal.compiler.env.ISourceImport",0,0,0,4,835
"org.eclipse.jdt.internal.compiler.env.ISourceMethod",0,1,1,4,835
"org.eclipse.jdt.internal.compiler.env.ISourceType",0,4,7,16,834
"org.eclipse.jdt.internal.compiler.impl.ITypeRequestor",208,5,272,5,830
"org.eclipse.jdt.internal.compiler.impl.ReferenceContext",208,2,272,12,830
"org.eclipse.jdt.internal.compiler.lookup.BaseTypes",208,3,272,74,830
"org.eclipse.jdt.internal.compiler.lookup.CompilerModifiers",208,3,272,57,830
"org.eclipse.jdt.internal.compiler.lookup.InvocationSite",208,2,272,24,830
"org.eclipse.jdt.internal.compiler.lookup.ProblemReasons",0,0,0,34,846
"org.eclipse.jdt.internal.compiler.lookup.Substitution",208,1,272,4,830
"org.eclipse.jdt.internal.compiler.lookup.TagBits",208,1,272,35,830
"org.eclipse.jdt.internal.compiler.lookup.TypeConstants",208,5,272,66,830
"org.eclipse.jdt.internal.compiler.lookup.TypeIds",0,0,0,68,846
"org.eclipse.jdt.internal.compiler.parser.ParserBasicInformation",0,0,0,4,831
"org.eclipse.jdt.internal.compiler.parser.TerminalTokens",0,0,0,42,831
"org.eclipse.jdt.internal.compiler.problem.ProblemSeverities",0,0,0,17,834
"org.eclipse.jdt.internal.compiler.util.SuffixConstants",0,0,0,32,855
"org.eclipse.jdt.internal.compiler.util.Util.Displayable",0,0,0,1,855
"org.eclipse.jdt.internal.core.IJavaElementRequestor",508,5,1.054,3,530
"org.eclipse.jdt.internal.core.INamingRequestor",0,0,0,3,532
"org.eclipse.jdt.internal.core.IPathRequestor",0,0,0,1,531
"org.eclipse.jdt.internal.core.JavaModelOperation.IPostAction",508,1,1.054,1,530
"org.eclipse.jdt.internal.core.dom.rewrite.ASTRewriteFormatter.BlockContext",508,2,1.054,4,530
"org.eclipse.jdt.internal.core.dom.rewrite.ASTRewriteFormatter.Prefix",0,0,0,4,532
"org.eclipse.jdt.internal.core.dom.rewrite.RewriteEventStore.INodePropertyMapper",508,2,1.054,1,530
"org.eclipse.jdt.internal.core.hierarchy.IHierarchyRequestor",0,1,2,1,531
"org.eclipse.jdt.internal.core.jdom.ILineStartFinder",0,0,0,5,531
"org.eclipse.jdt.internal.core.search.IRestrictedAccessTypeRequestor",0,1,6,3,532
"org.eclipse.jdt.internal.core.search.indexing.IIndexConstants",0,0,0,23,532
"org.eclipse.jdt.internal.core.search.processing.IJob",0,0,0,6,532
"org.eclipse.jdt.internal.core.util.ICacheEnumeration",0,0,0,1,531
"org.eclipse.jdt.internal.core.util.ILRUCacheable",0,0,0,1,531
"org.eclipse.jdt.internal.core.util.Util.Comparable",0,0,0,1,531
"org.eclipse.jdt.internal.core.util.Util.Comparer",0,0,0,2,531
"org.eclipse.jdt.internal.eval.EvaluationConstants",0,1,2,16,533
"org.eclipse.jdt.internal.eval.IRequestor",0,2,273,6,531

