Complexity metrics,Ter, 10 out 2017 11:43:01 BRT
Class,OCavg,WMC
"org.apache.tools.ant.taskdefs.optional.SchemaValidate.SchemaLocation","2,36",33
"org.apache.tools.ant.taskdefs.optional.Script","1,75",7
"org.apache.tools.ant.taskdefs.optional.StyleBook","1,67",10
"org.apache.tools.ant.taskdefs.optional.TraXLiaison","2,32",51
"org.apache.tools.ant.taskdefs.optional.XMLValidateTask","1,77",46
"org.apache.tools.ant.taskdefs.optional.XMLValidateTask.Attribute","1,00",4
"org.apache.tools.ant.taskdefs.optional.XMLValidateTask.Property","1,00",4
"org.apache.tools.ant.taskdefs.optional.XMLValidateTask.ValidatorErrorHandler","1,71",12
"org.apache.tools.ant.taskdefs.optional.XalanLiaison","1,75",7
"org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck","1,91",21
"org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckin","1,00",1
"org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckinDefault","1,00",1
"org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckout","1,00",1
"org.apache.tools.ant.taskdefs.optional.ccm.CCMCreateTask","1,45",29
"org.apache.tools.ant.taskdefs.optional.ccm.CCMReconfigure","1,44",13
"org.apache.tools.ant.taskdefs.optional.ccm.Continuus","1,17",7
"org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin","1,69",27
"org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout","1,68",42
"org.apache.tools.ant.taskdefs.optional.clearcase.CCLock","1,58",30
"org.apache.tools.ant.taskdefs.optional.clearcase.CCMkattr","1,86",39
"org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl","1,56",28
"org.apache.tools.ant.taskdefs.optional.clearcase.CCMkdir","1,80",18
"org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem","1,71",36
"org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel","1,75",35
"org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype","1,57",36
"org.apache.tools.ant.taskdefs.optional.clearcase.CCRmtype","1,58",30
"org.apache.tools.ant.taskdefs.optional.clearcase.CCUnCheckout","2,00",8
"org.apache.tools.ant.taskdefs.optional.clearcase.CCUnlock","1,67",20
"org.apache.tools.ant.taskdefs.optional.clearcase.CCUpdate","1,60",24
"org.apache.tools.ant.taskdefs.optional.clearcase.ClearCase","1,09",12
"org.apache.tools.ant.taskdefs.optional.depend.AntAnalyzer","5,67",17
"org.apache.tools.ant.taskdefs.optional.depend.ClassFile","2,33",7
"org.apache.tools.ant.taskdefs.optional.depend.ClassFileUtils","1,00",2
"org.apache.tools.ant.taskdefs.optional.depend.Depend","4,12",107
"org.apache.tools.ant.taskdefs.optional.depend.Depend.ClassFileInfo",n/a,0
"org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator","3,33",10
"org.apache.tools.ant.taskdefs.optional.depend.JarFileIterator","2,50",5
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.ClassCPInfo","1,00",5
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo","1,00",3
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool","2,79",39
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPoolEntry","3,00",18
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.DoubleCPInfo","1,00",3
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.FieldRefCPInfo","1,14",8
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.FloatCPInfo","1,00",3
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.IntegerCPInfo","1,00",3
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.InterfaceMethodRefCPInfo","1,14",8
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.LongCPInfo","1,00",3
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.MethodRefCPInfo","1,14",8
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo","1,17",7
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.StringCPInfo","1,00",4
"org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo","1,00",4
"org.apache.tools.ant.taskdefs.optional.dotnet.CSharp","1,39",32
"org.apache.tools.ant.taskdefs.optional.dotnet.DotnetBaseMatchingTask","1,78",16
"org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile","1,53",92
"org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile.TargetTypes","1,00",1
"org.apache.tools.ant.taskdefs.optional.dotnet.DotnetDefine","1,67",10
"org.apache.tools.ant.taskdefs.optional.dotnet.DotnetResource","2,13",32
"org.apache.tools.ant.taskdefs.optional.dotnet.Ilasm","1,39",43
"org.apache.tools.ant.taskdefs.optional.dotnet.Ilasm.TargetTypes","1,00",1
"org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm","1,85",37
"org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm.EncodingTypes","2,00",4
"org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm.VisibilityOptions","1,00",1
"org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib","2,11",19
"org.apache.tools.ant.taskdefs.optional.dotnet.JSharp","1,33",12
"org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand","1,94",35
"org.apache.tools.ant.taskdefs.optional.dotnet.VisualBasicCompile","1,35",35
"org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet","1,75",28
"org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet.Compiler","1,33",8
"org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet.Schema","1,89",17
"org.apache.tools.ant.taskdefs.optional.ejb.BorlandDeploymentTool","1,92",48
"org.apache.tools.ant.taskdefs.optional.ejb.BorlandGenerateClient","2,00",26
"org.apache.tools.ant.taskdefs.optional.ejb.DDCreator","2,00",8
"org.apache.tools.ant.taskdefs.optional.ejb.DDCreatorHelper","2,00",8
"org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler","3,64",40
"org.apache.tools.ant.taskdefs.optional.ejb.EjbJar","1,44",39
"org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.CMPVersion","1,00",1
"org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config",n/a,0
"org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.DTDLocation",n/a,0
"org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.NamingScheme","1,00",1
"org.apache.tools.ant.taskdefs.optional.ejb.Ejbc","1,62",13
"org.apache.tools.ant.taskdefs.optional.ejb.EjbcHelper","3,17",19
"org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool","2,64",87
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool","2,00",24
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc","3,00",48
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.Classname","1,29",9
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo","1,70",56
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbcException","1,00",1
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbcHandler","3,40",34
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.RedirectOutput","1,50",3
"org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbcTask","1,85",24
"org.apache.tools.ant.taskdefs.optional.ejb.InnerClassFilenameFilter","2,00",4
"org.apache.tools.ant.taskdefs.optional.ejb.JbossDeploymentTool","2,00",10
"org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool","2,56",69
"org.apache.tools.ant.taskdefs.optional.ejb.WLRun","2,00",40
"org.apache.tools.ant.taskdefs.optional.ejb.WLStop","1,50",12
"org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool","2,48",77
"org.apache.tools.ant.taskdefs.optional.ejb.WeblogicTOPLinkDeploymentTool","1,60",8
"org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool","2,53",81
"org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool.DBVendor","1,00",1
"org.apache.tools.ant.taskdefs.optional.extension.Compatability","1,00",2
"org.apache.tools.ant.taskdefs.optional.extension.Compatibility","1,00",2
"org.apache.tools.ant.taskdefs.optional.extension.DeweyDecimal","1,00",2
"org.apache.tools.ant.taskdefs.optional.extension.Extension","2,59",57
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionAdapter","1,55",17
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionSet","1,33",8
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil","2,43",17
"org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute","1,40",7
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask","2,83",17
"org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask","2,50",10
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask","1,83",22
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask","2,00",24
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet","1,00",6
"org.apache.tools.ant.taskdefs.optional.extension.LibraryDisplayer","3,40",17
"org.apache.tools.ant.taskdefs.optional.extension.Specification","2,63",50
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver","1,50",9
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver","1,33",4
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver","1,86",13
"org.apache.tools.ant.taskdefs.optional.i18n.Translate","3,76",64
"org.apache.tools.ant.taskdefs.optional.image.Image","2,27",34
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool","1,33",16
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool","1,11",10
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool","3,14",22
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy","1,12",9
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool","2,18",24
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc","2,25",18
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree","1,82",40
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC","1,72",55
"org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory","2,33",7
"org.apache.tools.ant.taskdefs.optional.javah.Kaffeh","4,50",9
"org.apache.tools.ant.taskdefs.optional.javah.SunJavah","6,50",13
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask","2,45",71
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.FormatAttribute","1,00",1
"org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader","2,00",2
"org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool","11,00",11
"org.apache.tools.ant.taskdefs.optional.jlink.JlinkTask","2,00",20
"org.apache.tools.ant.taskdefs.optional.jlink.jlink","3,00",48
"org.apache.tools.ant.taskdefs.optional.jsp.Jasper41Mangler","3,00",9
"org.apache.tools.ant.taskdefs.optional.jsp.JspC","1,76",72
"org.apache.tools.ant.taskdefs.optional.jsp.JspC.WebAppParameter","1,00",2
"org.apache.tools.ant.taskdefs.optional.jsp.JspNameMangler","2,80",14
"org.apache.tools.ant.taskdefs.optional.jsp.WLJspc","3,25",26
"org.apache.tools.ant.taskdefs.optional.jsp.compilers.DefaultJspCompilerAdapter","1,62",13
"org.apache.tools.ant.taskdefs.optional.jsp.compilers.JasperC","2,33",14
"org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapterFactory","1,50",6
"org.apache.tools.ant.taskdefs.optional.junit.AggregateTransformer","1,55",17
"org.apache.tools.ant.taskdefs.optional.junit.AggregateTransformer.Format","1,00",1
"org.apache.tools.ant.taskdefs.optional.junit.ArrayEnumeration","1,33",4
"org.apache.tools.ant.taskdefs.optional.junit.BaseTest","1,06",18
"org.apache.tools.ant.taskdefs.optional.junit.BatchTest","1,89",17
"org.apache.tools.ant.taskdefs.optional.junit.BriefJUnitResultFormatter","1,54",20
"org.apache.tools.ant.taskdefs.optional.junit.CompoundEnumeration","2,00",6
"org.apache.tools.ant.taskdefs.optional.junit.DOMUtil","5,40",27
"org.apache.tools.ant.taskdefs.optional.junit.DOMUtil.NodeListImpl","1,00",2
"org.apache.tools.ant.taskdefs.optional.junit.Enumerations","1,00",3
"org.apache.tools.ant.taskdefs.optional.junit.FormatterElement","1,79",25
"org.apache.tools.ant.taskdefs.optional.junit.FormatterElement.TypeAttribute","1,00",1
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask","2,49",152
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.ForkMode","1,00",3
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.ForkedTestConfiguration","2,00",8
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.JUnitLogOutputStream","1,50",3
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.JUnitLogStreamHandler","1,00",1
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.SplitLoader","2,67",8
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.SummaryAttribute","1,00",2
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.TestResultHolder",n/a,0
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirrorImpl","1,00",6
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTest","1,26",24
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner","2,58",103
"org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper","5,00",5
"org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter","1,00",1
"org.apache.tools.ant.taskdefs.optional.junit.PlainJUnitResultFormatter","1,67",20
"org.apache.tools.ant.taskdefs.optional.junit.SummaryJUnitResultFormatter","1,33",16
"org.apache.tools.ant.taskdefs.optional.junit.XMLJUnitResultFormatter","1,73",26
"org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator","2,09",23
"org.apache.tools.ant.taskdefs.optional.junit.Xalan1Executor","1,25",5
"org.apache.tools.ant.taskdefs.optional.junit.Xalan2Executor","2,00",6
"org.apache.tools.ant.taskdefs.optional.junit.XalanExecutor","1,20",6
"org.apache.tools.ant.taskdefs.optional.native2ascii.DefaultNative2Ascii","1,25",5
"org.apache.tools.ant.taskdefs.optional.native2ascii.KaffeNative2Ascii","2,00",6
"org.apache.tools.ant.taskdefs.optional.native2ascii.Native2AsciiAdapterFactory","2,33",7
"org.apache.tools.ant.taskdefs.optional.native2ascii.SunNative2Ascii","2,00",4
"org.apache.tools.ant.taskdefs.optional.net.FTP","2,79",184
"org.apache.tools.ant.taskdefs.optional.net.FTP.Action","5,00",10
"org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner","5,08",66
"org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile","2,11",38
"org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPRootFile","1,00",3
"org.apache.tools.ant.taskdefs.optional.net.FTP.FTPSystemType","1,00",2
"org.apache.tools.ant.taskdefs.optional.net.FTP.Granularity","2,00",6
"org.apache.tools.ant.taskdefs.optional.net.FTP.LanguageCode","1,33",4
"org.apache.tools.ant.taskdefs.optional.net.FTPConfigurator","7,00",7
"org.apache.tools.ant.taskdefs.optional.net.MimeMail","1,00",1
"org.apache.tools.ant.taskdefs.optional.net.RExecTask","1,75",21
"org.apache.tools.ant.taskdefs.optional.net.RExecTask.AntRExecClient","4,75",19
"org.apache.tools.ant.taskdefs.optional.net.RExecTask.RExecRead","1,33",4
"org.apache.tools.ant.taskdefs.optional.net.RExecTask.RExecSubTask","1,00",3
"org.apache.tools.ant.taskdefs.optional.net.RExecTask.RExecWrite","1,00",2
"org.apache.tools.ant.taskdefs.optional.net.SetProxy","2,10",21
"org.apache.tools.ant.taskdefs.optional.net.SetProxy.ProxyAuth","1,00",2
"org.apache.tools.ant.taskdefs.optional.net.TelnetTask","1,80",18
"org.apache.tools.ant.taskdefs.optional.net.TelnetTask.AntTelnetClient","3,00",9
"org.apache.tools.ant.taskdefs.optional.net.TelnetTask.TelnetRead","1,33",4
"org.apache.tools.ant.taskdefs.optional.net.TelnetTask.TelnetSubTask","1,00",3
"org.apache.tools.ant.taskdefs.optional.net.TelnetTask.TelnetWrite","1,00",2
"org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler","1,50",6
"org.apache.tools.ant.taskdefs.optional.perforce.P4Add","2,80",14
"org.apache.tools.ant.taskdefs.optional.perforce.P4Base","1,71",24
"org.apache.tools.ant.taskdefs.optional.perforce.P4Change","2,50",15
"org.apache.tools.ant.taskdefs.optional.perforce.P4Counter","2,00",10
"org.apache.tools.ant.taskdefs.optional.perforce.P4Delete","2,00",4
"org.apache.tools.ant.taskdefs.optional.perforce.P4Edit","2,00",4
"org.apache.tools.ant.taskdefs.optional.perforce.P4Fstat","2,88",23
"org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter","1,17",7
"org.apache.tools.ant.taskdefs.optional.perforce.P4Have","1,00",1
"org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate","1,48",37
"org.apache.tools.ant.taskdefs.optional.perforce.P4Label","1,75",14
"org.apache.tools.ant.taskdefs.optional.perforce.P4Labelsync","1,75",14
"org.apache.tools.ant.taskdefs.optional.perforce.P4OutputStream","1,75",7
"org.apache.tools.ant.taskdefs.optional.perforce.P4Reopen","2,00",4
"org.apache.tools.ant.taskdefs.optional.perforce.P4Resolve","2,18",24
"org.apache.tools.ant.taskdefs.optional.perforce.P4Revert","2,00",6
"org.apache.tools.ant.taskdefs.optional.perforce.P4Submit","1,25",5
"org.apache.tools.ant.taskdefs.optional.perforce.P4Submit.P4SubmitAdapter","4,50",9
"org.apache.tools.ant.taskdefs.optional.perforce.P4Sync","2,33",7
"org.apache.tools.ant.taskdefs.optional.perforce.SimpleP4OutputHandler","4,00",8
"org.apache.tools.ant.taskdefs.optional.pvcs.Pvcs","1,86",67
"org.apache.tools.ant.taskdefs.optional.pvcs.PvcsProject","1,00",3
"org.apache.tools.ant.taskdefs.optional.scm.AntStarTeamCheckOut","1,88",81
"org.apache.tools.ant.taskdefs.optional.script.ScriptDef","2,45",27
"org.apache.tools.ant.taskdefs.optional.script.ScriptDef.Attribute","1,00",1
"org.apache.tools.ant.taskdefs.optional.script.ScriptDef.NestedElement","1,00",3
"org.apache.tools.ant.taskdefs.optional.script.ScriptDefBase","2,00",8
"org.apache.tools.ant.taskdefs.optional.sos.SOS","1,44",52
"org.apache.tools.ant.taskdefs.optional.sos.SOSCheckin","1,50",6
"org.apache.tools.ant.taskdefs.optional.sos.SOSCheckout","1,33",4
"org.apache.tools.ant.taskdefs.optional.sos.SOSGet","1,60",8
"org.apache.tools.ant.taskdefs.optional.sos.SOSLabel","1,50",6
"org.apache.tools.ant.taskdefs.optional.sound.AntSoundPlayer","1,50",21
"org.apache.tools.ant.taskdefs.optional.sound.SoundTask","1,40",7
"org.apache.tools.ant.taskdefs.optional.sound.SoundTask.BuildAlert","1,83",11
"org.apache.tools.ant.taskdefs.optional.splash.SplashScreen","1,17",14
"org.apache.tools.ant.taskdefs.optional.splash.SplashTask","2,11",19
"org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage","1,92",25
"org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage.ProgressMonitor","1,00",4
"org.apache.tools.ant.taskdefs.optional.ssh.Directory","1,40",21
"org.apache.tools.ant.taskdefs.optional.ssh.SSHBase","1,11",20
"org.apache.tools.ant.taskdefs.optional.ssh.SSHExec","3,22",29
"org.apache.tools.ant.taskdefs.optional.ssh.SSHUserInfo","1,05",21
"org.apache.tools.ant.taskdefs.optional.ssh.Scp","2,50",45
"org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessage","2,89",26
"org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp","3,60",18
"org.apache.tools.ant.taskdefs.optional.ssh.ScpToMessage","1,80",27
"org.apache.tools.ant.taskdefs.optional.ssh.ScpToMessageBySftp","1,92",25
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamCheckin","2,23",29
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamCheckin.CheckinMap","3,00",6
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamCheckout","3,56",64
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamCheckout.CheckoutMap","3,00",12
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamLabel","1,71",12
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamList","2,18",24
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamList.UnmatchedListingMap","4,00",8
"org.apache.tools.ant.taskdefs.optional.starteam.StarTeamTask","1,38",29
"org.apache.tools.ant.taskdefs.optional.starteam.TreeBasedTask","1,69",61
"org.apache.tools.ant.taskdefs.optional.starteam.TreeBasedTask.UnmatchedFileMap","3,00",6
"org.apache.tools.ant.taskdefs.optional.unix.AbstractAccessTask","1,00",6
"org.apache.tools.ant.taskdefs.optional.unix.Chgrp","1,25",5
"org.apache.tools.ant.taskdefs.optional.unix.Chown","1,25",5
"org.apache.tools.ant.taskdefs.optional.unix.Symlink","2,19",46
"org.apache.tools.ant.taskdefs.optional.vss.MSVSS","1,92",102
"org.apache.tools.ant.taskdefs.optional.vss.MSVSS.CurrentModUpdated","1,00",1
"org.apache.tools.ant.taskdefs.optional.vss.MSVSS.WritableFiles","1,00",1
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD","1,14",8
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKIN","1,17",7
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKOUT","1,10",11
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP","1,50",3
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSCREATE","1,25",5
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSGET","1,09",12
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSHISTORY","1,55",17
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSHISTORY.BriefCodediffNofile","1,00",1
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSLABEL","1,40",7
"org.apache.tools.ant.taskdefs.optional.windows.Attrib","1,12",19
"org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter","2,50",30
"org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter.RmicFileNameMapper","3,00",12
"org.apache.tools.ant.taskdefs.rmic.ForkingSunRmic","1,00",1
"org.apache.tools.ant.taskdefs.rmic.KaffeRmic","2,67",8
"org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory","3,00",9
"org.apache.tools.ant.taskdefs.rmic.SunRmic","2,00",2
"org.apache.tools.ant.taskdefs.rmic.WLRmic","2,00",6
"org.apache.tools.ant.types.AbstractFileSet","1,88",111
"org.apache.tools.ant.types.AntFilterReader","2,00",18
"org.apache.tools.ant.types.ArchiveFileSet","1,75",56
"org.apache.tools.ant.types.ArchiveScanner","2,07",31
"org.apache.tools.ant.types.Assertions","2,08",25
"org.apache.tools.ant.types.Assertions.BaseAssertion","1,80",9
"org.apache.tools.ant.types.Assertions.DisabledAssertion","1,00",1
"org.apache.tools.ant.types.Assertions.EnabledAssertion","1,00",1
"org.apache.tools.ant.types.Commandline","2,18",61
"org.apache.tools.ant.types.Commandline.Argument","1,17",7
"org.apache.tools.ant.types.Commandline.Marker","2,50",5
"org.apache.tools.ant.types.CommandlineJava","1,64",64
"org.apache.tools.ant.types.CommandlineJava.SysProperties","1,89",17
"org.apache.tools.ant.types.Comparison","1,75",7
"org.apache.tools.ant.types.DTDLocation",n/a,0
"org.apache.tools.ant.types.DataType","1,45",32
"org.apache.tools.ant.types.Description","3,75",15
"org.apache.tools.ant.types.DirSet","1,50",9
"org.apache.tools.ant.types.EnumeratedAttribute","1,57",11
"org.apache.tools.ant.types.Environment","1,50",6
"org.apache.tools.ant.types.Environment.Variable","1,11",10
"org.apache.tools.ant.types.FileList","1,83",22
"org.apache.tools.ant.types.FileList.FileName","1,00",2
"org.apache.tools.ant.types.FileSet","1,50",9
"org.apache.tools.ant.types.FilterChain","1,08",26
"org.apache.tools.ant.types.FilterSet","2,44",61
"org.apache.tools.ant.types.FilterSet.Filter","1,00",6
"org.apache.tools.ant.types.FilterSet.FiltersFile","1,00",2
"org.apache.tools.ant.types.FilterSet.OnMissing","1,00",3
"org.apache.tools.ant.types.FilterSetCollection","1,60",8
"org.apache.tools.ant.types.FlexInteger","1,00",3
"org.apache.tools.ant.types.Mapper","2,50",35
"org.apache.tools.ant.types.Mapper.MapperType","1,00",3
"org.apache.tools.ant.types.Parameter","1,00",6
"org.apache.tools.ant.types.Path","2,40",60
"org.apache.tools.ant.types.Path.PathElement","1,17",7
"org.apache.tools.ant.types.PatternSet","2,86",63
"org.apache.tools.ant.types.PatternSet.NameEntry","2,00",14
"org.apache.tools.ant.types.Permissions","1,57",11
"org.apache.tools.ant.types.Permissions.MySM","3,33",10
"org.apache.tools.ant.types.Permissions.Permission","2,11",19
"org.apache.tools.ant.types.PropertySet","2,27",59
"org.apache.tools.ant.types.PropertySet.BuiltinPropertySetName","1,00",1
"org.apache.tools.ant.types.PropertySet.PropertyRef","1,33",8
"org.apache.tools.ant.types.RedirectorElement","3,59",97
"org.apache.tools.ant.types.Reference","1,44",13
"org.apache.tools.ant.types.RegularExpression","1,71",12
"org.apache.tools.ant.types.Resource","1,84",57
"org.apache.tools.ant.types.ResourceLocation","1,00",6
"org.apache.tools.ant.types.Substitution","1,25",5
"org.apache.tools.ant.types.TarFileSet","1,45",29
"org.apache.tools.ant.types.TarScanner","6,00",6
"org.apache.tools.ant.types.TimeComparison","1,57",11
"org.apache.tools.ant.types.XMLCatalog","2,57",59
"org.apache.tools.ant.types.XMLCatalog.ExternalResolver","3,50",14
"org.apache.tools.ant.types.XMLCatalog.InternalResolver","3,67",11
"org.apache.tools.ant.types.ZipFileSet","1,38",11
"org.apache.tools.ant.types.ZipScanner","7,00",7
"org.apache.tools.ant.types.mappers.FilterMapper","1,33",4
"org.apache.tools.ant.types.optional.AbstractScriptComponent","1,00",6
"org.apache.tools.ant.types.optional.ScriptCondition","1,00",3
"org.apache.tools.ant.types.optional.ScriptFilter","1,14",8
"org.apache.tools.ant.types.optional.ScriptMapper","1,20",6
"org.apache.tools.ant.types.optional.ScriptSelector","1,10",11
"org.apache.tools.ant.types.optional.depend.ClassfileSet","1,71",12
"org.apache.tools.ant.types.optional.depend.ClassfileSet.ClassRoot","1,00",2
"org.apache.tools.ant.types.optional.depend.DependScanner","1,40",21
"org.apache.tools.ant.types.optional.image.Arc","2,33",14
"org.apache.tools.ant.types.optional.image.BasicShape","1,00",3
"org.apache.tools.ant.types.optional.image.ColorMapper","14,00",14
"org.apache.tools.ant.types.optional.image.Draw","1,43",10
"org.apache.tools.ant.types.optional.image.Ellipse","2,67",8
"org.apache.tools.ant.types.optional.image.ImageOperation","1,00",5
"org.apache.tools.ant.types.optional.image.Rectangle","2,40",12
"org.apache.tools.ant.types.optional.image.Rotate","2,25",9
"org.apache.tools.ant.types.optional.image.Scale","2,62",21
"org.apache.tools.ant.types.optional.image.Scale.ProportionsAttribute","1,00",1
"org.apache.tools.ant.types.optional.image.Text","1,00",7
"org.apache.tools.ant.types.optional.image.TransformOperation","1,00",1
"org.apache.tools.ant.types.resolver.ApacheCatalog","2,33",7
