Complexity metrics,Ter, 10 out 2017 11:43:01 BRT
Class,OCavg,WMC
"org.apache.tools.ant.helper.ProjectHelper2.ElementHandler","2,60",13
"org.apache.tools.ant.helper.ProjectHelper2.MainHandler","3,00",3
"org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler","11,50",23
"org.apache.tools.ant.helper.ProjectHelper2.RootHandler","1,33",12
"org.apache.tools.ant.helper.ProjectHelper2.TargetHandler","6,33",19
"org.apache.tools.ant.helper.ProjectHelperImpl","2,75",11
"org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler","1,25",5
"org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler","1,25",5
"org.apache.tools.ant.helper.ProjectHelperImpl.DescriptionHandler","1,50",3
"org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler","1,75",7
"org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler","4,00",16
"org.apache.tools.ant.helper.ProjectHelperImpl.RootHandler","1,75",7
"org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler","4,67",14
"org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler","1,75",7
"org.apache.tools.ant.helper.SingleCheckExecutor","1,00",2
"org.apache.tools.ant.input.DefaultInputHandler","2,25",9
"org.apache.tools.ant.input.GreedyInputHandler","2,00",4
"org.apache.tools.ant.input.InputRequest","1,20",6
"org.apache.tools.ant.input.MultipleChoiceInputRequest","1,33",4
"org.apache.tools.ant.input.PropertyFileInputHandler","2,33",7
"org.apache.tools.ant.launch.LaunchException","1,00",1
"org.apache.tools.ant.launch.Launcher","9,33",28
"org.apache.tools.ant.launch.Locator","4,64",51
"org.apache.tools.ant.listener.AnsiColorLogger","8,50",17
"org.apache.tools.ant.listener.CommonsLoggingListener","3,14",44
"org.apache.tools.ant.listener.Log4jListener","3,38",27
"org.apache.tools.ant.listener.MailLogger","3,33",20
"org.apache.tools.ant.listener.TimestampedLogger","1,00",3
"org.apache.tools.ant.loader.AntClassLoader2","1,00",1
"org.apache.tools.ant.taskdefs.AbstractCvsTask","1,98",83
"org.apache.tools.ant.taskdefs.AbstractJarSignerTask","1,52",35
"org.apache.tools.ant.taskdefs.Ant","2,96",77
"org.apache.tools.ant.taskdefs.Ant.Reference","1,00",3
"org.apache.tools.ant.taskdefs.Ant.TargetElement","1,00",3
"org.apache.tools.ant.taskdefs.AntStructure","1,80",9
"org.apache.tools.ant.taskdefs.AntStructure.DTDPrinter","4,86",34
"org.apache.tools.ant.taskdefs.Antlib","1,83",11
"org.apache.tools.ant.taskdefs.AntlibDefinition","1,50",6
"org.apache.tools.ant.taskdefs.Apt","1,12",19
"org.apache.tools.ant.taskdefs.Apt.Option","1,00",5
"org.apache.tools.ant.taskdefs.Available","3,37",64
"org.apache.tools.ant.taskdefs.Available.FileDir","1,00",3
"org.apache.tools.ant.taskdefs.BUnzip2","2,33",7
"org.apache.tools.ant.taskdefs.BZip2","1,00",2
"org.apache.tools.ant.taskdefs.Basename","2,00",8
"org.apache.tools.ant.taskdefs.BuildNumber","2,20",11
"org.apache.tools.ant.taskdefs.CVSPass","2,33",14
"org.apache.tools.ant.taskdefs.CallTarget","1,86",26
"org.apache.tools.ant.taskdefs.Checksum","3,04",70
"org.apache.tools.ant.taskdefs.Checksum.FileUnion","1,00",2
"org.apache.tools.ant.taskdefs.Checksum.FormatElement","1,00",4
"org.apache.tools.ant.taskdefs.Chmod","1,28",23
"org.apache.tools.ant.taskdefs.Classloader","2,50",25
"org.apache.tools.ant.taskdefs.Concat","2,80",70
"org.apache.tools.ant.taskdefs.Concat.MultiReader","3,75",30
"org.apache.tools.ant.taskdefs.Concat.TextElement","2,25",18
"org.apache.tools.ant.taskdefs.ConditionTask","2,00",10
"org.apache.tools.ant.taskdefs.Copy","2,93",126
"org.apache.tools.ant.taskdefs.CopyPath","2,10",21
"org.apache.tools.ant.taskdefs.Copydir","2,43",17
"org.apache.tools.ant.taskdefs.Copyfile","2,00",10
"org.apache.tools.ant.taskdefs.Cvs","1,00",1
"org.apache.tools.ant.taskdefs.DefBase","1,25",15
"org.apache.tools.ant.taskdefs.DefaultExcludes","2,20",11
"org.apache.tools.ant.taskdefs.Definer","2,58",62
"org.apache.tools.ant.taskdefs.Definer.Format","1,00",1
"org.apache.tools.ant.taskdefs.Definer.OnError","1,00",3
"org.apache.tools.ant.taskdefs.Definer.ResourceStack","1,00",2
"org.apache.tools.ant.taskdefs.Delete","2,25",99
"org.apache.tools.ant.taskdefs.Delete.ReverseDirs","1,00",5
"org.apache.tools.ant.taskdefs.Deltree","3,67",11
"org.apache.tools.ant.taskdefs.DependSet","1,89",17
"org.apache.tools.ant.taskdefs.DependSet.Newest","1,00",1
