Martin packaging metrics,Sex, 27 out 2017 13:56:41 BRST
Package,A,Ca,Ce,D,I
"","0,00",0,0,"0,00","1,00"
"gjt.sp.jedit","0,13",80,98,"0,32","0,59"
"gjt.sp.jedit.browser","0,03",35,41,"0,43","0,62"
"gjt.sp.jedit.buffer","0,24",21,22,"0,25","0,52"
"gjt.sp.jedit.gui","0,04",148,136,"0,48","0,52"
"gjt.sp.jedit.help","0,04",25,28,"0,43","0,72"
"gjt.sp.jedit.indent","0,23",2,20,"0,14","0,90"
"gjt.sp.jedit.io","0,07",23,22,"0,44","0,50"
"gjt.sp.jedit.menu","0,06",8,12,"0,34","0,73"
"gjt.sp.jedit.msg","0,00",13,7,"0,65","0,35"
"gjt.sp.jedit.options","0,00",65,69,"0,49","0,62"
"gjt.sp.jedit.pluginmgr","0,03",37,43,"0,44","0,71"
"gjt.sp.jedit.print","0,00",1,2,"0,33","1,00"
"gjt.sp.jedit.proto.jeditresource","0,00",0,0,"0,00","1,00"
"gjt.sp.jedit.search","0,13",29,45,"0,26","0,79"
"gjt.sp.jedit.syntax","0,13",5,6,"0,32","0,67"
"gjt.sp.jedit.textarea","0,13",26,66,"0,15","0,85"
"gjt.sp.util","0,21",28,6,"0,61","0,11"
"loomcom.ant.tasks.jarbundler","0,00",4,2,"0,67","1,00"
"microstar.xml","0,25",3,1,"0,50","0,25"
"objectweb.asm","0,30",0,0,"0,30","1,00"
"regexp","0,07",5,1,"0,76","0,17"

