Class,OCavg,WMC
"uk.ac.ed.ph.aardvark.core.resources.StructuralElementMap","1,40",7
"uk.ac.ed.ph.aardvark.core.resources.TutorialQuestionSource","1,00",11
"uk.ac.ed.ph.aardvark.core.resources.WorkshopSource","1,00",2
"uk.ac.ed.ph.aardvark.core.resources.WorkshopSource.WorkshopActivity","1,00",8
"uk.ac.ed.ph.aardvark.processor.validator.AardvarkLinkChecker","1,18",13
"uk.ac.ed.ph.aardvark.processor.validator.AbstractSingleSourceSnuggleTeXValidationStrategy","1,00",2
"uk.ac.ed.ph.aardvark.processor.validator.AbstractSnuggleTeXValidationStrategy","6,50",13
"uk.ac.ed.ph.aardvark.processor.validator.AbstractSnuggleTeXValidationStrategy.MasterDocumentAssembler","2,33",7
"uk.ac.ed.ph.aardvark.processor.validator.AbstractSnuggleTeXValidationStrategy.SnuggleCaller","1,00",2
"uk.ac.ed.ph.aardvark.processor.validator.AbstractSnuggleTeXValidationStrategy.SourceToMasterFilter","1,40",14
"uk.ac.ed.ph.aardvark.processor.validator.BinaryTimeToThinkValidationStrategy","1,50",6
"uk.ac.ed.ph.aardvark.processor.validator.CheckpointValidationStrategy","1,75",7
"uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy","2,50",5
"uk.ac.ed.ph.aardvark.processor.validator.DeploymentValidationStrategy","2,00",2
"uk.ac.ed.ph.aardvark.processor.validator.DeploymentValidationStrategy.TreeVisitor","1,75",14
"uk.ac.ed.ph.aardvark.processor.validator.FolderValidationStrategy","2,00",2
"uk.ac.ed.ph.aardvark.processor.validator.LearningOutcomesValidationStrategy","1,75",7
"uk.ac.ed.ph.aardvark.processor.validator.MCQValidationStrategy","2,25",9
"uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidationStrategy","2,00",2
"uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidationStrategy.NumberingContextMerger","4,00",8
"uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidationStrategy.TreeVisitor","2,22",20
"uk.ac.ed.ph.aardvark.processor.validator.SnuggleTeXTidyingPipeline","1,00",8
"uk.ac.ed.ph.aardvark.processor.validator.SnuggleTeXTidyingPipeline.IdChecker","1,40",7
"uk.ac.ed.ph.aardvark.processor.validator.StandardTimeToThinkValidationStrategy","1,50",6
"uk.ac.ed.ph.aardvark.processor.validator.TutorialQuestionValidationStrategy","2,00",8
"uk.ac.ed.ph.aardvark.processor.validator.WorkshopValidationStrategy","1,50",6
"uk.ac.ed.ph.aardvark.processor.views.AbstractCoreContentNodeWebViewStrategy","1,33",8
"uk.ac.ed.ph.aardvark.processor.views.AbstractCustomJavaViewStrategy","3,00",6
"uk.ac.ed.ph.aardvark.processor.views.AbstractDeploymentBundlerViewStrategy","1,75",7
"uk.ac.ed.ph.aardvark.processor.views.AbstractDeploymentBundlerViewStrategy.IndexLinkMapperFilterCallback","4,00",8
"uk.ac.ed.ph.aardvark.processor.views.AbstractDeploymentBundlerViewStrategy.ZipBuildingNodeVisitor","3,12",25
"uk.ac.ed.ph.aardvark.processor.views.AbstractDeploymentFilesystemViewStrategy","1,75",14
"uk.ac.ed.ph.aardvark.processor.views.AbstractDeploymentFilesystemViewStrategy.DeploymentStatus",n/a,0
"uk.ac.ed.ph.aardvark.processor.views.AbstractDeploymentNodeViewStrategy","4,00",4
"uk.ac.ed.ph.aardvark.processor.views.AbstractImageMagickViewStrategy","2,33",7
"uk.ac.ed.ph.aardvark.processor.views.AbstractNonCoreContentNodeWebViewStrategy","1,67",5
