Method,ev(G),iv(G),v(G)
"android.telephony.SmsCbMessage.SmsCbMessage(int,int,int,SmsCbLocation,int,String,String,int,SmsCbEtwsInfo,SmsCbCmasInfo)",1,1,1
"android.telephony.SmsCbMessage.describeContents()",1,1,1
"android.telephony.SmsCbMessage.getCmasWarningInfo()",1,1,1
"android.telephony.SmsCbMessage.getEtwsWarningInfo()",1,1,1
"android.telephony.SmsCbMessage.getGeographicalScope()",1,1,1
"android.telephony.SmsCbMessage.getLanguageCode()",1,1,1
"android.telephony.SmsCbMessage.getLocation()",1,1,1
"android.telephony.SmsCbMessage.getMessageBody()",1,1,1
"android.telephony.SmsCbMessage.getMessageFormat()",1,1,1
"android.telephony.SmsCbMessage.getMessagePriority()",1,1,1
"android.telephony.SmsCbMessage.getSerialNumber()",1,1,1
"android.telephony.SmsCbMessage.getServiceCategory()",1,1,1
"android.telephony.SmsCbMessage.isCmasMessage()",1,1,1
"android.telephony.SmsCbMessage.isEmergencyMessage()",1,1,1
"android.telephony.SmsCbMessage.isEtwsMessage()",1,1,1
"android.telephony.SmsCbMessage.toString()",1,3,3
"android.telephony.SmsCbMessage.writeToParcel(Parcel,int)",1,3,3
"android.telephony.SmsManager.SmsManager()",1,1,1
"android.telephony.SmsManager.copyMessageToIcc(byte[],byte[],int)",1,2,3
"android.telephony.SmsManager.createMessageListFromRawRecords(List<SmsRawData>)",1,5,5
"android.telephony.SmsManager.deleteMessageFromIcc(int)",1,2,3
"android.telephony.SmsManager.disableCellBroadcast(int)",1,2,3
"android.telephony.SmsManager.disableCellBroadcastRange(int,int)",1,2,3
"android.telephony.SmsManager.divideMessage(String)",1,1,1
"android.telephony.SmsManager.enableCellBroadcast(int)",1,2,3
"android.telephony.SmsManager.enableCellBroadcastRange(int,int)",1,2,3
"android.telephony.SmsManager.getAllMessagesFromIcc()",1,2,3
"android.telephony.SmsManager.getDefault()",1,1,1
"android.telephony.SmsManager.sendDataMessage(String,String,short,byte[],PendingIntent,PendingIntent)",3,2,6
"android.telephony.SmsManager.sendMultipartTextMessage(String,String,ArrayList<String>,ArrayList<PendingIntent>,ArrayList<PendingIntent>)",3,8,11
"android.telephony.SmsManager.sendTextMessage(String,String,String,PendingIntent,PendingIntent)",3,2,5
"android.telephony.SmsManager.updateMessageOnIcc(int,int,byte[])",1,2,3
"android.telephony.SmsMessage.SmsMessage(SmsMessageBase)",1,1,1
"android.telephony.SmsMessage.SubmitPdu.SubmitPdu(SubmitPduBase)",1,1,1
"android.telephony.SmsMessage.SubmitPdu.toString()",1,1,1
"android.telephony.SmsMessage.calculateLength(CharSequence,boolean)",1,2,2
"android.telephony.SmsMessage.calculateLength(String,boolean)",1,1,1
"android.telephony.SmsMessage.createFromEfRecord(int,byte[])",1,2,3
"android.telephony.SmsMessage.createFromPdu(byte[])",1,1,2
"android.telephony.SmsMessage.createFromPdu(byte[],String)",3,3,3
"android.telephony.SmsMessage.fragmentText(String)",3,6,16
"android.telephony.SmsMessage.getDisplayMessageBody()",1,1,1
"android.telephony.SmsMessage.getDisplayOriginatingAddress()",1,1,1
"android.telephony.SmsMessage.getEmailBody()",1,1,1
"android.telephony.SmsMessage.getEmailFrom()",1,1,1
"android.telephony.SmsMessage.getIndexOnIcc()",1,1,1
"android.telephony.SmsMessage.getIndexOnSim()",1,1,1
"android.telephony.SmsMessage.getMessageBody()",1,1,1
"android.telephony.SmsMessage.getMessageClass()",6,2,6
"android.telephony.SmsMessage.getOriginatingAddress()",1,1,1
"android.telephony.SmsMessage.getPdu()",1,1,1
"android.telephony.SmsMessage.getProtocolIdentifier()",1,1,1
"android.telephony.SmsMessage.getPseudoSubject()",1,1,1
"android.telephony.SmsMessage.getServiceCenterAddress()",1,1,1
"android.telephony.SmsMessage.getStatus()",1,1,1
"android.telephony.SmsMessage.getStatusOnIcc()",1,1,1
"android.telephony.SmsMessage.getStatusOnSim()",1,1,1
"android.telephony.SmsMessage.getSubmitPdu(String,String,String,boolean)",1,2,2
"android.telephony.SmsMessage.getSubmitPdu(String,String,short,byte[],boolean)",1,2,2
"android.telephony.SmsMessage.getTPLayerLengthForPDU(String)",2,2,2
"android.telephony.SmsMessage.getTimestampMillis()",1,1,1
"android.telephony.SmsMessage.getUserData()",1,1,1
"android.telephony.SmsMessage.isCphsMwiMessage()",1,1,1
"android.telephony.SmsMessage.isEmail()",1,1,1
"android.telephony.SmsMessage.isMWIClearMessage()",1,1,1
"android.telephony.SmsMessage.isMWISetMessage()",1,1,1
"android.telephony.SmsMessage.isMwiDontStore()",1,1,1
"android.telephony.SmsMessage.isReplace()",1,1,1
"android.telephony.SmsMessage.isReplyPathPresent()",1,1,1
