Class,OCavg,WMC
"org.gjt.sp.jedit.browser.BrowserView.ParentDirectoryRenderer","4,00",8
"org.gjt.sp.jedit.browser.BrowserView.ParentMouseHandler","5,50",11
"org.gjt.sp.jedit.browser.BrowserView.TableMouseHandler","7,33",22
"org.gjt.sp.jedit.browser.FileCellRenderer","3,43",24
"org.gjt.sp.jedit.browser.FileCellRenderer.ExpansionToggleBorder","1,40",7
"org.gjt.sp.jedit.browser.VFSBrowser","2,77",147
"org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler","3,00",3
"org.gjt.sp.jedit.browser.VFSBrowser.BrowserActionContext","2,00",4
"org.gjt.sp.jedit.browser.VFSBrowser.CommandsMenuButton","2,00",2
"org.gjt.sp.jedit.browser.VFSBrowser.CommandsMenuButton.MouseHandler","2,00",2
"org.gjt.sp.jedit.browser.VFSBrowser.DirectoryLoadedAWTRequest","4,67",14
"org.gjt.sp.jedit.browser.VFSBrowser.FavoritesMenuButton","3,00",6
"org.gjt.sp.jedit.browser.VFSBrowser.FavoritesMenuButton.ActionHandler","9,00",9
"org.gjt.sp.jedit.browser.VFSBrowser.FavoritesMenuButton.MouseHandler","3,00",3
"org.gjt.sp.jedit.browser.VFSBrowser.PluginsMenuButton","1,67",5
"org.gjt.sp.jedit.browser.VFSBrowser.PluginsMenuButton.ActionHandler","2,00",2
"org.gjt.sp.jedit.browser.VFSBrowser.PluginsMenuButton.MouseHandler","2,00",2
"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable","4,19",67
"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.ClearTypeSelect","1,00",1
"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.ColumnHandler","1,00",5
"org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel","2,33",35
"org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.Entry","1,00",1
"org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.ExtendedAttribute","1,00",1
"org.gjt.sp.jedit.browser.VFSFileChooserDialog","4,25",34
"org.gjt.sp.jedit.browser.VFSFileChooserDialog.ActionHandler","4,00",4
"org.gjt.sp.jedit.browser.VFSFileChooserDialog.BrowserHandler","7,50",15
"org.gjt.sp.jedit.browser.VFSFileChooserDialog.GetFileTypeRequest","1,50",3
"org.gjt.sp.jedit.browser.VFSFileChooserDialog.KeyHandler","2,00",2
"org.gjt.sp.jedit.browser.VFSFileChooserDialog.WorkThreadHandler","1,67",5
"org.gjt.sp.jedit.browser.VFSFileNameField","5,14",36
"org.gjt.sp.jedit.buffer.BufferAdapter","1,00",7
