Package,C(rec),LOC(rec),METH(rec)
"",1.801,130.543,10.984
"com",1.801,130.538,10.984
"com.google",1.801,130.538,10.984
"com.google.common",1.801,130.538,10.984
"com.google.common.annotations",4,228,3
"com.google.common.base",118,7.868,608
"com.google.common.base.internal",2,190,6
"com.google.common.cache",95,7.457,697
"com.google.common.collect",1.209,77.459,7.544
"com.google.common.collect.testing",378,22.827,1.845
"com.google.common.collect.testing.features",15,885,48
"com.google.common.collect.testing.google",119,5.826,524
"com.google.common.collect.testing.testers",71,6.350,475
"com.google.common.eventbus",15,1.078,36
"com.google.common.hash",37,2.441,245
"com.google.common.io",43,3.993,293
"com.google.common.math",6,2.172,82
"com.google.common.net",11,7.295,122
"com.google.common.primitives",40,5.995,396
"com.google.common.reflect",36,2.317,208
"com.google.common.testing",38,2.056,117
"com.google.common.util",149,10.179,633
"com.google.common.util.concurrent",149,10.179,633
"com.google.common.util.concurrent.testing",12,405,30
"java",n/a,5,n/a
"java.nio",n/a,4,n/a
"java.nio.charset",n/a,4,n/a
"java.util",n/a,1,n/a

