Method,ev(G),iv(G),v(G)
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.doTextSearchAndReplaceOnSourceResource(OrganisationTreeSource,ResourceName,SearchAndReplaceMapper)",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.traverseChildNodes(SearchAndReplaceMapper,AbstractOrganisationTreeSourceNode,OrganisationTreeSource,AbstractOrganisationTreeSourceNode)",1,2,2
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy.createSourceResourceTemplate()",1,2,2
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TeXMacrosEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TextEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.doTextSearchAndReplaceOnSourceResource(TutorialQuestionSource,ResourceName,SearchAndReplaceMapper)",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.doTextSearchAndReplaceOnSourceResource(WorkshopSource,ResourceName,SearchAndReplaceMapper)",1,3,3
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.XfigFigureEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException.AardvarkException(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException.AardvarkException(String,Throwable)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException.AardvarkException(Throwable)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException.unexpectedException(Throwable)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException.BadNumberingPatternException()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException.BadNumberingPatternException(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException.BadNumberingPatternException(String,Throwable)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException.BadNumberingPatternException(Throwable)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.CoreNodeTypes(String,boolean,boolean,ResourceType...)",3,2,3
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.getAllowsChildren()",1,1,1
