Package,C(rec),LOC(rec),METH(rec)
"",370,66.096,4.369
"java",370,66.096,4.369
"java.android",45,4.892,217
"java.android.provider",27,1.721,24
"java.android.telephony",18,3.171,193
"java.android.telephony.gsm",4,794,49
"java.com",325,61.204,4.152
"java.com.android",325,61.204,4.152
"java.com.android.internal",325,61.204,4.152
"java.com.android.internal.telephony",325,61.204,4.152
"java.com.android.internal.telephony.cat",63,4.621,231
"java.com.android.internal.telephony.cdma",58,12.658,681
"java.com.android.internal.telephony.cdma.sms",8,2.278,77
"java.com.android.internal.telephony.gsm",44,13.329,649
"java.com.android.internal.telephony.ims",5,176,16
"java.com.android.internal.telephony.sip",10,1.737,319
"java.com.android.internal.telephony.test",11,2.542,227
"java.com.android.internal.telephony.uicc",1,79,6

