Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.android.ddmlib.AdbHelper.AdbHelper()",0,0,n/a,3,0,0,0,1
"com.android.ddmlib.AdbHelper.AdbResponse.AdbResponse()",0,1,n/a,3,0,0,1,1
"com.android.ddmlib.AdbHelper.createAdbForwardRequest(String,int)",1,1,n/a,14,0,2,5,2
"com.android.ddmlib.AdbHelper.createForward(InetSocketAddress,Device,String,String)",10,2,n/a,39,2,4,12,3
"com.android.ddmlib.AdbHelper.createJdwpForwardRequest(int)",2,1,n/a,9,0,1,2,1
"com.android.ddmlib.AdbHelper.createPassThroughConnection(InetSocketAddress,Device,int)",12,1,n/a,39,2,3,16,4
"com.android.ddmlib.AdbHelper.executeRemoteCommand(InetSocketAddress,String,IDevice,IShellOutputReceiver,int)",24,2,n/a,85,5,5,39,12
"com.android.ddmlib.AdbHelper.formAdbRequest(String)",5,13,n/a,19,1,1,8,2
"com.android.ddmlib.AdbHelper.getFrameBuffer(InetSocketAddress,Device)",22,1,n/a,58,2,2,34,4
"com.android.ddmlib.AdbHelper.isOkay(byte[])",0,1,n/a,7,0,1,1,4
"com.android.ddmlib.AdbHelper.open(InetSocketAddress,Device,int)",12,0,n/a,39,2,3,16,4
"com.android.ddmlib.AdbHelper.read(SocketChannel,byte[])",2,6,n/a,14,0,2,1,1
"com.android.ddmlib.AdbHelper.read(SocketChannel,byte[],int,int)",9,7,n/a,40,3,4,16,8
"com.android.ddmlib.AdbHelper.readAdbResponse(SocketChannel,boolean)",13,11,n/a,50,3,2,24,5
"com.android.ddmlib.AdbHelper.reboot(String,InetSocketAddress,Device)",7,1,n/a,30,2,3,12,3
"com.android.ddmlib.AdbHelper.removeForward(InetSocketAddress,Device,String,String)",10,2,n/a,39,2,4,12,3
"com.android.ddmlib.AdbHelper.replyToString(byte[])",2,4,n/a,13,1,1,6,2
"com.android.ddmlib.AdbHelper.runEventLogService(InetSocketAddress,Device,LogReceiver)",1,1,n/a,15,0,3,1,1
"com.android.ddmlib.AdbHelper.runLogService(InetSocketAddress,Device,String,LogReceiver)",17,2,n/a,54,4,4,27,10
"com.android.ddmlib.AdbHelper.setDevice(SocketChannel,IDevice)",5,8,n/a,24,2,2,7,3
"com.android.ddmlib.AdbHelper.write(SocketChannel,byte[])",2,12,n/a,11,0,2,1,1
"com.android.ddmlib.AdbHelper.write(SocketChannel,byte[],int,int)",9,8,n/a,38,3,4,16,8
"com.android.ddmlib.AllocationInfo.AllocationInfo(int,String,int,short,StackTraceElement[])",0,1,n/a,11,0,5,5,1
"com.android.ddmlib.AllocationInfo.AllocationSorter.AllocationSorter()",0,0,n/a,2,0,0,0,1
"com.android.ddmlib.AllocationInfo.AllocationSorter.compare(AllocationInfo,AllocationInfo)",7,0,n/a,37,1,2,28,9
"com.android.ddmlib.AllocationInfo.AllocationSorter.compareOptionalString(String,String)",1,2,n/a,16,2,2,7,4
"com.android.ddmlib.AllocationInfo.AllocationSorter.getSortMode()",0,0,n/a,3,0,0,1,1
