Package,v(G)avg,v(G)tot
"build.org.apache.derbyBuild","2,90",649
"build.org.apache.derbyBuild.eclipse","1,67",5
"build.org.apache.derbyBuild.javadoc","1,36",75
"build.org.apache.derbyPreBuild","2,14",62
"client.org.apache.derby.client","2,12",106
"client.org.apache.derby.client.am","2,74",6.067
"client.org.apache.derby.client.am.stmtcache","2,80",42
"client.org.apache.derby.client.net","2,50",2.781
"client.org.apache.derby.jdbc","2,08",225
"demo.localcal.src","1,68",170
"demo.nserverdemo","3,17",127
"demo.scores.java.client.org.apache.derbyDemo.scores.app","1,33",4
"demo.scores.java.client.org.apache.derbyDemo.scores.data","1,23",81
"demo.scores.java.common.org.apache.derbyDemo.scores.util","1,38",29
"demo.scores.java.server.org.apache.derbyDemo.scores.proc","1,62",13
"demo.simple","5,17",31
"demo.simplemobile","5,80",29
"demo.toursdb","3,50",7
"demo.vtis.java.org.apache.derbyDemo.vtis.core","1,56",353
"demo.vtis.java.org.apache.derbyDemo.vtis.example","2,00",56
"demo.vtis.java.org.apache.derbyDemo.vtis.snapshot","2,09",46
"demo.workingwithderby","4,67",42
"drda.org.apache.derby.drda","3,41",201
"drda.org.apache.derby.impl.drda","3,47",3.177
"engine.org.apache.derby.authentication","1,80",9
"engine.org.apache.derby.catalog","2,68",212
"engine.org.apache.derby.catalog.types","1,97",293
"engine.org.apache.derby.diag","2,63",192
"engine.org.apache.derby.iapi.db","3,25",52
"engine.org.apache.derby.iapi.error","1,84",116
"engine.org.apache.derby.iapi.jdbc","1,31",454
"engine.org.apache.derby.iapi.security","2,25",9
"engine.org.apache.derby.iapi.services.cache","3,50",42
"engine.org.apache.derby.iapi.services.classfile","2,29",362
"engine.org.apache.derby.iapi.services.context","3,57",150
"engine.org.apache.derby.iapi.services.diag","2,14",15
"engine.org.apache.derby.iapi.services.i18n","3,12",50
"engine.org.apache.derby.iapi.services.info","1,95",78
"engine.org.apache.derby.iapi.services.io","2,58",728
"engine.org.apache.derby.iapi.services.loader","8,76",219
"engine.org.apache.derby.iapi.services.locks","2,11",19
"engine.org.apache.derby.iapi.services.memory","4,50",9
"engine.org.apache.derby.iapi.services.monitor","1,50",57
"engine.org.apache.derby.iapi.services.property","3,38",108
"engine.org.apache.derby.iapi.services.sanity","1,00",2
"engine.org.apache.derby.iapi.sql","2,00",4
"engine.org.apache.derby.iapi.sql.compile","1,00",14
"engine.org.apache.derby.iapi.sql.conn","2,00",2
"engine.org.apache.derby.iapi.sql.depend","1,00",1
"engine.org.apache.derby.iapi.sql.dictionary","1,89",1.139
"engine.org.apache.derby.iapi.store.access","4,04",226
"engine.org.apache.derby.iapi.store.access.xa","3,11",28
"engine.org.apache.derby.iapi.store.raw","1,59",73
"engine.org.apache.derby.iapi.store.raw.xact","1,50",6
"engine.org.apache.derby.iapi.transaction","2,80",14
"engine.org.apache.derby.iapi.types","2,50",3.585
"engine.org.apache.derby.iapi.util","2,97",318
"engine.org.apache.derby.impl.db","2,04",149
"engine.org.apache.derby.impl.io","1,79",225
"engine.org.apache.derby.impl.jdbc","2,15",2.604
"engine.org.apache.derby.impl.jdbc.authentication","3,68",125
"engine.org.apache.derby.impl.load","2,84",533
"engine.org.apache.derby.impl.services.bytecode","3,49",509
"engine.org.apache.derby.impl.services.cache","3,69",457
"engine.org.apache.derby.impl.services.daemon","5,00",130
"engine.org.apache.derby.impl.services.jce","5,48",170
"engine.org.apache.derby.impl.services.jmx","3,00",42
"engine.org.apache.derby.impl.services.jmxnone","1,00",7
"engine.org.apache.derby.impl.services.locks","3,70",625
"engine.org.apache.derby.impl.services.monitor","4,18",594
"engine.org.apache.derby.impl.services.reflect","3,20",211
"engine.org.apache.derby.impl.services.stream","2,20",55
"engine.org.apache.derby.impl.services.timer","1,00",4
