Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"javax.persistence.PersistenceUnit",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.persistence.PersistenceUnits",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.AsyncContext",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a
"javax.servlet.AsyncEvent",7,4,8,12,37,0,0,4,42,38,0,0,0,"1,00",4,8,8
"javax.servlet.AsyncListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.DispatcherType",18,5,0,5,0,n/a,0,0,10,7,n/a,0,0,n/a,0,0,0
"javax.servlet.Filter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.FilterChain",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.FilterConfig",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.FilterRegistration",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.FilterRegistration.Dynamic",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"javax.servlet.GenericServlet",28,1,22,23,38,0,2,4,242,41,1,0,0,"1,00",6,19,12
"javax.servlet.HttpConstraintElement",7,5,7,12,3,0,0,3,60,38,2,0,0,"1,14",3,7,8
"javax.servlet.HttpMethodConstraintElement",4,6,10,16,4,1,0,1,32,27,0,3,0,"1,67",1,7,5
"javax.servlet.MultipartConfigElement",8,4,7,11,1,0,0,4,44,38,0,0,0,"1,29",4,11,9
"javax.servlet.Registration",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"javax.servlet.Registration.Dynamic",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.RequestDispatcher",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.Servlet",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"javax.servlet.ServletConfig",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.ServletContainerInitializer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.ServletContext",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51,n/a
"javax.servlet.ServletContextAttributeEvent",7,2,5,7,39,1,0,2,35,15,0,1,0,"1,00",2,4,3
"javax.servlet.ServletContextAttributeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.ServletContextEvent",9,0,2,2,38,0,0,1,23,8,1,0,0,"1,00",1,2,2
"javax.servlet.ServletContextListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.ServletException",141,0,5,5,0,0,0,1,74,17,2,0,0,"1,00",1,5,5
"javax.servlet.ServletInputStream",8,0,2,2,0,0,0,1,72,18,1,0,0,"3,00",1,2,6
"javax.servlet.ServletOutputStream",19,2,16,18,0,0,0,1,273,77,5,0,0,"1,25",0,16,20
"javax.servlet.ServletRegistration",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.ServletRegistration.Dynamic",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.ServletRequest",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36,n/a
"javax.servlet.ServletRequestAttributeEvent",5,3,6,9,39,1,0,2,44,15,0,2,0,"1,00",2,4,3
"javax.servlet.ServletRequestAttributeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.ServletRequestEvent",5,1,3,4,38,0,0,2,33,13,1,0,0,"1,00",2,3,3
"javax.servlet.ServletRequestListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.ServletRequestWrapper",12,1,77,78,38,0,1,1,362,148,2,0,0,"1,15",36,77,47
