Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.tools.ant.AntTypeDefinition.create(Project)",1,4,n/a,9,0,1,1,1
"org.apache.tools.ant.AntTypeDefinition.createAndSet(Project,Class)",9,4,n/a,31,1,2,11,7
"org.apache.tools.ant.AntTypeDefinition.extractClassname(Class)",2,4,n/a,3,0,1,1,2
"org.apache.tools.ant.AntTypeDefinition.getClassLoader()",0,3,n/a,7,0,0,1,1
"org.apache.tools.ant.AntTypeDefinition.getClassName()",0,5,n/a,7,0,0,1,1
"org.apache.tools.ant.AntTypeDefinition.getExposedClass(Project)",3,9,n/a,18,2,1,5,5
"org.apache.tools.ant.AntTypeDefinition.getName()",0,4,n/a,7,0,0,1,1
"org.apache.tools.ant.AntTypeDefinition.getTypeClass(Project)",4,9,n/a,18,1,1,5,3
"org.apache.tools.ant.AntTypeDefinition.icreate(Project)",6,1,n/a,27,2,1,14,7
"org.apache.tools.ant.AntTypeDefinition.innerCreateAndSet(Class,Project)",4,2,n/a,35,1,2,10,3
"org.apache.tools.ant.AntTypeDefinition.innerGetTypeClass()",2,3,n/a,17,1,0,6,3
"org.apache.tools.ant.AntTypeDefinition.sameDefinition(AntTypeDefinition,Project)",8,3,n/a,14,0,2,1,6
"org.apache.tools.ant.AntTypeDefinition.setAdaptToClass(Class)",0,3,n/a,7,0,1,1,1
"org.apache.tools.ant.AntTypeDefinition.setAdapterClass(Class)",0,3,n/a,9,0,1,1,1
"org.apache.tools.ant.AntTypeDefinition.setClass(Class)",2,5,n/a,14,1,1,5,4
"org.apache.tools.ant.AntTypeDefinition.setClassLoader(ClassLoader)",0,4,n/a,8,0,1,1,1
"org.apache.tools.ant.AntTypeDefinition.setClassName(String)",0,4,n/a,7,0,1,1,1
"org.apache.tools.ant.AntTypeDefinition.setName(String)",0,8,n/a,7,0,1,1,1
"org.apache.tools.ant.AntTypeDefinition.similarDefinition(AntTypeDefinition,Project)",16,3,n/a,31,1,2,5,9
"org.apache.tools.ant.BuildEvent.BuildEvent(Project)",1,6,n/a,12,0,1,4,1
