Class,CBO,CSA,CSO,CSOA,Dcy,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"DocTaglet",3,0,34,34,1,1,1,9,48,48,2,11,0,"1,30",12,21,13
"ManualTaglet",1,0,38,38,1,2,1,3,17,17,0,21,0,"1,00",3,5,4
"ServerReleaseTaglet",1,0,38,38,1,2,1,4,18,18,0,21,0,"1,00",3,6,4
"category.Async",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"category.ReplicaSet",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"category.Slow",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"category.SlowUnit",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.mongodb.AcknowledgedBulkWriteResult",4,5,30,35,3,2,0,6,92,92,0,8,3,"1,91",10,19,21
"com.mongodb.AggregateIterableImpl",21,19,60,79,20,2,3,2,135,135,0,23,1,"1,53",13,58,23
"com.mongodb.AggregationOptions",6,6,21,27,3,1,0,7,105,49,0,10,1,"1,00",8,11,9
"com.mongodb.AggregationOptions.Builder",6,6,20,26,3,1,0,7,99,39,0,11,0,"1,00",7,10,8
"com.mongodb.AggregationOptions.OutputMode",4,4,25,29,0,n/a,2,0,19,5,n/a,20,0,n/a,0,0,0
"com.mongodb.AggregationOutput",3,1,14,15,1,1,0,1,24,11,0,11,0,"1,00",1,2,2
"com.mongodb.AuthenticationMechanism",9,9,29,38,0,n/a,2,2,63,31,n/a,18,1,"1,50",3,9,6
"com.mongodb.BSONTimestampCodec",8,0,18,18,7,1,3,3,21,15,0,11,0,"1,00",2,11,3
"com.mongodb.BasicDBList",11,5,168,173,4,5,8,2,45,30,0,89,1,"1,75",3,9,7
"com.mongodb.BasicDBObject",85,13,186,199,18,5,6,6,181,72,1,118,2,"1,19",11,42,19
"com.mongodb.BasicDBObjectBuilder",8,1,23,24,3,1,0,2,116,53,0,11,0,"1,18",10,29,13
"com.mongodb.BasicDBObjectFactory",4,0,16,16,3,1,1,2,10,10,0,11,0,"1,00",2,3,2
"com.mongodb.Block",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.BulkUpdateRequestBuilder",8,7,19,26,6,1,0,1,83,39,0,11,0,"1,00",3,10,7
"com.mongodb.BulkWriteError",4,4,20,24,2,1,0,4,99,64,0,8,3,"1,75",7,14,14
"com.mongodb.BulkWriteException",7,12,62,74,5,6,1,3,87,57,0,26,2,"2,67",5,17,16
"com.mongodb.BulkWriteHelper",22,0,19,19,21,1,0,1,41,41,0,11,0,"1,71",6,43,12
"com.mongodb.BulkWriteOperation",12,6,21,27,10,1,0,1,109,46,0,11,0,"1,11",5,21,10
"com.mongodb.BulkWriteRequestBuilder",7,5,22,27,6,1,0,1,103,42,0,11,0,"1,00",4,16,10
"com.mongodb.BulkWriteResult",8,0,19,19,1,1,0,7,76,9,2,11,0,n/a,7,7,0
"com.mongodb.BulkWriteUpsert",5,2,18,20,0,1,0,2,70,44,0,8,3,"1,67",5,9,10
