Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"com.android.internal.telephony.CallTracker",7,20,15,35,3,0,0,9,129,90,2,0,0,"1,75",4,16,14
"com.android.internal.telephony.CommandException",7,1,3,4,1,0,0,2,52,49,0,0,0,"6,67",2,3,20
"com.android.internal.telephony.CommandException.Error",7,15,0,15,0,n/a,0,0,17,17,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.CommandsInterface",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,212,n/a
"com.android.internal.telephony.CommandsInterface.RadioState",5,3,2,5,0,n/a,0,2,11,11,n/a,0,0,"1,00",2,2,2
"com.android.internal.telephony.Connection",14,4,28,32,2,0,0,22,195,74,1,0,0,"1,20",21,28,12
"com.android.internal.telephony.Connection.DisconnectCause",5,37,0,37,0,n/a,0,0,39,39,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.Connection.PostDialState",2,7,0,7,0,n/a,0,0,15,9,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.DataCallState",6,12,2,14,3,0,0,1,177,165,0,0,0,"17,00",2,3,34
"com.android.internal.telephony.DataCallState.SetupResult",2,7,2,9,1,n/a,0,0,19,16,n/a,0,0,"1,00",1,3,2
"com.android.internal.telephony.DataConnection",17,40,32,72,12,0,0,8,489,342,2,0,0,"2,50",16,37,70
"com.android.internal.telephony.DataConnection.CallSetupException",3,1,2,3,0,0,0,1,9,9,0,0,0,"1,00",1,2,2
"com.android.internal.telephony.DataConnection.ConnectionParams",8,3,1,4,0,0,0,0,12,9,0,0,0,"1,00",0,1,1
"com.android.internal.telephony.DataConnection.DcActivatingState",5,0,1,1,12,0,0,1,92,79,0,0,0,"20,00",1,8,20
"com.android.internal.telephony.DataConnection.DcActiveState",5,2,4,6,12,0,0,1,80,69,0,0,0,"4,50",1,8,18
"com.android.internal.telephony.DataConnection.DcDefaultState",4,0,3,3,12,0,0,1,170,167,0,0,0,"16,67",1,7,50
"com.android.internal.telephony.DataConnection.DcDisconnectingState",3,0,1,1,12,0,0,1,40,35,0,0,0,"9,00",1,3,9
"com.android.internal.telephony.DataConnection.DcDisconnectionErrorCreatingConnection",4,0,1,1,12,0,0,1,40,35,0,0,0,"7,00",1,3,7
"com.android.internal.telephony.DataConnection.DcInactiveState",7,3,5,8,12,0,0,1,89,78,0,0,0,"4,20",1,10,21
"com.android.internal.telephony.DataConnection.DisconnectParams",4,3,1,4,0,0,0,0,12,9,0,0,0,"1,00",0,1,1
"com.android.internal.telephony.DataConnection.FailCause",13,29,5,34,0,n/a,0,3,77,67,n/a,0,0,"1,40",4,6,7
"com.android.internal.telephony.DataConnection.UpdateLinkPropertyResult",4,3,1,4,0,0,0,0,9,9,0,0,0,"1,00",0,1,1
"com.android.internal.telephony.DataConnectionAc",4,34,41,75,2,0,0,2,483,315,0,0,0,"2,07",20,42,85
"com.android.internal.telephony.DataConnectionAc.LinkPropertyChangeAction",0,3,1,4,0,n/a,0,1,18,14,n/a,0,0,"4,00",1,1,4
"com.android.internal.telephony.DataConnectionTracker",11,66,69,135,4,0,0,12,951,796,2,0,0,"4,18",27,73,184
"com.android.internal.telephony.DataConnectionTracker.DataRoamingSettingObserver",1,0,4,4,4,0,0,3,19,18,0,0,0,"1,00",0,5,4
"com.android.internal.telephony.DataConnectionTracker.TxRxSum",2,2,6,8,4,0,0,1,55,49,0,0,0,"2,50",1,6,15
"com.android.internal.telephony.DebugService",0,1,3,4,0,0,0,1,80,65,0,0,0,"1,00",0,3,3
"com.android.internal.telephony.DefaultPhoneNotifier",0,3,20,23,0,0,0,7,227,186,0,0,0,"2,45",6,20,49
"com.android.internal.telephony.DriverCall",7,14,6,20,1,0,0,2,108,95,0,0,0,"4,33",5,6,26
"com.android.internal.telephony.DriverCall.State",5,6,0,6,0,n/a,0,0,10,8,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.IccCard",14,40,45,85,123,0,0,1,797,637,0,0,0,"3,26",14,60,153
"com.android.internal.telephony.IccCardApplication",5,8,5,13,4,0,0,4,128,116,0,0,0,"10,80",5,5,54
"com.android.internal.telephony.IccCardApplication.AppState",1,6,5,11,0,n/a,0,5,24,24,n/a,0,0,"1,00",5,5,5
"com.android.internal.telephony.IccCardApplication.AppType",3,6,0,6,0,n/a,0,0,8,8,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.IccCardApplication.PersoSubState",1,25,1,26,0,n/a,0,1,30,30,n/a,0,0,"1,00",1,1,1
"com.android.internal.telephony.IccCardStatus",2,8,15,23,2,0,0,7,114,109,0,0,0,"2,00",8,15,30
"com.android.internal.telephony.IccCardStatus.CardState",1,3,1,4,0,n/a,0,1,8,8,n/a,0,0,"1,00",1,1,1
