Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.google.common.base.CharMatcher.Or.matches(char)",2,109,n/a,4,0,1,1,2
"com.google.common.base.CharMatcher.Or.setBits(BitSet)",2,8,n/a,6,0,1,2,1
"com.google.common.base.CharMatcher.Or.withToString(String)",1,5,n/a,4,0,1,1,1
"com.google.common.base.CharMatcher.and(CharMatcher)",2,12,n/a,6,0,1,1,1
"com.google.common.base.CharMatcher.anyOf(CharSequence)",15,62,n/a,3,2,1,11,4
"com.google.common.base.CharMatcher.apply(Character)",1,175,n/a,8,0,1,1,1
"com.google.common.base.CharMatcher.collapseFrom(CharSequence,char)",13,21,n/a,43,3,2,16,5
"com.google.common.base.CharMatcher.countIn(CharSequence)",3,9,n/a,12,2,1,7,3
"com.google.common.base.CharMatcher.forPredicate(Predicate<? super Character>)",9,7,n/a,3,2,1,7,2
"com.google.common.base.CharMatcher.inRange(char,char)",10,61,n/a,17,0,2,3,1
"com.google.common.base.CharMatcher.inRange(char,char,String)",2,2,n/a,4,2,3,3,2
"com.google.common.base.CharMatcher.indexIn(CharSequence)",3,23,n/a,19,2,1,7,3
"com.google.common.base.CharMatcher.indexIn(CharSequence,int)",4,27,n/a,25,2,2,8,3
"com.google.common.base.CharMatcher.is(char)",13,57,n/a,5,2,1,8,3
"com.google.common.base.CharMatcher.isEither(char,char)",8,2,n/a,5,2,2,5,2
"com.google.common.base.CharMatcher.isNot(char)",12,15,n/a,3,2,1,8,3
"com.google.common.base.CharMatcher.lastIndexIn(CharSequence)",3,7,n/a,18,2,1,6,3
"com.google.common.base.CharMatcher.matches(char)",n/a,109,31,n/a,n/a,1,n/a,n/a
"com.google.common.base.CharMatcher.matchesAllOf(CharSequence)",3,14,n/a,18,2,1,6,3
"com.google.common.base.CharMatcher.matchesAnyOf(CharSequence)",1,7,n/a,14,0,1,1,1
"com.google.common.base.CharMatcher.matchesNoneOf(CharSequence)",1,11,n/a,14,0,1,1,1
"com.google.common.base.CharMatcher.negate()",1,39,n/a,6,0,0,1,1
"com.google.common.base.CharMatcher.noneOf(CharSequence)",2,8,n/a,7,0,1,1,1
"com.google.common.base.CharMatcher.or(CharMatcher)",2,68,n/a,6,0,1,1,1
"com.google.common.base.CharMatcher.precomputed()",1,37,n/a,12,0,0,1,1
"com.google.common.base.CharMatcher.precomputedInternal()",8,2,n/a,25,1,0,8,2
"com.google.common.base.CharMatcher.precomputedPositive(int,BitSet,String)",11,2,n/a,31,2,3,16,7
"com.google.common.base.CharMatcher.removeFrom(CharSequence)",5,11,n/a,34,3,1,18,6
"com.google.common.base.CharMatcher.replaceFrom(CharSequence,CharSequence)",13,11,n/a,42,1,2,19,5
"com.google.common.base.CharMatcher.replaceFrom(CharSequence,char)",5,13,n/a,33,2,2,12,4
"com.google.common.base.CharMatcher.retainFrom(CharSequence)",2,1,n/a,12,0,1,1,1
"com.google.common.base.CharMatcher.setBits(BitSet)",2,8,n/a,11,2,1,5,3
"com.google.common.base.CharMatcher.toString()",0,322,n/a,8,0,0,1,1
"com.google.common.base.CharMatcher.trimAndCollapseFrom(CharSequence,char)",10,8,n/a,27,3,2,16,5
"com.google.common.base.CharMatcher.trimFrom(CharSequence)",7,19,n/a,31,2,1,14,5
"com.google.common.base.CharMatcher.trimLeadingFrom(CharSequence)",5,7,n/a,19,2,1,8,3
"com.google.common.base.CharMatcher.trimTrailingFrom(CharSequence)",5,7,n/a,19,2,1,8,3
"com.google.common.base.CharMatcher.withToString(String)",1,5,n/a,9,0,1,1,1
"com.google.common.base.Charsets.Charsets()",0,0,n/a,1,0,0,0,1
"com.google.common.base.Defaults.Defaults()",0,0,n/a,1,0,0,0,1
"com.google.common.base.Defaults.defaultValue(Class<T>)",1,11,n/a,9,0,1,1,1
"com.google.common.base.Defaults.put(Map<Class<?>, Object>,Class<T>,T)",1,8,n/a,3,0,3,1,1
"com.google.common.base.Enums.Enums()",0,0,n/a,1,0,0,0,1
"com.google.common.base.Enums.ValueOfFunction.ValueOfFunction(Class<T>)",1,1,n/a,3,0,1,1,1
"com.google.common.base.Enums.ValueOfFunction.apply(String)",1,118,n/a,8,1,1,3,2
"com.google.common.base.Enums.ValueOfFunction.equals(Object)",1,201,n/a,4,0,1,1,2
"com.google.common.base.Enums.ValueOfFunction.hashCode()",1,147,n/a,3,0,0,1,1
"com.google.common.base.Enums.ValueOfFunction.toString()",0,311,n/a,3,0,0,1,1
"com.google.common.base.Enums.getField(Enum<?>)",4,2,n/a,17,1,1,4,2
