Package,v(G)avg,v(G)tot
"bayeux.java.org.apache.tomcat.bayeux","2,04",228
"bayeux.java.org.apache.tomcat.bayeux.request","4,35",87
"bayeux.test.org.apache.cometd.bayeux.samples","1,65",56
"docs.appdev.sample.src.mypackage","1,00",1
"examples.WEB-INF.classes","2,08",25
"examples.WEB-INF.classes.async","1,94",60
"examples.WEB-INF.classes.cal","1,50",63
"examples.WEB-INF.classes.chat","2,77",36
"examples.WEB-INF.classes.checkbox","1,00",2
"examples.WEB-INF.classes.colors","1,85",24
"examples.WEB-INF.classes.compressionFilters","3,44",93
"examples.WEB-INF.classes.dates","1,09",24
"examples.WEB-INF.classes.error","1,00",2
"examples.WEB-INF.classes.examples","1,67",45
"examples.WEB-INF.classes.filters","2,00",16
"examples.WEB-INF.classes.jsp2.examples","1,00",13
"examples.WEB-INF.classes.jsp2.examples.el","1,67",5
"examples.WEB-INF.classes.jsp2.examples.simpletag","1,57",22
"examples.WEB-INF.classes.listeners","1,14",16
"examples.WEB-INF.classes.num","1,83",11
"examples.WEB-INF.classes.sessions","1,43",10
"examples.WEB-INF.classes.util","8,00",8
"examples.WEB-INF.classes.validators","4,00",4
"examples.WEB-INF.jsp.applet","2,60",26
"examples.jsp.plugin.applet","2,60",26
"javax.el","2,84",330
"javax.mail","1,00",3
"javax.mail.internet","1,00",5
"javax.servlet","1,26",185
"javax.servlet.http","1,75",191
"javax.servlet.jsp","1,03",32
"javax.servlet.jsp.el","2,69",129
"javax.servlet.jsp.tagext","1,42",190
"jdbc-pool.java.org.apache.tomcat.jdbc.naming","15,00",45
"jdbc-pool.java.org.apache.tomcat.jdbc.pool","2,03",870
"jdbc-pool.java.org.apache.tomcat.jdbc.pool.interceptor","2,48",305
"jdbc-pool.java.org.apache.tomcat.jdbc.pool.jmx","1,05",107
"jdbc-pool.test.org.apache.tomcat.jdbc.pool.interceptor","1,00",4
"jdbc-pool.test.org.apache.tomcat.jdbc.test","2,38",262
"jdbc-pool.test.org.apache.tomcat.jdbc.test.driver","1,00",454
"org.apache.catalina","1,07",47
"org.apache.catalina.ant","1,96",221
"org.apache.catalina.ant.jmx","2,14",311
"org.apache.catalina.authenticator","3,45",342
"org.apache.catalina.connector","2,53",1.481
"org.apache.catalina.core","2,60",3.293
"org.apache.catalina.deploy","2,37",1.017
"org.apache.catalina.filters","2,36",212
"org.apache.catalina.ha","1,24",21
"org.apache.catalina.ha.authenticator","2,11",97
"org.apache.catalina.ha.backend","3,14",69
"org.apache.catalina.ha.context","1,95",37
"org.apache.catalina.ha.deploy","2,02",196
"org.apache.catalina.ha.jmx","2,38",19
"org.apache.catalina.ha.session","2,23",767
"org.apache.catalina.ha.tcp","2,24",235
"org.apache.catalina.loader","5,25",703
"org.apache.catalina.manager","5,79",614
"org.apache.catalina.manager.host","5,80",116
"org.apache.catalina.manager.util","5,09",56
"org.apache.catalina.mbeans","3,64",684
"org.apache.catalina.realm","3,03",844
"org.apache.catalina.security","3,00",72
"org.apache.catalina.servlets","7,44",804
"org.apache.catalina.session","2,74",796
"org.apache.catalina.ssi","3,68",489
"org.apache.catalina.startup","3,70",1.482
"org.apache.catalina.tribes","1,72",55
"org.apache.catalina.tribes.group","1,98",259
"org.apache.catalina.tribes.group.interceptors","2,27",529
"org.apache.catalina.tribes.io","1,81",197
"org.apache.catalina.tribes.membership","2,12",356
"org.apache.catalina.tribes.tipis","3,03",357
"org.apache.catalina.tribes.transport","1,28",266
"org.apache.catalina.tribes.transport.bio","3,24",123
"org.apache.catalina.tribes.transport.bio.util","2,16",97
"org.apache.catalina.tribes.transport.nio","4,82",299
"org.apache.catalina.tribes.util","2,67",104
"org.apache.catalina.users","1,85",148
"org.apache.catalina.util","2,87",585
"org.apache.catalina.valves","2,58",594
"org.apache.coyote","1,47",232
"org.apache.coyote.ajp","3,15",596
"org.apache.coyote.http11","3,37",1.604
"org.apache.coyote.http11.filters","1,68",124
"org.apache.coyote.memory","1,00",15
"org.apache.el","1,47",84
"org.apache.el.lang","3,31",351
"org.apache.el.parser","4,19",1.501
"org.apache.el.util","3,65",73
"org.apache.jasper","2,88",501
"org.apache.jasper.compiler","3,18",3.900
"org.apache.jasper.el","1,86",119
"org.apache.jasper.runtime","2,76",734
"org.apache.jasper.security","4,67",14
"org.apache.jasper.servlet","2,32",202
"org.apache.jasper.tagplugins.jstl","3,06",52
"org.apache.jasper.tagplugins.jstl.core","4,12",66
"org.apache.jasper.util","1,45",29
"org.apache.jasper.xmlparser","4,32",635
"org.apache.juli","3,52",176
"org.apache.juli.logging","1,14",48
"org.apache.naming","2,01",313
"org.apache.naming.factory","10,10",101
"org.apache.naming.factory.webservices","7,38",59
"org.apache.naming.java","4,00",8
"org.apache.naming.resources","2,45",795
"org.apache.naming.resources.jndi","1,00",1
"org.apache.tomcat.buildutil","4,00",16
"org.apache.tomcat.jni","1,03",345
"org.apache.tomcat.util","5,22",266
"org.apache.tomcat.util.bcel.classfile","2,23",768
"org.apache.tomcat.util.bcel.util","1,00",4
"org.apache.tomcat.util.buf","2,81",682
"org.apache.tomcat.util.digester","2,01",561
"org.apache.tomcat.util.http","3,89",397
"org.apache.tomcat.util.http.fileupload","2,20",495
"org.apache.tomcat.util.http.mapper","5,49",247
"org.apache.tomcat.util.log","1,29",44
"org.apache.tomcat.util.modeler","2,68",410
"org.apache.tomcat.util.modeler.modules","3,35",174
"org.apache.tomcat.util.net","2,77",1.380
"org.apache.tomcat.util.net.jsse","3,27",183
"org.apache.tomcat.util.res","3,25",13
"org.apache.tomcat.util.scan","4,00",36
"org.apache.tomcat.util.threads","1,58",30
"tomcat-lite.java.org.apache.coyote.lite","2,64",58
"tomcat-lite.java.org.apache.tomcat.lite.http","2,82",1.442
"tomcat-lite.java.org.apache.tomcat.lite.io","2,64",1.244
"tomcat-lite.java.org.apache.tomcat.lite.io.jsse","3,00",168
"tomcat-lite.java.org.apache.tomcat.lite.proxy","2,67",128
"tomcat-lite.java.org.apache.tomcat.lite.service","1,80",9
"tomcat-lite.java.org.apache.tomcat.lite.util","3,61",159
"tomcat-lite.test.org.apache.coyote.lite","1,76",79
"tomcat-lite.test.org.apache.tomcat.lite","1,88",30
"tomcat-lite.test.org.apache.tomcat.lite.http","1,20",72
"tomcat-lite.test.org.apache.tomcat.lite.http.services","1,33",8
"tomcat-lite.test.org.apache.tomcat.lite.io","1,06",19
"tomcat-lite.test.org.apache.tomcat.lite.load","1,85",48
"tomcat-lite.test.org.apache.tomcat.lite.proxy","1,00",19
"tomcat-lite.test.org.apache.tomcat.lite.util","1,00",1
"tomcat-lite.test.org.apache.tomcat.test.watchdog","4,15",486

