Martin packaging metrics,Qui, 26 out 2017 16:05:48 BRST
Package,A,Ca,Ce,D,I
"engine.org.apache.derby.impl.services.jmxnone","0,00",0,1,"0,00","1,00"
"engine.org.apache.derby.impl.services.locks","0,14",5,61,"0,07","0,94"
"engine.org.apache.derby.impl.services.monitor","0,09",6,47,"0,02","0,91"
"engine.org.apache.derby.impl.services.reflect","0,27",3,46,"0,21","0,94"
"engine.org.apache.derby.impl.services.stream","0,00",0,7,"0,00","1,00"
"engine.org.apache.derby.impl.services.timer","0,00",0,3,"0,00","1,00"
"engine.org.apache.derby.impl.services.uuid","0,00",0,6,"0,00","1,00"
"engine.org.apache.derby.impl.sql","0,00",9,90,"0,09","0,91"
"engine.org.apache.derby.impl.sql.catalog","0,06",3,266,"0,04","0,99"
"engine.org.apache.derby.impl.sql.compile","0,15",28,1.363,"0,13","0,98"
"engine.org.apache.derby.impl.sql.conn","0,00",5,76,"0,06","0,95"
"engine.org.apache.derby.impl.sql.depend","0,00",1,18,"0,05","0,95"
"engine.org.apache.derby.impl.sql.execute","0,14",60,984,"0,09","0,94"
"engine.org.apache.derby.impl.sql.execute.rts","0,13",36,84,"0,17","0,70"
"engine.org.apache.derby.impl.store.access","0,08",3,74,"0,04","0,96"
"engine.org.apache.derby.impl.store.access.btree","0,21",15,117,"0,10","0,89"
"engine.org.apache.derby.impl.store.access.btree.index","0,00",0,100,"0,00","1,00"
"engine.org.apache.derby.impl.store.access.conglomerate","0,55",17,60,"0,32","0,78"
"engine.org.apache.derby.impl.store.access.heap","0,00",1,82,"0,01","0,99"
"engine.org.apache.derby.impl.store.access.sort","0,13",0,71,"0,13","1,00"
"engine.org.apache.derby.impl.store.raw","0,00",0,21,"0,00","1,00"
"engine.org.apache.derby.impl.store.raw.data","0,18",22,462,"0,13","0,96"
"engine.org.apache.derby.impl.store.raw.log","0,07",7,111,"0,01","0,94"
"engine.org.apache.derby.impl.store.raw.xact","0,00",6,124,"0,05","0,95"
"engine.org.apache.derby.impl.store.replication","0,00",2,5,"0,29","0,71"
"engine.org.apache.derby.impl.store.replication.buffer","0,00",2,3,"0,40","0,60"
"engine.org.apache.derby.impl.store.replication.master","0,33",0,20,"0,33","1,00"
"engine.org.apache.derby.impl.store.replication.net","0,00",10,11,"0,48","0,53"
"engine.org.apache.derby.impl.store.replication.slave","0,00",2,18,"0,10","0,93"
"engine.org.apache.derby.io","1,00",39,0,"0,00","0,00"
"engine.org.apache.derby.jdbc","0,08",10,94,"0,02","0,91"
"engine.org.apache.derby.mbeans","0,75",6,2,"0,00","0,25"
"engine.org.apache.derby.osgi","0,00",0,0,"0,00","1,00"
"engine.org.apache.derby.security","0,00",7,1,"0,88","0,12"
"engine.org.apache.derby.vti","1,00",15,2,"0,12","0,12"
"shared.org.apache.derby.shared.common.error","0,50",6,1,"0,36","0,14"
"shared.org.apache.derby.shared.common.i18n","0,00",3,1,"0,75","0,25"
"shared.org.apache.derby.shared.common.reference","1,00",26,0,"0,00","0,00"
"shared.org.apache.derby.shared.common.sanity","0,00",7,0,"1,00","0,00"
"storeless.org.apache.derby.impl.storeless","0,00",0,29,"0,00","1,00"
"testing.org.apache.derby","0,00",0,1,"0,00","1,00"
"testing.org.apache.derby.client.am","0,00",0,3,"0,00","1,00"
"testing.org.apache.derby.impl.drda","0,00",0,0,"0,00","1,00"
"testing.org.apache.derby.impl.jdbc","0,14",0,7,"0,14","1,00"
"testing.org.apache.derbyTesting.functionTests.harness","0,02",9,12,"0,41","0,60"
"testing.org.apache.derbyTesting.functionTests.suites","0,00",3,5,"0,38","0,62"
"testing.org.apache.derbyTesting.functionTests.testData.serializedDataSources","0,00",0,1,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.demo","0,00",0,3,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.derbynet","0,00",2,69,"0,03","0,99"
"testing.org.apache.derbyTesting.functionTests.tests.engine","0,00",0,2,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.i18n","0,00",0,2,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.jdbc4","0,00",10,51,"0,16","0,94"
"testing.org.apache.derbyTesting.functionTests.tests.jdbcapi","0,03",26,128,"0,14","0,91"
"testing.org.apache.derbyTesting.functionTests.tests.junitTests.compatibility","0,00",8,10,"0,44","0,70"
"testing.org.apache.derbyTesting.functionTests.tests.junitTests.derbyNet","0,00",0,2,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.lang","0,03",30,161,"0,13","0,92"
"testing.org.apache.derbyTesting.functionTests.tests.largedata","0,00",4,2,"0,67","0,33"
"testing.org.apache.derbyTesting.functionTests.tests.management","0,17",0,5,"0,17","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.memory","0,00",0,1,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.nist","0,00",1,2,"0,33","0,67"
"testing.org.apache.derbyTesting.functionTests.tests.perf","0,00",0,3,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.tests.replicationTests","0,00",4,56,"0,07","0,96"
"testing.org.apache.derbyTesting.functionTests.tests.store","0,05",4,56,"0,02","0,96"
"testing.org.apache.derbyTesting.functionTests.tests.storetests","0,00",3,10,"0,23","0,86"
"testing.org.apache.derbyTesting.functionTests.tests.tools","0,07",2,20,"0,02","0,91"
"testing.org.apache.derbyTesting.functionTests.tests.upgradeTests","0,10",1,11,"0,02","0,92"
"testing.org.apache.derbyTesting.functionTests.util","0,18",30,31,"0,31","0,51"
"testing.org.apache.derbyTesting.functionTests.util.StaticInitializers","0,00",0,0,"0,00","1,00"
"testing.org.apache.derbyTesting.functionTests.util.corruptio","0,20",1,5,"0,03","0,83"
"testing.org.apache.derbyTesting.functionTests.util.streams","0,00",23,0,"1,00","0,00"
"testing.org.apache.derbyTesting.junit","0,14",154,8,"0,81","0,04"
"testing.org.apache.derbyTesting.perf.basic","0,00",0,1,"0,00","1,00"
"testing.org.apache.derbyTesting.perf.basic.jdbc","0,00",0,5,"0,00","1,00"
"testing.org.apache.derbyTesting.perf.clients","0,23",4,6,"0,17","0,67"
"testing.org.apache.derbyTesting.system.mailjdbc","0,00",2,1,"0,67","0,33"
"testing.org.apache.derbyTesting.system.mailjdbc.tasks","0,00",4,8,"0,33","0,67"
"testing.org.apache.derbyTesting.system.mailjdbc.utils","0,00",7,6,"0,54","0,46"
"testing.org.apache.derbyTesting.system.nstest","0,00",3,3,"0,50","0,50"
"testing.org.apache.derbyTesting.system.nstest.init","0,00",3,4,"0,43","0,57"
"testing.org.apache.derbyTesting.system.nstest.tester","0,00",4,6,"0,40","0,60"
"testing.org.apache.derbyTesting.system.nstest.utils","0,00",3,1,"0,75","0,25"
"testing.org.apache.derbyTesting.system.oe.client","0,60",9,2,"0,22","0,18"
"testing.org.apache.derbyTesting.system.oe.direct","0,00",3,7,"0,30","0,70"
"testing.org.apache.derbyTesting.system.oe.load","0,00",2,3,"0,40","0,60"
"testing.org.apache.derbyTesting.system.oe.model","0,00",16,0,"1,00","0,00"
"testing.org.apache.derbyTesting.system.oe.routines","0,00",0,0,"0,00","1,00"
"testing.org.apache.derbyTesting.system.oe.run","0,00",3,9,"0,25","0,75"
"testing.org.apache.derbyTesting.system.oe.test","0,00",0,9,"0,00","1,00"
"testing.org.apache.derbyTesting.system.oe.util","0,00",6,2,"0,75","0,25"
