Method,ev(G),iv(G),v(G)
"android.support.v4.app.DialogFragment.isCancelable()",1,1,1
"android.support.v4.app.DialogFragment.onActivityCreated(Bundle)",4,4,6
"android.support.v4.app.DialogFragment.onAttach(Activity)",1,1,2
"android.support.v4.app.DialogFragment.onCancel(DialogInterface)",1,1,1
"android.support.v4.app.DialogFragment.onCreate(Bundle)",1,2,2
"android.support.v4.app.DialogFragment.onCreateDialog(Bundle)",1,1,1
"android.support.v4.app.DialogFragment.onDestroyView()",1,2,2
"android.support.v4.app.DialogFragment.onDetach()",1,1,3
"android.support.v4.app.DialogFragment.onDismiss(DialogInterface)",1,2,2
"android.support.v4.app.DialogFragment.onSaveInstanceState(Bundle)",1,8,8
"android.support.v4.app.DialogFragment.onStart()",1,2,2
"android.support.v4.app.DialogFragment.onStop()",1,2,2
"android.support.v4.app.DialogFragment.setCancelable(boolean)",1,2,2
"android.support.v4.app.DialogFragment.setShowsDialog(boolean)",1,1,1
"android.support.v4.app.DialogFragment.setStyle(int,int)",1,1,4
"android.support.v4.app.DialogFragment.show(FragmentManager,String)",1,1,1
"android.support.v4.app.DialogFragment.show(FragmentTransaction,String)",1,1,1
"android.support.v4.app.Fragment.Fragment()",1,1,1
"android.support.v4.app.Fragment.InstantiationException.InstantiationException(String,Exception)",1,1,1
"android.support.v4.app.Fragment.SavedState.SavedState(Bundle)",1,1,1
"android.support.v4.app.Fragment.SavedState.SavedState(Parcel,ClassLoader)",1,2,3
"android.support.v4.app.Fragment.SavedState.describeContents()",1,1,1
"android.support.v4.app.Fragment.SavedState.writeToParcel(Parcel,int)",1,1,1
"android.support.v4.app.Fragment.dump(String,FileDescriptor,PrintWriter,String[])",1,13,13
"android.support.v4.app.Fragment.equals(Object)",1,1,1
"android.support.v4.app.Fragment.getActivity()",1,1,1
"android.support.v4.app.Fragment.getArguments()",1,1,1
"android.support.v4.app.Fragment.getFragmentManager()",1,1,1
"android.support.v4.app.Fragment.getId()",1,1,1
"android.support.v4.app.Fragment.getLayoutInflater(Bundle)",1,1,1
"android.support.v4.app.Fragment.getLoaderManager()",3,1,3
"android.support.v4.app.Fragment.getResources()",2,1,2
"android.support.v4.app.Fragment.getRetainInstance()",1,1,1
"android.support.v4.app.Fragment.getString(int)",1,1,1
