Package,C(rec),LOC(rec),METH(rec)
"",1.718,312.213,15.647
"javax",191,34.891,1.106
"javax.annotation",11,270,13
"javax.annotation.security",5,128,3
"javax.ejb",2,57,6
"javax.el",30,2.043,146
"javax.mail",7,153,8
"javax.mail.internet",4,87,5
"javax.persistence",6,156,10
"javax.servlet",133,32.154,917
"javax.servlet.annotation",11,618,39
"javax.servlet.descriptor",3,87,16
"javax.servlet.http",18,3.939,197
"javax.servlet.jsp",59,9.217,336
"javax.servlet.jsp.el",21,1.095,83
"javax.servlet.jsp.resources",n/a,2.629,n/a
"javax.servlet.jsp.tagext",26,3.657,159
"javax.servlet.resources",n/a,13.223,n/a
"javax.xml",2,58,6
"javax.xml.ws",2,58,6
"org",1.527,277.322,14.541
"org.apache",1.527,277.322,14.541
"org.apache.catalina",730,147.046,7.636
"org.apache.catalina.ant",27,4.518,258
"org.apache.catalina.ant.jmx",10,2.408,145
"org.apache.catalina.authenticator",10,3.082,100
"org.apache.catalina.comet",6,279,9
"org.apache.catalina.connector",43,9.029,596
"org.apache.catalina.core",65,21.856,1.278
"org.apache.catalina.deploy",29,6.164,432
"org.apache.catalina.filters",18,2.113,93
"org.apache.catalina.ha",54,12.549,725
"org.apache.catalina.ha.authenticator",3,678,46
"org.apache.catalina.ha.backend",7,515,24
"org.apache.catalina.ha.context",3,176,19
"org.apache.catalina.ha.deploy",8,1.493,99
"org.apache.catalina.ha.jmx",1,118,8
"org.apache.catalina.ha.session",17,5.823,349
"org.apache.catalina.ha.tcp",4,2.886,105
"org.apache.catalina.ha.util",1,50,4
"org.apache.catalina.loader",11,4.428,134
"org.apache.catalina.manager",23,6.538,148
"org.apache.catalina.manager.host",3,1.383,20
"org.apache.catalina.manager.util",3,318,12
"org.apache.catalina.mbeans",17,5.693,188
"org.apache.catalina.realm",19,7.174,283
"org.apache.catalina.security",4,759,25
"org.apache.catalina.servlets",12,6.124,109
"org.apache.catalina.session",21,6.307,291
"org.apache.catalina.ssi",34,3.251,144
"org.apache.catalina.startup",63,11.576,408
"org.apache.catalina.tribes",124,17.413,1.345
"org.apache.catalina.tribes.group",38,4.294,368
"org.apache.catalina.tribes.group.interceptors",23,2.692,235
"org.apache.catalina.tribes.io",9,1.372,114
"org.apache.catalina.tribes.membership",15,2.261,172
"org.apache.catalina.tribes.tipis",8,1.753,134
"org.apache.catalina.tribes.transport",28,5.389,377
"org.apache.catalina.tribes.transport.bio",8,1.384,83
"org.apache.catalina.tribes.transport.bio.util",3,635,45
"org.apache.catalina.tribes.transport.nio",7,1.408,64
"org.apache.catalina.tribes.util",6,521,39
"org.apache.catalina.users",12,1.903,98
"org.apache.catalina.util",31,5.330,210
"org.apache.catalina.valves",70,5.439,247
"org.apache.coyote",74,15.467,956
"org.apache.coyote.ajp",14,3.931,189
"org.apache.coyote.http11",45,9.771,574
"org.apache.coyote.http11.filters",10,1.207,74
"org.apache.coyote.memory",3,119,15
"org.apache.el",72,10.202,567
"org.apache.el.lang",13,1.420,114
"org.apache.el.parser",51,7.475,376
"org.apache.el.util",3,398,20
"org.apache.jasper",252,42.029,2.137
"org.apache.jasper.compiler",146,22.890,1.288
"org.apache.jasper.compiler.tagplugin",2,138,15
"org.apache.jasper.el",16,788,65
"org.apache.jasper.resources",n/a,1.640,n/a
"org.apache.jasper.runtime",42,4.377,290
"org.apache.jasper.security",2,168,3
"org.apache.jasper.servlet",4,1.404,87
"org.apache.jasper.tagplugins",17,1.753,33
"org.apache.jasper.tagplugins.jstl",17,1.753,33
"org.apache.jasper.tagplugins.jstl.core",14,1.397,16
"org.apache.jasper.util",4,310,20
"org.apache.jasper.xmlparser",15,5.601,147
"org.apache.juli",19,1.992,113
"org.apache.juli.logging",4,754,60
"org.apache.naming",57,12.035,532
"org.apache.naming.factory",15,1.588,21
"org.apache.naming.factory.webservices",2,444,8
"org.apache.naming.java",1,109,2
"org.apache.naming.resources",21,6.919,347
"org.apache.naming.resources.jndi",1,30,1
"org.apache.tomcat",323,48.551,2.600
"org.apache.tomcat.buildutil",1,148,4
"org.apache.tomcat.jni",31,4.535,341
"org.apache.tomcat.util",287,43.739,2.247
"org.apache.tomcat.util.bcel",73,7.521,355
"org.apache.tomcat.util.bcel.classfile",69,6.851,349
"org.apache.tomcat.util.bcel.util",3,126,6
"org.apache.tomcat.util.buf",21,3.668,247
"org.apache.tomcat.util.buf.res",n/a,68,n/a
"org.apache.tomcat.util.collections",n/a,27,n/a
"org.apache.tomcat.util.digester",28,7.330,298
"org.apache.tomcat.util.http",66,9.899,414
"org.apache.tomcat.util.http.fileupload",46,6.016,267
"org.apache.tomcat.util.http.mapper",7,1.444,45
"org.apache.tomcat.util.http.res",n/a,244,n/a
"org.apache.tomcat.util.log",2,258,34
"org.apache.tomcat.util.modeler",22,5.189,218
"org.apache.tomcat.util.modeler.modules",7,1.437,58
"org.apache.tomcat.util.net",59,7.955,590
"org.apache.tomcat.util.net.jsse",7,1.330,56
"org.apache.tomcat.util.net.jsse.res",n/a,63,n/a
"org.apache.tomcat.util.net.res",n/a,119,n/a
"org.apache.tomcat.util.res",1,156,4
"org.apache.tomcat.util.scan",2,308,9
"org.apache.tomcat.util.threads",5,314,24
"org.apache.tomcat.util.threads.res",n/a,68,n/a

