CommitNumber;Entity;Method;Change
2267c20942feb486fbbf1bd54d7a0fbbe468ae10;METHOD;org.apache.cassandra.metrics.ColumnFamilyMetricNameFactory.ColumnFamilyMetricNameFactory(ColumnFamilyStore);MODIFIED
fb43309b4741372f777e8ce910cd496299a1ebbf;METHOD;org.apache.cassandra.net.SocketThread.run();MODIFIED
0d976a8fb57d6524e81a6a3033f7672e5b2be2ae;METHOD;org.apache.cassandra.db.ColumnFamilyStore.reload();MODIFIED
0d976a8fb57d6524e81a6a3033f7672e5b2be2ae;METHOD;org.apache.cassandra.db.ColumnFamilyStore.maybeReloadCompactionStrategy();MODIFIED
e5cbde9d62d7cb3a4755099750107aea77b157be;METHOD;org.apache.cassandra.db.CollationController.collectAllData();MODIFIED
37e9bce381b9daf8e544db475e1a31d70e471e7b;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.getResultMetadata();MODIFIED
eb390d02e57894bc04505571e1d0c1d0a08b3dd4;METHOD;org.apache.cassandra.metrics.LatencyMetrics.addNano(long);MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.db.compaction.BackgroundCompactionTask.run();MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.db.compaction.CompactionExecutor.afterExecute(Runnable,Throwable);MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.io.sstable.SSTableReader.getApproximateKeyCount(<name>Iterable,CFMetaData);MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.io.sstable.SSTableReader.open(Descriptor,<name>Set,CFMetaData,IPartitioner,boolean);MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.io.sstable.EmptyCompactionScanner.next();MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.io.sstable.EmptyCompactionScanner.close();MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.io.sstable.EmptyCompactionScanner.remove();MODIFIED
9d7bb1e0c27fd5076afc750150ab4b86f228efb5;METHOD;org.apache.cassandra.io.sstable.EmptyCompactionScanner.EmptyCompactionScanner(String);MODIFIED
dfe49376097cf73c04c0d8506782263a2e820cb0;METHOD;org.apache.cassandra.io.util.PoolingSegmentedFile.getSegment(long);MODIFIED
dfe49376097cf73c04c0d8506782263a2e820cb0;METHOD;org.apache.cassandra.io.util.PoolingSegmentedFile.recycle(RandomAccessReader);MODIFIED
dfe49376097cf73c04c0d8506782263a2e820cb0;METHOD;org.apache.cassandra.io.util.PoolingSegmentedFile.cleanup();MODIFIED
dc95c8c0beb9309cfdfbabbd32ea1b74084daafd;METHOD;org.apache.cassandra.db.ColumnFamilyStore.reload();MODIFIED
dc95c8c0beb9309cfdfbabbd32ea1b74084daafd;METHOD;org.apache.cassandra.db.ColumnFamilyStore.maybeReloadCompactionStrategy();MODIFIED
0804b76100c8e01df46918818a31fb496ed79368;METHOD;org.apache.cassandra.io.sstable.SSTableDeletingTask.run();MODIFIED
a2824e63a60bec88bc0d385f1e1fcb32cc75b766;METHOD;org.apache.cassandra.service.RangeRelocator.streamsNeeded();MODIFIED
a2824e63a60bec88bc0d385f1e1fcb32cc75b766;METHOD;org.apache.cassandra.net.SocketThread.run();MODIFIED
a05f6309d16ce6943442c4f5734000d34ab313e9;METHOD;org.apache.cassandra.db.columniterator.SSTableNamesIterator.read(SSTableReader,FileDataInput,RowIndexEntry);MODIFIED
bab28e4ae4cf420f24433c24ea64177d78a7307b;METHOD;org.apache.cassandra.db.SystemKeyspace.finishStartup();MODIFIED
