org.apache.tomcat.util.http.fileupload.FileItemHeadersSupport;org.apache.tomcat.util.http.fileupload.FileUpload

javax.management.Notification;org.apache.tomcat.util.modeler.BaseModelMBean

FileUploadBase;org.apache.catalina.manager.host.HostManagerServlet

org.apache.catalina.manager.host.HostManagerServlet;org.apache.catalina.manager.ManagerServlet

org.apache.tools.ant.taskdefs.optional.vss.MSVSSLABEL.java;org.apache.tools.ant.taskdefs.optional.vss.MSVSSCREATE.java;

org.apache.tools.ant.taskdefs.rmic.KaffeRmic.java;org.apache.tools.ant.taskdefs.rmic.SunRmic.java;

org.apache.tools.ant.types.optional.depend.ClassfileSet.java;org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.java;

org.apache.tools.ant.types.optional.image.Rotate.java;org.apache.tools.ant.types.optional.image.Draw.java;

org.apache.tools.ant.types.selectors.PresentSelector.java;org.apache.tools.ant.types.selectors.BaseExtendSelector.java;

org.apache.tools.ant.util.KeepAliveOutputStream.java;org.apache.tools.tar.TarOutputStream.java;
