Complexity metrics,Qui, 26 out 2017 14:55:36 BRST
Method,ev(G),iv(G),v(G)
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.trace(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.warn(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.warn(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.Jdk14Logger(String)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.debug(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.debug(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.error(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.error(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.fatal(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.fatal(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.getLogger()",1,2,2
"org.apache.commons.logging.impl.Jdk14Logger.info(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.info(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isDebugEnabled()",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isErrorEnabled()",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isFatalEnabled()",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isInfoEnabled()",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isTraceEnabled()",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isWarnEnabled()",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.log(Level,String,Throwable)",1,4,5
"org.apache.commons.logging.impl.Jdk14Logger.trace(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.trace(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.warn(Object)",1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.warn(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.Log4JLogger()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.Log4JLogger(Logger)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.Log4JLogger(String)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.debug(Object)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.debug(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.error(Object)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.error(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.fatal(Object)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.fatal(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.getLogger()",1,2,2
"org.apache.commons.logging.impl.Log4JLogger.info(Object)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.info(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.isDebugEnabled()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.isErrorEnabled()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.isFatalEnabled()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.isInfoEnabled()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.isTraceEnabled()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.isWarnEnabled()",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.trace(Object)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.trace(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.warn(Object)",1,1,1
"org.apache.commons.logging.impl.Log4JLogger.warn(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.LogFactoryImpl()",1,2,2
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String,String,boolean)",4,13,17
"org.apache.commons.logging.impl.LogFactoryImpl.discoverLogImplementation(String)",4,8,10
"org.apache.commons.logging.impl.LogFactoryImpl.findUserSpecifiedLogClassName()",1,13,13
"org.apache.commons.logging.impl.LogFactoryImpl.getAttribute(String)",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getAttributeNames()",1,3,3
"org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader()",6,7,8
"org.apache.commons.logging.impl.LogFactoryImpl.getBooleanConfiguration(String,boolean)",2,1,2
"org.apache.commons.logging.impl.LogFactoryImpl.getClassLoader(Class)",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getConfigurationValue(String)",3,11,11
"org.apache.commons.logging.impl.LogFactoryImpl.getContextClassLoader()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class)",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String)",1,2,2
"org.apache.commons.logging.impl.LogFactoryImpl.getLogClassName()",1,2,2
"org.apache.commons.logging.impl.LogFactoryImpl.getLogConstructor()",1,2,2
"org.apache.commons.logging.impl.LogFactoryImpl.getLowestClassLoader(ClassLoader,ClassLoader)",7,3,7
"org.apache.commons.logging.impl.LogFactoryImpl.handleFlawedDiscovery(String,ClassLoader,Throwable)",2,2,3
"org.apache.commons.logging.impl.LogFactoryImpl.handleFlawedHierarchy(ClassLoader,Class)",6,11,12
"org.apache.commons.logging.impl.LogFactoryImpl.informUponSimilarName(StringBuffer,String,String)",2,2,3
"org.apache.commons.logging.impl.LogFactoryImpl.initConfiguration()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics()",1,2,3
"org.apache.commons.logging.impl.LogFactoryImpl.isDiagnosticsEnabled()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isJdk13LumberjackAvailable()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isJdk14Available()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isLog4JAvailable()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isLogLibraryAvailable(String,String)",2,7,7
"org.apache.commons.logging.impl.LogFactoryImpl.logDiagnostic(String)",1,2,2
"org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String)",2,4,7
"org.apache.commons.logging.impl.LogFactoryImpl.release()",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.removeAttribute(String)",1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.setAttribute(String,Object)",1,4,4
"org.apache.commons.logging.impl.LogKitLogger.LogKitLogger(String)",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.debug(Object)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.debug(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.error(Object)",1,2,2
