,fmeasure,model,precision,pu_fmeasure_ci_lb,pu_fmeasure_ci_ub,pu_fmeasure_mean,pu_precision_ci_lb,pu_precision_ci_ub,pu_precision_mean,pu_recall_ci_lb,pu_recall_ci_ub,pu_recall_mean,recall,smell,use_puadapter,use_smotenn
0,0.0,one_class_svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blob,0.0,0.0
1,0.0,one_class_svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blob,0.0,1.0
2,0.0014749262536873156,isolation_forest,0.0007431030745889711,0.002435196397799032,0.005594566964487402,0.004017343066399337,0.0012330496860660234,0.0028802007438126446,0.0020510724889287063,0.09716599190283401,0.09716599190283401,0.09716599190283401,0.09716599190283401,Blob,0.0,0.0
3,0.0014156459654089987,isolation_forest,0.000713244642912519,0.0023373484604647644,0.005369981596998333,0.003855998260556383,0.0011835281535757785,0.0027647097282681903,0.0019687624234660714,0.0931174089068826,0.0931174089068826,0.0931174089068826,0.0931174089068826,Blob,0.0,1.0
4,0.005667911889733351,one_class_svm,0.0029919760641914863,0.007411970857023729,0.013924861562889409,0.01072496064789362,0.003980932907234536,0.008000535384641362,0.005957895300877097,0.05365853658536586,0.05365853658536585,0.05365853658536586,0.05365853658536585,LongMethod,0.0,0.0
5,0.005667911889733351,one_class_svm,0.0029919760641914863,0.007411970857023729,0.013924861562889409,0.01072496064789362,0.003980932907234536,0.008000535384641362,0.005957895300877097,0.05365853658536586,0.05365853658536585,0.05365853658536586,0.05365853658536585,LongMethod,0.0,1.0
6,0.014066964612792146,isolation_forest,0.007251302968502153,0.018507498990146608,0.03557912852862744,0.027093364968145232,0.009634517393953778,0.019252280620191586,0.014378563218491451,0.23414634146341462,0.23414634146341465,0.23414634146341465,0.23414634146341465,LongMethod,0.0,0.0
7,0.015088258990698015,isolation_forest,0.007777693876009967,0.01984792117079143,0.038131864804932726,0.029046388098832983,0.010332111473563674,0.02063174835370037,0.01541430704622773,0.25121951219512195,0.25121951219512195,0.25121951219512195,0.25121951219512195,LongMethod,0.0,1.0
8,0.0010558268443975189,one_class_svm,0.0005293806246691371,0.0024308110579701644,0.006689262694610815,0.004566740900863602,0.0012232106884125862,0.0034044104615363387,0.0023110749112778177,0.19047619047619047,0.19047619047619047,0.1904761904761905,0.19047619047619047,FeatureEnvy,0.0,0.0
9,0.0010552233556102707,one_class_svm,0.0005290772011816057,0.0024294276430138055,0.006685506745080573,0.004564159363464588,0.0012225100708770377,0.003402464775711064,0.002309752639466149,0.19047619047619047,0.19047619047619047,0.1904761904761905,0.19047619047619047,FeatureEnvy,0.0,1.0
10,0.002794569709805998,isolation_forest,0.0013998791683244183,0.006434298707001858,0.017709825319378706,0.012089254662121173,0.0032309356135531773,0.008960144271933772,0.00609347927030963,0.753968253968254,0.753968253968254,0.7539682539682541,0.753968253968254,FeatureEnvy,0.0,0.0
11,0.0027921877525827732,isolation_forest,0.0013986837649622354,0.006428837693418674,0.017694992827623816,0.012079062031898347,0.0032281816648778348,0.00895255078519908,0.006088300282021253,0.753968253968254,0.753968253968254,0.7539682539682541,0.753968253968254,FeatureEnvy,0.0,1.0
12,0.0014771048744460858,one_class_svm,0.0007437709185570844,0.0014771048744460858,0.017567285938263927,0.007440676611387756,0.0007437709185570844,0.009583319292843513,0.003856644517839938,0.10526315789473684,0.10526315789473685,0.10526315789473685,0.10526315789473684,ParallelInheritance,0.0,0.0
13,0.0014771048744460858,one_class_svm,0.0007437709185570844,0.0014771048744460858,0.017567285938263927,0.007440676611387756,0.0007437709185570844,0.009583319292843513,0.003856644517839938,0.10526315789473684,0.10526315789473685,0.10526315789473685,0.10526315789473684,ParallelInheritance,0.0,1.0
14,0.007001166861143523,isolation_forest,0.0035161744022503515,0.007001166861143523,0.08310116370785893,0.035241454243254026,0.0035161744022503515,0.04385890853478782,0.018022992891866305,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,ParallelInheritance,0.0,0.0
15,0.0069848661233993005,isolation_forest,0.0035079513564078577,0.006984866123399302,0.08292446521406052,0.035162043139825426,0.0035079513564078577,0.04376048182376918,0.017981455897639505,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,ParallelInheritance,0.0,1.0
16,0.0,one_class_svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DivergentChange,0.0,0.0
17,0.0,one_class_svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DivergentChange,0.0,1.0
18,0.0007829320806420043,isolation_forest,0.00039184952978056425,0.0011275056352979586,0.00444976661505129,0.0027902189016531286,0.0005645484821427478,0.002237327790662918,0.00139999230707327,0.4,0.4,0.4,0.4,DivergentChange,0.0,0.0
19,0.0007796511061300068,isolation_forest,0.000390205833577212,0.0011227835234627502,0.004431238637436246,0.002778567099780836,0.0005621807708647933,0.0022279600973004027,0.0013941256394337826,0.4,0.4,0.4,0.4,DivergentChange,0.0,1.0
20,0.00042390843577787203,one_class_svm,0.00021258503401360543,0.000423908435777872,0.002968550265389302,0.001232300027374871,0.00021258503401360543,0.0015157726641047368,0.0006215112318435376,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,ShotgunSurgery,0.0,0.0
