,fmeasure,model,precision,pu_fmeasure_ci_lb,pu_fmeasure_ci_ub,pu_fmeasure_mean,pu_precision_ci_lb,pu_precision_ci_ub,pu_precision_mean,pu_recall_ci_lb,pu_recall_ci_ub,pu_recall_mean,recall,smell,use_puadapter,use_smotenn
0,0.3213610586011342,decision_tree,0.30141843971631205,0.37722054213534323,0.44419120417498603,0.42154373141364615,0.4173525436106503,0.6262983295126143,0.5438968600257384,0.3441295546558704,0.3441295546558704,0.34412955465587036,0.3441295546558704,Blob,0.0,0.0
1,0.3088512241054614,decision_tree,0.2887323943661972,0.363897351375709,0.4304401728091512,0.4078701453515868,0.4025991366095159,0.6119159597818805,0.5287294919209029,0.33198380566801616,0.33198380566801616,0.3319838056680162,0.3319838056680162,Blob,0.0,1.0
2,0.36217303822937624,decision_tree,0.36,0.4153423216240614,0.47594829602560473,0.4558207336619525,0.48289101287826935,0.686015659919971,0.6085518360848098,0.36437246963562747,0.3643724696356275,0.3643724696356275,0.3643724696356275,Blob,1.0,0.0
3,0.31558185404339256,decision_tree,0.3076923076923077,0.36745738471650985,0.4285621880940179,0.40802941098006135,0.4245729187589165,0.6332050362840209,0.5512352649879048,0.3238866396761133,0.3238866396761133,0.32388663967611336,0.32388663967611336,Blob,1.0,1.0
4,0.2893081761006289,random_forest,0.647887323943662,0.2986441122482258,0.30724397482528654,0.3045897319136315,0.7533699632570868,0.8772548253584859,0.8356702076356046,0.18623481781376522,0.1862348178137652,0.18623481781376516,0.1862348178137652,Blob,0.0,0.0
5,0.31419939577039274,random_forest,0.6190476190476191,0.3267609435009599,0.3384992792326605,0.33485907034422485,0.7295635382225066,0.8632357636467272,0.8178876168752467,0.21052631578947367,0.2105263157894737,0.21052631578947367,0.21052631578947367,Blob,0.0,1.0
6,0.3629536921151439,random_forest,0.26268115942028986,0.4551445892101143,0.5837558665868301,0.5377710030693557,0.37164224921264244,0.5805038402236262,0.49612850099154315,0.5870445344129555,0.5870445344129555,0.5870445344129555,0.5870445344129555,Blob,1.0,0.0
7,0.37688442211055273,random_forest,0.273224043715847,0.4707054216597106,0.6003321049692567,0.5541513079155916,0.38427910234948043,0.5935342774643091,0.5095655864116819,0.6072874493927125,0.6072874493927125,0.6072874493927125,0.6072874493927125,Blob,1.0,1.0
8,0.1388638412984671,naive_bayes,0.075,0.21056266833716084,0.3813513850713058,0.3061952966874681,0.11863668691244221,0.2395070231616187,0.18306586214268475,0.9352226720647773,0.9352226720647773,0.9352226720647774,0.9352226720647774,Blob,0.0,0.0
9,0.1388638412984671,naive_bayes,0.075,0.21056266833716084,0.3813513850713058,0.3061952966874681,0.11863668691244221,0.2395070231616187,0.18306586214268475,0.9352226720647773,0.9352226720647773,0.9352226720647774,0.9352226720647774,Blob,0.0,1.0
10,0.13862559241706163,naive_bayes,0.07478427612655801,0.21035318362252375,0.38162837426584545,0.3061855533136383,0.11831150369350767,0.23894035228906424,0.18260066655607823,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,Blob,1.0,0.0
11,0.1363903586125808,naive_bayes,0.07353407290015848,0.20717100041324552,0.37676632478757915,0.30196222765231673,0.11642520196141633,0.23564481991647168,0.17989850799334509,0.9392712550607287,0.9392712550607288,0.9392712550607287,0.9392712550607287,Blob,1.0,1.0
12,0.0,one_class_svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blob,0.0,0.0
13,0.0,one_class_svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blob,0.0,1.0
14,0.0012926258771389881,isolation_forest,0.0006512637618235385,0.15671641791044774,0.15671641791044774,0.15671641791044774,1.0,1.0,1.0,0.08502024291497975,0.08502024291497975,0.08502024291497975,0.08502024291497975,Blob,0.0,0.0
15,0.0014772412519619609,isolation_forest,0.0007442783601066798,0.1771217712177122,0.1771217712177122,0.1771217712177122,1.0,1.0,1.0,0.09716599190283401,0.09716599190283401,0.09716599190283401,0.09716599190283401,Blob,0.0,1.0
16,0.3231707317073171,xgboost,0.654320987654321,0.3345262081977355,0.3450423570294259,0.34179092294516766,0.758594423870969,0.8802720467972014,0.8395226359197544,0.2145748987854251,0.2145748987854251,0.2145748987854251,0.2145748987854251,Blob,0.0,0.0
17,0.3231707317073171,xgboost,0.654320987654321,0.3345262081977355,0.3450423570294259,0.34179092294516766,0.758594423870969,0.8802720467972014,0.8395226359197544,0.2145748987854251,0.2145748987854251,0.2145748987854251,0.2145748987854251,Blob,0.0,1.0
18,0.4189189189189189,xgboost,0.3144016227180527,0.5118912482799096,0.6339224337557297,0.5912678925343751,0.43223963038843555,0.6404460633771203,0.5589674003745049,0.6275303643724697,0.6275303643724697,0.6275303643724697,0.6275303643724697,Blob,1.0,0.0
19,0.40425531914893614,xgboost,0.300990099009901,0.49703026937778705,0.6205593757474613,0.5771519080828522,0.41685776175157324,0.6258219031124052,0.5433919705712609,0.6153846153846154,0.6153846153846153,0.6153846153846154,0.6153846153846154,Blob,1.0,1.0
20,0.3323615160349854,lightgbm,0.59375,0.3481001002519501,0.3630103497049089,0.3583652556573632,0.7081448590652949,0.8502306357417052,0.8015615457154195,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,Blob,0.0,0.0
21,0.3323615160349854,lightgbm,0.59375,0.3481001002519501,0.3630103497049089,0.3583652556573632,0.7081448590652949,0.8502306357417052,0.8015615457154195,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,Blob,0.0,1.0
22,0.016075845012366037,lightgbm,0.008106703620301404,0.026400191786564626,0.05960179985005313,0.0431717318525856,0.013386617451441681,0.03076877816384006,0.022089169434452233,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,Blob,1.0,0.0
23,0.029022082018927448,lightgbm,0.014740754983016087,0.04724215333062677,0.10372481306952606,0.0761672139655848,0.02423586748767092,0.05492128686696291,0.0397075870272691,0.9311740890688259,0.9311740890688259,0.9311740890688259,0.9311740890688259,Blob,1.0,1.0
24,0.3719676549865229,catboost,0.5564516129032258,0.395268519459756,0.41797932996422765,0.41083606401308803,0.6756111607385474,0.8297271564855914,0.7761494511639649,0.27935222672064774,0.27935222672064786,0.2793522267206478,0.2793522267206478,Blob,0.0,0.0
25,0.3739837398373984,catboost,0.5655737704918032,0.39663716830350415,0.4186322121859849,0.4117230645358801,0.6836757712795125,0.8348966190809177,0.7825191728482119,0.27935222672064774,0.27935222672064786,0.2793522267206478,0.2793522267206478,Blob,0.0,1.0
26,0.4437194127243067,catboost,0.37158469945355194,0.521529787462208,0.6150868279499436,0.58341571444277,0.49536939354311105,0.696671383209505,0.6203817128948091,0.5506072874493927,0.5506072874493927,0.5506072874493927,0.5506072874493927,Blob,1.0,0.0
27,0.4309764309764309,catboost,0.3688760806916426,0.5050139928256606,0.5934415217196194,0.5635789834193946,0.4924655708296121,0.6942108715228047,0.6176420029584196,0.5182186234817814,0.5182186234817814,0.5182186234817814,0.5182186234817814,Blob,1.0,1.0
28,0.3864734299516908,soft_voting_emsemble,0.47904191616766467,0.42171267474696805,0.4579300583928446,0.4463304119441583,0.6042056791413356,0.7812627022972716,0.7176250972292241,0.3238866396761133,0.3238866396761133,0.32388663967611336,0.32388663967611336,Blob,0.0,0.0
29,0.37956204379562036,soft_voting_emsemble,0.47560975609756095,0.4140095697646294,0.44938527164851694,0.43805828376208666,0.6009111464862702,0.7789026586932064,0.7148290642163231,0.31578947368421056,0.3157894736842105,0.3157894736842105,0.3157894736842105,Blob,0.0,1.0
30,0.20621608288110507,soft_voting_emsemble,0.11741573033707865,0.2980804099764656,0.48578820073017753,0.4080326153007582,0.18090442538391047,0.34069201312823355,0.26883521526991766,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,Blob,1.0,0.0
31,0.19673659673659674,soft_voting_emsemble,0.11116965226554268,0.28626086870287104,0.4729235894828458,0.39498327308845005,0.17193894007795119,0.32696868414176106,0.25687860223343745,0.854251012145749,0.854251012145749,0.854251012145749,0.854251012145749,Blob,1.0,1.0
