CommitNumber;Entity;Class;Change;Superclass
166;CLASS;uk.ac.ed.ph.aardvark.processor.util.DefaultTreeNodeNumberingBuilderTest;ADDED*;uk.ac.ed.ph.aardvark.processor.util.AbstractTreeNodeNumberBuilderTest
176;CLASS;uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
176;CLASS;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
176;CLASS;uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidationStrategy
184;CLASS;uk.ac.ed.ph.aardvark.processor.AbstractDynamicViewStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.AbstractProcessorStrategy
242;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyFigureConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
242;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyDefaultConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
260;CLASS;uk.ac.ed.ph.aardvark.processor.views.ContentPageWebViewTest;ADDED*;uk.ac.ed.ph.aardvark.processor.views.AbstractViewTest
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.OpaqueResourceURI;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ResourceURI
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.ResourcePathURI;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.HierarchicResourceURI
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.BadResourceURIException;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ProcessorException
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.HierarchicResourceURI;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ResourceURI
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.StaticResourceURI;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.HierarchicResourceURI
302;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyAppletConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
306;CLASS;uk.ac.ed.ph.aardvark.core.resources.OrganisationTreeSourceRootNode;ADDED*;uk.ac.ed.ph.aardvark.core.resources.OrganisationTreeNode
306;CLASS;uk.ac.ed.ph.aardvark.core.resources.OrganisationTreeMasterRootNode;ADDED*;uk.ac.ed.ph.aardvark.core.resources.OrganisationTreeSourceNode
353;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyTutorialQuestionConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
354;CLASS;uk.ac.ed.ph.aardvark.processor.validator.TutorialQuestionValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest
354;CLASS;uk.ac.ed.ph.aardvark.processor.validator.TutorialQuestionValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
363;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyStandardTimeToThinkConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
363;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyBinaryTimeToThinkConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
365;CLASS;uk.ac.ed.ph.aardvark.processor.validator.BinaryTimeToThinkValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest
365;CLASS;uk.ac.ed.ph.aardvark.processor.validator.StandardTimeToThinkValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest
365;CLASS;uk.ac.ed.ph.aardvark.processor.validator.StandardTimeToThinkValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
365;CLASS;uk.ac.ed.ph.aardvark.processor.validator.BinaryTimeToThinkValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
407;CLASS;uk.ac.ed.ph.aardvark.gui.docs.MCQDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.gui.docs.AbstractDocumentModel
407;CLASS;uk.ac.ed.ph.aardvark.gui.model.SimpleUndoableComboBoxModel;ADDED*;uk.ac.ed.ph.aardvark.gui.model.SimpleUndoableListModel
420;CLASS;uk.ac.ed.ph.aardvark.processor.validator.DeploymentValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
463;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyContentPageFolderConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
464;CLASS;uk.ac.ed.ph.aardvark.processor.validator.LearningOutcomesValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest
464;CLASS;uk.ac.ed.ph.aardvark.processor.validator.LearningOutcomesValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
486;CLASS;uk.ac.ed.ph.aardvark.processor.views.util.OpaqueResourceURIMapper;ADDED*;uk.ac.ed.ph.aardvark.processor.views.util.ResourceURIMapper
499;CLASS;uk.ac.ed.ph.aardvark.gui.action.SessionBrowserFinishEditingAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.SessionBrowserAction
502;CLASS;uk.ac.ed.ph.aardvark.gui.editor.TutorialQuestionEditor;ADDED*;uk.ac.ed.ph.aardvark.gui.editor.AbstractNodeEditor
521;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserMoveNodeUpAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
521;CLASS;uk.ac.ed.ph.aardvark.gui.request.MoveNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.gui.request.AbstractServerRequest
521;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserMoveNodeDownAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
533;CLASS;uk.ac.ed.ph.aardvark.gui.request.CreateNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.gui.request.AbstractServerRequest
533;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserCreateNodeAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
543;CLASS;uk.ac.ed.ph.aardvark.gui.docs.ContentPageDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.gui.docs.ResourceDocumentModel
543;CLASS;uk.ac.ed.ph.aardvark.gui.editor.ContentPageEditor;ADDED*;uk.ac.ed.ph.aardvark.gui.editor.AbstractNodeEditor
543;CLASS;uk.ac.ed.ph.aardvark.gui.viewer.ContentPagePreviewer;ADDED*;uk.ac.ed.ph.aardvark.gui.viewer.AbstractContentNodePreviewer
551;CLASS;uk.ac.ed.ph.aardvark.gui.viewer.AbstractSimpleNodePreviewer;ADDED*;uk.ac.ed.ph.aardvark.gui.viewer.AbstractContentNodePreviewer
565;CLASS;uk.ac.ed.ph.aardvark.cms.domain.transport.NodeEditingStateLookup;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.transport.NodeEditingState
565;CLASS;uk.ac.ed.ph.aardvark.cms.editing.FigureEditingStrategy;ADDED*;uk.ac.ed.ph.aardvark.cms.editing.DefaultEditingStrategy
576;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserOpenInBrowserAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
651;CLASS;uk.ac.ed.ph.aardvark.processor.validator.WorkshopValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest
651;CLASS;uk.ac.ed.ph.aardvark.processor.validator.WorkshopValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
673;CLASS;uk.ac.ed.ph.aardvark.processor.views.OrganisationTreeWebIndexViewStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.views.OrganisationTreeWebNavigationViewStrategy
673;CLASS;uk.ac.ed.ph.aardvark.processor.views.DeploymentDOHPIndexViewStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.views.DeploymentWebIndexViewStrategy
689;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserDeleteNodeAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
689;CLASS;uk.ac.ed.ph.aardvark.gui.request.DownloadResourceRequest;ADDED*;uk.ac.ed.ph.aardvark.gui.request.AbstractServerRequest
689;CLASS;uk.ac.ed.ph.aardvark.gui.request.GetStoredResourcePathsRequest;ADDED*;uk.ac.ed.ph.aardvark.gui.request.AbstractServerRequest
689;CLASS;uk.ac.ed.ph.aardvark.gui.request.DeleteNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.gui.request.AbstractServerRequest
689;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserExportResourceAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
695;CLASS;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserImportResourceAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.TreeBrowserAction
695;CLASS;uk.ac.ed.ph.aardvark.gui.request.UploadResourceRequest;ADDED*;uk.ac.ed.ph.aardvark.gui.request.AbstractServerRequest
716;CLASS;uk.ac.ed.ph.aardvark.commons.databinding.DefaultReaderStrategy;ADDED*;uk.ac.ed.ph.aardvark.commons.databinding.SimpleReaderStrategy
757;CLASS;uk.ac.ed.ph.aardvark.webapp.DispatcherServlet;ADDED*;uk.ac.ed.ph.aardvark.webapp.DispatcherServlet
764;CLASS;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplCommitTest;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplTest
780;CLASS;uk.ac.ed.ph.aardvark.cms.domain.EditableNodeMetadata;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.CoreNodeMetadata
783;CLASS;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplCheckinTest;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplCommitTest
783;CLASS;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplCommitTest;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplTest
855;CLASS;uk.ac.ed.ph.aardvark.gui.action.ExtraTextComponentGotoLineAction;ADDED*;uk.ac.ed.ph.aardvark.gui.action.ExtraTextComponentAction
918;CLASS;uk.ac.ed.ph.aardvark.swingui.util.SimpleUndoableComboBoxModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.util.SimpleUndoableListModel
919;CLASS;uk.ac.ed.ph.aardvark.swingui.model.ContentModelTest;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.AbstractContentModelTest
919;CLASS;uk.ac.ed.ph.aardvark.swingui.request.GetChildrenMetadataRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
919;CLASS;uk.ac.ed.ph.aardvark.swingui.TreeBrowser;ADDED*;uk.ac.ed.ph.aardvark.swingui.AbstractApplicationPanel
919;CLASS;uk.ac.ed.ph.aardvark.swingui.event.ServerRequestEvent;ADDED*;uk.ac.ed.ph.aardvark.swingui.event.ApplicationEvent
919;CLASS;uk.ac.ed.ph.aardvark.swingui.action.TreeBrowserNullAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.TreeBrowserAction
919;CLASS;uk.ac.ed.ph.aardvark.swingui.action.TreeBrowserExpandAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.TreeBrowserAction
930;CLASS;uk.ac.ed.ph.aardvark.swingui.event.CompoundServerRequestEvent;ADDED*;uk.ac.ed.ph.aardvark.swingui.event.ApplicationEvent
939;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeMoveUpAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
