SmellsMetrics,Ter, 12 jun 2018 14:16:31 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"android.support.v4.app.BackStackRecord.hide(Fragment)",2,0,n/a,7,0,1,5,1
"android.support.v4.app.BackStackRecord.isAddToBackStackAllowed()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.isEmpty()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackRecord.popFromBackStack(boolean)",22,1,n/a,73,5,1,57,16
"android.support.v4.app.BackStackRecord.remove(Fragment)",2,3,n/a,7,0,1,5,1
"android.support.v4.app.BackStackRecord.replace(int,Fragment)",1,0,n/a,3,0,2,1,1
"android.support.v4.app.BackStackRecord.replace(int,Fragment,String)",2,2,n/a,7,1,3,4,2
"android.support.v4.app.BackStackRecord.run()",20,0,n/a,84,8,0,70,24
"android.support.v4.app.BackStackRecord.setBreadCrumbShortTitle(CharSequence)",0,0,n/a,5,0,1,3,1
"android.support.v4.app.BackStackRecord.setBreadCrumbShortTitle(int)",0,1,n/a,5,0,1,3,1
"android.support.v4.app.BackStackRecord.setBreadCrumbTitle(CharSequence)",0,0,n/a,5,0,1,3,1
"android.support.v4.app.BackStackRecord.setBreadCrumbTitle(int)",0,1,n/a,5,0,1,3,1
"android.support.v4.app.BackStackRecord.setCustomAnimations(int,int)",1,0,n/a,3,0,2,1,1
"android.support.v4.app.BackStackRecord.setCustomAnimations(int,int,int,int)",0,1,n/a,8,0,4,5,1
"android.support.v4.app.BackStackRecord.setTransition(int)",0,0,n/a,4,0,1,2,1
"android.support.v4.app.BackStackRecord.setTransitionStyle(int)",0,0,n/a,4,0,1,2,1
"android.support.v4.app.BackStackRecord.show(Fragment)",2,0,n/a,7,0,1,5,1
"android.support.v4.app.BackStackState.BackStackState(FragmentManagerImpl,BackStackRecord)",4,1,n/a,40,3,2,35,8
"android.support.v4.app.BackStackState.BackStackState(Parcel)",9,1,n/a,11,0,1,9,1
"android.support.v4.app.BackStackState.describeContents()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.BackStackState.instantiate(FragmentManagerImpl)",10,1,n/a,43,3,1,38,7
"android.support.v4.app.BackStackState.writeToParcel(Parcel,int)",9,0,n/a,11,0,2,9,1
"android.support.v4.app.DialogFragment.DialogFragment()",0,0,n/a,2,0,0,0,1
"android.support.v4.app.DialogFragment.dismiss()",1,1,n/a,9,0,0,1,1
"android.support.v4.app.DialogFragment.dismissAllowingStateLoss()",1,0,n/a,9,0,0,1,1
"android.support.v4.app.DialogFragment.dismissInternal(boolean)",8,3,n/a,25,2,1,16,5
"android.support.v4.app.DialogFragment.getDialog()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.DialogFragment.getLayoutInflater(Bundle)",8,3,n/a,24,1,1,12,5
"android.support.v4.app.DialogFragment.getShowsDialog()",0,0,n/a,6,0,0,1,1
"android.support.v4.app.DialogFragment.getTheme()",0,1,n/a,3,0,0,1,1
"android.support.v4.app.DialogFragment.isCancelable()",0,0,n/a,6,0,0,1,1
"android.support.v4.app.DialogFragment.onActivityCreated(Bundle)",12,7,n/a,24,2,1,16,6
"android.support.v4.app.DialogFragment.onAttach(Activity)",1,6,n/a,9,1,1,3,2
"android.support.v4.app.DialogFragment.onCancel(DialogInterface)",0,1,n/a,2,0,1,0,1
"android.support.v4.app.DialogFragment.onCreate(Bundle)",6,7,n/a,12,1,1,8,2
"android.support.v4.app.DialogFragment.onCreateDialog(Bundle)",3,1,n/a,25,0,1,1,1
"android.support.v4.app.DialogFragment.onDestroyView()",2,4,n/a,15,1,0,5,2
"android.support.v4.app.DialogFragment.onDetach()",1,4,n/a,10,1,0,3,3
"android.support.v4.app.DialogFragment.onDismiss(DialogInterface)",1,1,n/a,9,1,1,2,2
"android.support.v4.app.DialogFragment.onSaveInstanceState(Bundle)",8,2,n/a,25,2,1,15,8
"android.support.v4.app.DialogFragment.onStart()",2,3,n/a,8,1,0,4,2
"android.support.v4.app.DialogFragment.onStop()",2,4,n/a,7,1,0,3,2
"android.support.v4.app.DialogFragment.setCancelable(boolean)",1,1,n/a,13,0,1,3,2
"android.support.v4.app.DialogFragment.setShowsDialog(boolean)",0,1,n/a,20,0,1,1,1
"android.support.v4.app.DialogFragment.setStyle(int,int)",0,4,n/a,23,1,2,5,4
"android.support.v4.app.DialogFragment.show(FragmentManager,String)",3,0,n/a,18,0,2,5,1
"android.support.v4.app.DialogFragment.show(FragmentTransaction,String)",2,0,n/a,17,0,2,6,1
"android.support.v4.app.Fragment.Fragment()",0,2,n/a,19,0,0,0,1
"android.support.v4.app.Fragment.InstantiationException.InstantiationException(String,Exception)",1,3,n/a,3,0,2,1,1
"android.support.v4.app.Fragment.SavedState.SavedState(Bundle)",0,1,n/a,3,0,1,1,1
"android.support.v4.app.Fragment.SavedState.SavedState(Parcel,ClassLoader)",2,1,n/a,6,1,2,3,3
"android.support.v4.app.Fragment.SavedState.describeContents()",0,0,n/a,4,0,0,1,1
"android.support.v4.app.Fragment.SavedState.writeToParcel(Parcel,int)",1,0,n/a,4,0,2,1,1
"android.support.v4.app.Fragment.dump(String,FileDescriptor,PrintWriter,String[])",86,1,n/a,77,1,4,96,13
"android.support.v4.app.Fragment.equals(Object)",1,0,n/a,6,0,1,1,1
"android.support.v4.app.Fragment.getActivity()",0,15,n/a,6,0,0,1,1
"android.support.v4.app.Fragment.getArguments()",0,3,n/a,7,0,0,1,1
"android.support.v4.app.Fragment.getFragmentManager()",0,2,n/a,10,0,0,1,1
"android.support.v4.app.Fragment.getId()",0,0,n/a,8,0,0,1,1
"android.support.v4.app.Fragment.getLayoutInflater(Bundle)",1,3,n/a,8,0,1,1,1
"android.support.v4.app.Fragment.getLoaderManager()",2,0,n/a,14,1,0,7,3
"android.support.v4.app.Fragment.getResources()",2,4,n/a,9,1,0,3,2
"android.support.v4.app.Fragment.getRetainInstance()",0,0,n/a,3,0,0,1,1
"android.support.v4.app.Fragment.getString(int)",2,0,n/a,9,0,1,1,1
"android.support.v4.app.Fragment.getString(int,Object...)",2,0,n/a,11,0,2,1,1
"android.support.v4.app.Fragment.getTag()",0,0,n/a,6,0,0,1,1
"android.support.v4.app.Fragment.getTargetFragment()",0,0,n/a,6,0,0,1,1
"android.support.v4.app.Fragment.getTargetRequestCode()",0,0,n/a,6,0,0,1,1
"android.support.v4.app.Fragment.getText(int)",2,0,n/a,9,0,1,1,1
"android.support.v4.app.Fragment.getUserVisibleHint()",0,0,n/a,7,0,0,1,1
"android.support.v4.app.Fragment.getView()",0,7,n/a,9,0,0,1,1
