Complexity metrics,Sex, 27 out 2017 13:55:11 BRST
Method,ev(G),iv(G),v(G)
"com.loomcom.ant.tasks.jarbundler.JarBundler.processExecFileLists()",2,4,5
"com.loomcom.ant.tasks.jarbundler.JarBundler.processExecFileSets()",2,4,5
"com.loomcom.ant.tasks.jarbundler.JarBundler.processJarAttrs()",1,3,4
"com.loomcom.ant.tasks.jarbundler.JarBundler.processJarFileLists()",2,6,7
"com.loomcom.ant.tasks.jarbundler.JarBundler.processJarFileSets()",2,6,7
"com.loomcom.ant.tasks.jarbundler.JarBundler.setAboutmenuname(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setAntialiasedgraphics(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setAntialiasedtext(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setArguments(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setBundleid(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setChmod(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setDevelopmentregion(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setDir(File)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setExecs(String)",1,2,2
"com.loomcom.ant.tasks.jarbundler.JarBundler.setExecutable(File)",2,6,7
"com.loomcom.ant.tasks.jarbundler.JarBundler.setExtraClasspath(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setGrowbox(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setGrowboxintrudes(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setIcon(File)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setInfostring(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setJars(String)",1,2,2
"com.loomcom.ant.tasks.jarbundler.JarBundler.setJvmversion(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setLiveresize(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setMainClass(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setName(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setScreenmenu(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setShortVersion(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setSignature(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setSmallTabs(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setStubFile(File)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setType(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setVerbose(boolean)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setVersion(String)",1,1,1
