SmellsMetrics,Ter, 12 jun 2018 11:18:04 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"uk.ac.ed.ph.aardvark.cms.editors.HTMLEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.JPEGEditingStrategy.createSourceResourceTemplate()",2,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.JPEGEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.JavaEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy.doTextSearchAndReplaceOnSourceResource(LearningOutcomesSource,ResourceName,SearchAndReplaceMapper)",11,1,n/a,11,1,3,8,2
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy.doTextSearchAndReplaceOnSourceResource(MCQSource,ResourceName,SearchAndReplaceMapper)",25,1,n/a,21,1,3,17,3
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
