SmellsMetrics,Ter, 12 jun 2018 13:55:29 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.commons.lang3.ArrayUtils.extractIndices(HashSet<Integer>)",2,9,n/a,8,1,1,5,2
"org.apache.commons.lang3.ArrayUtils.getLength(Object)",1,28,n/a,26,1,1,3,2
"org.apache.commons.lang3.ArrayUtils.hashCode(Object)",3,10,n/a,11,0,1,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(Object[],Object)",1,11,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(Object[],Object,int)",4,14,n/a,36,3,3,17,9
"org.apache.commons.lang3.ArrayUtils.indexOf(boolean[],boolean)",1,7,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(boolean[],boolean,int)",1,10,n/a,29,2,3,10,5
"org.apache.commons.lang3.ArrayUtils.indexOf(byte[],byte)",1,8,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(byte[],byte,int)",0,10,n/a,28,2,3,10,5
"org.apache.commons.lang3.ArrayUtils.indexOf(char[],char)",1,8,n/a,14,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(char[],char,int)",0,10,n/a,29,2,3,10,5
"org.apache.commons.lang3.ArrayUtils.indexOf(double[],double)",1,9,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(double[],double,double)",1,6,n/a,16,0,3,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(double[],double,int)",1,11,n/a,28,2,3,10,5
"org.apache.commons.lang3.ArrayUtils.indexOf(double[],double,int,double)",1,12,n/a,33,2,4,12,6
"org.apache.commons.lang3.ArrayUtils.indexOf(float[],float)",1,9,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(float[],float,int)",1,11,n/a,28,2,3,10,5
"org.apache.commons.lang3.ArrayUtils.indexOf(int[],int)",1,8,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(int[],int,int)",0,10,n/a,28,2,3,10,5
"org.apache.commons.lang3.ArrayUtils.indexOf(long[],long)",1,8,n/a,13,0,2,1,1
"org.apache.commons.lang3.ArrayUtils.indexOf(long[],long,int)",0,10,n/a,28,2,3,10,5
