SmellsMetrics,Ter, 12 jun 2018 13:51:28 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.commons.logging.LogSource.setLogImplementation(String)",3,6,n/a,20,1,1,6,2
"org.apache.commons.logging.impl.AvalonLogger.AvalonLogger(Logger)",0,1,n/a,8,0,1,1,1
"org.apache.commons.logging.impl.AvalonLogger.AvalonLogger(String)",2,1,n/a,10,0,1,3,2
"org.apache.commons.logging.impl.AvalonLogger.debug(Object)",5,6,n/a,10,0,1,2,2
"org.apache.commons.logging.impl.AvalonLogger.debug(Object,Throwable)",5,6,n/a,11,0,2,2,2
"org.apache.commons.logging.impl.AvalonLogger.error(Object)",5,6,n/a,10,0,1,2,2
"org.apache.commons.logging.impl.AvalonLogger.error(Object,Throwable)",5,6,n/a,11,0,2,2,2
"org.apache.commons.logging.impl.AvalonLogger.fatal(Object)",5,6,n/a,10,0,1,2,2
"org.apache.commons.logging.impl.AvalonLogger.fatal(Object,Throwable)",5,6,n/a,11,0,2,2,2
"org.apache.commons.logging.impl.AvalonLogger.getLogger()",0,30,n/a,7,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.info(Object)",5,6,n/a,10,0,1,2,2
"org.apache.commons.logging.impl.AvalonLogger.info(Object,Throwable)",5,6,n/a,11,0,2,2,2
"org.apache.commons.logging.impl.AvalonLogger.isDebugEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.isErrorEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.isFatalEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.isInfoEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.isTraceEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.isWarnEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.AvalonLogger.setDefaultLogger(Logger)",0,2,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.AvalonLogger.trace(Object)",5,6,n/a,10,0,1,2,2
"org.apache.commons.logging.impl.AvalonLogger.trace(Object,Throwable)",5,6,n/a,11,0,2,2,2
"org.apache.commons.logging.impl.AvalonLogger.warn(Object)",5,6,n/a,10,0,1,2,2
"org.apache.commons.logging.impl.AvalonLogger.warn(Object,Throwable)",5,6,n/a,11,0,2,2,2
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.Jdk13LumberjackLogger(String)",1,0,n/a,9,0,1,2,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.debug(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.debug(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.error(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.error(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.fatal(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.fatal(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.getClassAndMethod()",24,1,n/a,33,2,0,21,4
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.getLogger()",1,9,n/a,9,1,0,3,2
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.info(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.info(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.isDebugEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.isErrorEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.isFatalEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.isInfoEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.isTraceEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.isWarnEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.log(Level,String,Throwable)",9,12,n/a,14,2,3,9,4
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.trace(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.trace(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.warn(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk13LumberjackLogger.warn(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk14Logger.Jdk14Logger(String)",1,0,n/a,9,0,1,2,1
"org.apache.commons.logging.impl.Jdk14Logger.debug(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.debug(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk14Logger.error(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.error(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk14Logger.fatal(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.fatal(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk14Logger.getLogger()",1,8,n/a,9,1,0,3,2
"org.apache.commons.logging.impl.Jdk14Logger.info(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.info(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isDebugEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isErrorEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isFatalEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isInfoEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isTraceEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk14Logger.isWarnEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Jdk14Logger.log(Level,String,Throwable)",8,12,n/a,21,2,3,13,5
"org.apache.commons.logging.impl.Jdk14Logger.trace(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.trace(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Jdk14Logger.warn(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Jdk14Logger.warn(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Log4JLogger.Log4JLogger()",0,0,n/a,2,0,0,0,1
"org.apache.commons.logging.impl.Log4JLogger.Log4JLogger(Logger)",1,0,n/a,6,0,1,2,1
"org.apache.commons.logging.impl.Log4JLogger.Log4JLogger(String)",1,0,n/a,7,0,1,2,1
"org.apache.commons.logging.impl.Log4JLogger.debug(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Log4JLogger.debug(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Log4JLogger.error(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Log4JLogger.error(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Log4JLogger.fatal(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Log4JLogger.fatal(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Log4JLogger.getLogger()",1,19,n/a,9,1,0,3,2
"org.apache.commons.logging.impl.Log4JLogger.info(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Log4JLogger.info(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.Log4JLogger.isDebugEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Log4JLogger.isErrorEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Log4JLogger.isFatalEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Log4JLogger.isInfoEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Log4JLogger.isTraceEnabled()",2,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.Log4JLogger.isWarnEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.Log4JLogger.trace(Object)",2,6,n/a,11,0,1,1,1
"org.apache.commons.logging.impl.Log4JLogger.trace(Object,Throwable)",2,6,n/a,12,0,2,1,1
"org.apache.commons.logging.impl.Log4JLogger.warn(Object)",2,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.Log4JLogger.warn(Object,Throwable)",2,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.LogFactoryImpl()",4,0,n/a,10,1,0,4,2
