SmellMetrics,Ter, 12 jun 2018 18:01:07 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.android.resources.KeyboardState.getEnum(String)",2,2,n/a,13,2,1,4,3
"com.android.resources.KeyboardState.getIndex(KeyboardState)",1,1,n/a,10,2,1,6,3
"com.android.resources.KeyboardState.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.getResourceValue()",0,4,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.KeyboardState.isValidValueForDevice()",0,0,n/a,3,0,0,1,1
"com.android.resources.Navigation.Navigation(String,String,String)",0,4,n/a,5,0,3,3,1
"com.android.resources.Navigation.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.Navigation.getEnum(String)",2,3,n/a,13,2,1,4,3
"com.android.resources.Navigation.getIndex(Navigation)",1,1,n/a,10,2,1,6,3
"com.android.resources.Navigation.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Navigation.getResourceValue()",0,2,n/a,3,0,0,1,1
"com.android.resources.Navigation.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Navigation.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.Navigation.isValidValueForDevice()",0,0,n/a,3,0,0,1,1
"com.android.resources.NavigationState.NavigationState(String,String,String)",0,2,n/a,5,0,3,3,1
"com.android.resources.NavigationState.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.NavigationState.getEnum(String)",2,2,n/a,13,2,1,4,3
"com.android.resources.NavigationState.getIndex(NavigationState)",1,1,n/a,10,2,1,6,3
"com.android.resources.NavigationState.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.NavigationState.getResourceValue()",0,2,n/a,3,0,0,1,1
"com.android.resources.NavigationState.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.NavigationState.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.NavigationState.isValidValueForDevice()",0,0,n/a,3,0,0,1,1
"com.android.resources.NightMode.NightMode(String,String,String)",0,2,n/a,5,0,3,3,1
"com.android.resources.NightMode.getByIndex(int)",1,3,n/a,10,2,1,6,3
"com.android.resources.NightMode.getEnum(String)",2,2,n/a,13,2,1,4,3
"com.android.resources.NightMode.getIndex(NightMode)",1,2,n/a,10,2,1,6,3
"com.android.resources.NightMode.getLongDisplayValue()",0,1,n/a,3,0,0,1,1
"com.android.resources.NightMode.getResourceValue()",0,3,n/a,3,0,0,1,1
"com.android.resources.NightMode.getShortDisplayValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.NightMode.isFakeValue()",0,0,n/a,3,0,0,1,1
"com.android.resources.NightMode.isValidValueForDevice()",0,0,n/a,3,0,0,1,1
"com.android.resources.ResourceEnum.getLongDisplayValue()",n/a,2,0,n/a,n/a,0,n/a,n/a
"com.android.resources.ResourceEnum.getResourceValue()",n/a,1,0,n/a,n/a,0,n/a,n/a
"com.android.resources.ResourceEnum.getShortDisplayValue()",n/a,3,0,n/a,n/a,0,n/a,n/a
"com.android.resources.ResourceEnum.isFakeValue()",n/a,2,0,n/a,n/a,0,n/a,n/a
"com.android.resources.ResourceEnum.isValidValueForDevice()",n/a,1,0,n/a,n/a,0,n/a,n/a
"com.android.resources.ResourceFolderType.ResourceFolderType(String)",0,11,n/a,3,0,1,1,1
"com.android.resources.ResourceFolderType.getFolderType(String)",2,6,n/a,13,0,1,2,1
"com.android.resources.ResourceFolderType.getName()",0,5,n/a,6,0,0,1,1
"com.android.resources.ResourceFolderType.getTypeByName(String)",2,2,n/a,13,2,1,4,3
"com.android.resources.ResourceType.ResourceType(String,String,String...)",0,23,n/a,5,0,3,3,1
"com.android.resources.ResourceType.getDisplayName()",0,6,n/a,6,0,0,1,1
"com.android.resources.ResourceType.getEnum(String)",3,10,n/a,20,4,1,8,6
"com.android.resources.ResourceType.getName()",0,19,n/a,6,0,0,1,1
"com.android.resources.ResourceType.getNames()",2,1,n/a,11,1,0,7,2
"com.android.resources.ResourceType.toString()",1,0,n/a,4,0,0,1,1
"com.android.resources.ScreenOrientation.ScreenOrientation(String,String,String)",0,3,n/a,5,0,3,3,1
"com.android.resources.ScreenOrientation.getByIndex(int)",1,1,n/a,10,2,1,6,3
"com.android.resources.ScreenOrientation.getEnum(String)",2,2,n/a,13,2,1,4,3
"com.android.resources.ScreenOrientation.getIndex(ScreenOrientation)",1,1,n/a,10,2,1,6,3
"com.android.resources.ScreenOrientation.getLongDisplayValue()",0,0,n/a,3,0,0,1,1
