Complexity metrics,Sex, 27 out 2017 11:21:48 BRST
Method,ev(G),iv(G),v(G)
"com.google.common.base.CharMatcher.replaceFrom(CharSequence,char)",2,2,4
"com.google.common.base.CharMatcher.retainFrom(CharSequence)",1,1,1
"com.google.common.base.CharMatcher.setBits(BitSet)",1,3,3
"com.google.common.base.CharMatcher.toString()",1,1,1
"com.google.common.base.CharMatcher.trimAndCollapseFrom(CharSequence,char)",2,4,5
"com.google.common.base.CharMatcher.trimFrom(CharSequence)",5,3,5
"com.google.common.base.CharMatcher.trimLeadingFrom(CharSequence)",3,2,3
"com.google.common.base.CharMatcher.trimTrailingFrom(CharSequence)",3,2,3
"com.google.common.base.CharMatcher.withToString(String)",1,1,1
"com.google.common.base.Charsets.Charsets()",1,1,1
"com.google.common.base.Defaults.Defaults()",1,1,1
"com.google.common.base.Defaults.defaultValue(Class<T>)",1,1,1
"com.google.common.base.Defaults.put(Map<Class<?>, Object>,Class<T>,T)",1,1,1
"com.google.common.base.Enums.Enums()",1,1,1
"com.google.common.base.Enums.ValueOfFunction.ValueOfFunction(Class<T>)",1,1,1
"com.google.common.base.Enums.ValueOfFunction.apply(String)",1,1,2
"com.google.common.base.Enums.ValueOfFunction.equals(Object)",1,2,2
"com.google.common.base.Enums.ValueOfFunction.hashCode()",1,1,1
"com.google.common.base.Enums.ValueOfFunction.toString()",1,1,1
"com.google.common.base.Enums.getField(Enum<?>)",1,1,2
"com.google.common.base.Enums.getIfPresent(Class<T>,String)",1,2,2
"com.google.common.base.Enums.valueOfFunction(Class<T>)",1,1,1
"com.google.common.base.Equivalence.Equals.doEquivalent(Object,Object)",1,1,1
"com.google.common.base.Equivalence.Equals.doHash(Object)",1,1,1
"com.google.common.base.Equivalence.Equals.readResolve()",1,1,1
"com.google.common.base.Equivalence.Equivalence()",1,1,1
"com.google.common.base.Equivalence.EquivalentToPredicate.EquivalentToPredicate(Equivalence<T>,T)",1,1,1
"com.google.common.base.Equivalence.EquivalentToPredicate.apply(T)",1,1,1
"com.google.common.base.Equivalence.EquivalentToPredicate.equals(Object)",3,3,4
"com.google.common.base.Equivalence.EquivalentToPredicate.hashCode()",1,1,1
"com.google.common.base.Equivalence.EquivalentToPredicate.toString()",1,1,1
"com.google.common.base.Equivalence.Identity.doEquivalent(Object,Object)",1,1,1
"com.google.common.base.Equivalence.Identity.doHash(Object)",1,1,1
"com.google.common.base.Equivalence.Identity.readResolve()",1,1,1
"com.google.common.base.Equivalence.Wrapper.Wrapper(Equivalence<? super T>,T)",1,1,1
"com.google.common.base.Equivalence.Wrapper.equals(Object)",3,4,4
"com.google.common.base.Equivalence.Wrapper.get()",1,1,1
"com.google.common.base.Equivalence.Wrapper.hashCode()",1,1,1
"com.google.common.base.Equivalence.Wrapper.toString()",1,1,1
"com.google.common.base.Equivalence.equals()",1,1,1
"com.google.common.base.Equivalence.equivalent(T,T)",3,1,4
"com.google.common.base.Equivalence.equivalentTo(T)",1,1,1
"com.google.common.base.Equivalence.hash(T)",2,1,2
"com.google.common.base.Equivalence.identity()",1,1,1
"com.google.common.base.Equivalence.onResultOf(Function<F, ? extends T>)",1,1,1
"com.google.common.base.Equivalence.pairwise()",1,1,1
"com.google.common.base.Equivalence.wrap(S)",1,1,1
"com.google.common.base.FinalizablePhantomReference.FinalizablePhantomReference(T,FinalizableReferenceQueue)",1,1,1
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader.getBaseUrl()",3,1,3
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader.loadFinalizer()",1,2,2
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader.newLoader(URL)",1,1,1
"com.google.common.base.FinalizableReferenceQueue.DirectLoader.loadFinalizer()",1,1,2
"com.google.common.base.FinalizableReferenceQueue.FinalizableReferenceQueue()",1,2,3
"com.google.common.base.FinalizableReferenceQueue.SystemLoader.loadFinalizer()",3,3,5
"com.google.common.base.FinalizableReferenceQueue.cleanUp()",2,3,4
"com.google.common.base.FinalizableReferenceQueue.close()",1,1,1
"com.google.common.base.FinalizableReferenceQueue.getStartFinalizer(Class<?>)",1,1,2
"com.google.common.base.FinalizableReferenceQueue.loadFinalizer(FinalizerLoader...)",3,2,3
"com.google.common.base.FinalizableSoftReference.FinalizableSoftReference(T,FinalizableReferenceQueue)",1,1,1
"com.google.common.base.FinalizableWeakReference.FinalizableWeakReference(T,FinalizableReferenceQueue)",1,1,1
"com.google.common.base.FunctionalEquivalence.FunctionalEquivalence(Function<F, ? extends T>,Equivalence<T>)",1,1,1
"com.google.common.base.FunctionalEquivalence.doEquivalent(F,F)",1,1,1
"com.google.common.base.FunctionalEquivalence.doHash(F)",1,1,1
"com.google.common.base.FunctionalEquivalence.equals(Object)",3,3,4
"com.google.common.base.FunctionalEquivalence.hashCode()",1,1,1
"com.google.common.base.FunctionalEquivalence.toString()",1,1,1
"com.google.common.base.Functions.ConstantFunction.ConstantFunction(E)",1,1,1
"com.google.common.base.Functions.ConstantFunction.apply(Object)",1,1,1
"com.google.common.base.Functions.ConstantFunction.equals(Object)",2,2,2
"com.google.common.base.Functions.ConstantFunction.hashCode()",1,2,2
"com.google.common.base.Functions.ConstantFunction.toString()",1,1,1
"com.google.common.base.Functions.ForMapWithDefault.ForMapWithDefault(Map<K, ? extends V>,V)",1,1,1
"com.google.common.base.Functions.ForMapWithDefault.apply(K)",1,2,3
"com.google.common.base.Functions.ForMapWithDefault.equals(Object)",2,3,3
"com.google.common.base.Functions.ForMapWithDefault.hashCode()",1,1,1
"com.google.common.base.Functions.ForMapWithDefault.toString()",1,1,1
"com.google.common.base.Functions.FunctionComposition.FunctionComposition(Function<B, C>,Function<A, ? extends B>)",1,1,1
"com.google.common.base.Functions.FunctionComposition.apply(A)",1,1,1
"com.google.common.base.Functions.FunctionComposition.equals(Object)",2,3,3
"com.google.common.base.Functions.FunctionComposition.hashCode()",1,1,1
"com.google.common.base.Functions.FunctionComposition.toString()",1,1,1
"com.google.common.base.Functions.FunctionForMapNoDefault.FunctionForMapNoDefault(Map<K, V>)",1,1,1
"com.google.common.base.Functions.FunctionForMapNoDefault.apply(K)",1,2,2
"com.google.common.base.Functions.FunctionForMapNoDefault.equals(Object)",2,2,2
