Complexity metrics,Ter, 24 out 2017 16:51:12 BRST
Method,ev(G),iv(G),v(G)
"com.android.ant.DependencyGraph.readFile(String)",2,3,4
"com.android.ant.IfElseTask.createCondition()",2,1,2
"com.android.ant.IfElseTask.createElse()",1,1,1
"com.android.ant.IfElseTask.createThen()",1,1,1
"com.android.ant.IfElseTask.execute()",3,5,9
"com.android.ant.IfElseTask.setCondition(boolean)",1,1,1
"com.android.ant.NewSetupTask.checkManifest(Project,AndroidVersion)",6,9,11
"com.android.ant.NewSetupTask.execute()",17,17,32
"com.android.ant.NewSetupTask.getDirectDependencies(File,IPropertySource)",4,4,6
"com.android.ant.NewSetupTask.getProjectLibraries(Project)",1,1,1
"com.android.ant.NewSetupTask.getVersion(Project)",3,5,7
"com.android.ant.NewSetupTask.processReferencedLibraries(Project,IAndroidTarget)",3,7,8
"com.android.ant.NewSetupTask.resolveFullLibraryDependencies(List<File>,List<File>)",1,3,3
"com.android.ant.NewSetupTask.setAndroidAidlFileOut(String)",1,1,1
"com.android.ant.NewSetupTask.setAndroidJarFileOut(String)",1,1,1
"com.android.ant.NewSetupTask.setBootclasspathrefOut(String)",1,1,1
"com.android.ant.NewSetupTask.setProjectLibrariesJarsOut(String)",1,1,1
"com.android.ant.NewSetupTask.setProjectLibrariesLibsOut(String)",1,1,1
"com.android.ant.NewSetupTask.setProjectLibrariesPackageOut(String)",1,1,1
"com.android.ant.NewSetupTask.setProjectLibrariesResOut(String)",1,1,1
"com.android.ant.NewSetupTask.setProjectLibrariesRootOut(String)",1,1,1
"com.android.ant.NewSetupTask.setProjectTypeOut(String)",1,1,1
"com.android.ant.NewSetupTask.setRenderScriptExeOut(String)",1,1,1
"com.android.ant.NewSetupTask.setRenderScriptIncludeDirOut(String)",1,1,1
"com.android.ant.RenderScriptTask.createSource()",1,1,1
"com.android.ant.RenderScriptTask.execute()",5,7,11
"com.android.ant.RenderScriptTask.setExecutable(Path)",1,1,1
"com.android.ant.RenderScriptTask.setFramework(Path)",1,1,1
"com.android.ant.RenderScriptTask.setGenFolder(Path)",1,1,1
"com.android.ant.RenderScriptTask.setResFolder(Path)",1,1,1
"com.android.ant.SetupTask.execute()",1,1,1
"com.android.ant.SetupTask.setImport(boolean)",1,1,1
"com.android.ant.TaskHelper.checkSinglePath(String,Path)",2,2,2
"com.android.ant.TaskHelper.getSdkLocation(Project)",3,3,4
"com.android.ant.TaskHelper.getToolsRevision(File)",2,2,4
"com.android.ant.XPathTask.execute()",4,3,9
"com.android.ant.XPathTask.setDefault(String)",1,1,1
"com.android.ant.XPathTask.setExpression(String)",1,1,1
"com.android.ant.XPathTask.setInput(Path)",1,1,1
"com.android.ant.XPathTask.setOutput(String)",1,1,1
"com.android.archquery.Main.main(String[])",1,10,10
"com.android.assetstudiolib.GraphicGenerator.getClipartIcon(String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getClipartImage(String)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getClipartNames()",3,6,7
"com.android.assetstudiolib.GraphicGenerator.getScaleFactor(Density)",1,1,1
"com.android.assetstudiolib.GraphicGenerator.getStencilImage(String)",1,1,1
"com.android.assetstudiolib.LauncherIconGenerator.LauncherIconGenerator(GraphicGeneratorContext,Options)",1,1,1
"com.android.assetstudiolib.LauncherIconGenerator.Options.Shape.Shape(String)",1,1,1
"com.android.assetstudiolib.LauncherIconGenerator.Options.Style.Style(String)",1,1,1
"com.android.assetstudiolib.LauncherIconGenerator.generate()",1,2,2
"com.android.assetstudiolib.MenuIconGenerator.MenuIconGenerator(GraphicGeneratorContext,Options)",1,1,1
"com.android.assetstudiolib.MenuIconGenerator.generate()",1,1,1
"com.android.assetstudiolib.TextRenderUtil.renderTextImage(String,Options)",2,2,5
"com.android.assetstudiolib.Util.FillEffect.FillEffect(Paint)",1,1,1
"com.android.assetstudiolib.Util.ShadowEffect.ShadowEffect(double,double,double,Color,double,boolean)",1,1,1
"com.android.assetstudiolib.Util.blurredImage(BufferedImage,double)",2,4,6
"com.android.assetstudiolib.Util.drawCenterCrop(Graphics2D,BufferedImage,Rectangle)",1,2,2
"com.android.assetstudiolib.Util.drawCenterInside(Graphics2D,BufferedImage,Rectangle)",1,2,2
"com.android.assetstudiolib.Util.drawEffects(Graphics2D,BufferedImage,int,int,Effect[])",5,7,9
"com.android.assetstudiolib.Util.filledImage(BufferedImage,Paint)",1,1,1
"com.android.assetstudiolib.Util.invertedAlphaImage(BufferedImage)",1,1,1
"com.android.assetstudiolib.Util.newArgbBufferedImage(int,int)",1,1,1
"com.android.assetstudiolib.Util.operatedImage(BufferedImage,BufferedImageOp)",1,1,1
"com.android.assetstudiolib.Util.paddedImage(BufferedImage,int)",2,1,2
"com.android.assetstudiolib.Util.scaleRectangle(Rectangle,float)",1,1,1
"com.android.assetstudiolib.Util.scaledImage(BufferedImage,int,int)",1,1,1
"com.android.assetstudiolib.Util.trimmedImage(BufferedImage)",2,4,6
"com.android.chimpchat.AllTests.main(String[])",1,2,2
"com.android.chimpchat.AllTests.suite(Class<? extends TestCase>...)",1,2,2
"com.android.chimpchat.ChimpChat.ChimpChat(IChimpBackend)",1,1,1
"com.android.chimpchat.ChimpChat.createBackendByName(String)",3,1,3
"com.android.chimpchat.ChimpChat.getInstance()",1,1,1
"com.android.chimpchat.ChimpChat.getInstance(Map<String, String>)",2,1,2
"com.android.chimpchat.ChimpChat.shutdown()",1,1,1
"com.android.chimpchat.ChimpChat.waitForConnection()",1,1,1
"com.android.chimpchat.ChimpChat.waitForConnection(long,String)",1,1,1
"com.android.chimpchat.ChimpManager.ChimpManager(Socket)",1,1,1
"com.android.chimpchat.ChimpManager.close()",1,4,4
"com.android.chimpchat.ChimpManager.done()",1,1,1
"com.android.chimpchat.ChimpManager.finalize()",1,1,1
"com.android.chimpchat.ChimpManager.getRootView()",2,2,3
"com.android.chimpchat.ChimpManager.getVariable(String)",2,1,2
"com.android.chimpchat.ChimpManager.getViewsWithText(String)",2,2,3
"com.android.chimpchat.ChimpManager.keyDown(String)",1,1,1
"com.android.chimpchat.ChimpManager.keyUp(String)",1,1,1
"com.android.chimpchat.ChimpManager.listVariable()",1,2,2
"com.android.chimpchat.ChimpManager.listViewIds()",1,2,2
"com.android.chimpchat.ChimpManager.parseResponseForExtra(String)",2,1,2
"com.android.chimpchat.ChimpManager.parseResponseForSuccess(String)",3,1,3
"com.android.chimpchat.ChimpManager.press(PhysicalButton)",1,1,1
"com.android.chimpchat.ChimpManager.press(String)",1,1,1
"com.android.chimpchat.ChimpManager.queryView(String,List<String>,String)",2,3,3
"com.android.chimpchat.ChimpManager.quit()",1,1,2
"com.android.chimpchat.ChimpManager.sendMonkeyEvent(String)",1,1,1
"com.android.chimpchat.ChimpManager.sendMonkeyEventAndGetResponse(String)",1,1,1
"com.android.chimpchat.ChimpManager.tap(int,int)",1,1,1
"com.android.chimpchat.ChimpManager.touch(int,int)",1,1,1
"com.android.chimpchat.ChimpManager.touchDown(int,int)",1,1,1
"com.android.chimpchat.ChimpManager.touchMove(int,int)",1,1,1
"com.android.chimpchat.ChimpManager.touchUp(int,int)",1,1,1
"com.android.chimpchat.ChimpManager.type(String)",5,3,5
"com.android.chimpchat.ChimpManager.type(char)",1,1,1
"com.android.chimpchat.ChimpManager.wake()",1,1,1
"com.android.chimpchat.ImageUtilsTest.checkImagesHaveSamePixels(BufferedImage,BufferedImage)",6,4,6
"com.android.chimpchat.ImageUtilsTest.createBufferedImage(String)",1,1,1
"com.android.chimpchat.ImageUtilsTest.createRawImage(String)",1,1,1
"com.android.chimpchat.ImageUtilsTest.testImageConversionNew()",1,1,1
"com.android.chimpchat.ImageUtilsTest.testImageConversionOld()",1,1,1
"com.android.chimpchat.adb.AdbBackend.AdbBackend()",1,1,1
"com.android.chimpchat.adb.AdbBackend.AdbBackend(String)",1,1,1
"com.android.chimpchat.adb.AdbBackend.findAdb()",3,4,4
"com.android.chimpchat.adb.AdbBackend.findAttachedDevice(String)",3,2,3
"com.android.chimpchat.adb.AdbBackend.shutdown()",1,2,2
"com.android.chimpchat.adb.AdbBackend.waitForConnection()",1,1,1
"com.android.chimpchat.adb.AdbBackend.waitForConnection(long,String)",3,5,5
"com.android.chimpchat.adb.AdbChimpDevice.AdbChimpDevice(IDevice)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.broadcastIntent(String,String,String,String,Collection<String>,Map<String, Object>,String,int)",1,1,1
