Complexity metrics,Ter, 24 out 2017 16:51:12 BRST
Method,ev(G),iv(G),v(G)
"com.android.ide.eclipse.adt.AdtPlugin.printf(String,Object...)",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.readEmbeddedFile(String)",2,3,3
"com.android.ide.eclipse.adt.AdtPlugin.readEmbeddedFileAsStream(String)",2,4,4
"com.android.ide.eclipse.adt.AdtPlugin.readEmbeddedTextFile(String)",2,4,4
"com.android.ide.eclipse.adt.AdtPlugin.readFile(File)",1,2,2
"com.android.ide.eclipse.adt.AdtPlugin.readFile(IFile)",1,2,5
"com.android.ide.eclipse.adt.AdtPlugin.readFile(Reader)",3,5,6
"com.android.ide.eclipse.adt.AdtPlugin.readFile(ResourceFile)",1,3,4
"com.android.ide.eclipse.adt.AdtPlugin.removeTargetListener(ITargetChangeListener)",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.reparseSdk()",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.setFileProperty(IFile,QualifiedName,String)",1,2,2
"com.android.ide.eclipse.adt.AdtPlugin.setProjectToCheck(IJavaProject)",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.setProjectToResolve(IJavaProject)",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.setupDefaultEditor(GlobalProjectMonitor)",5,39,41
"com.android.ide.eclipse.adt.AdtPlugin.showAndroidConsole()",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.start(BundleContext)",1,4,4
"com.android.ide.eclipse.adt.AdtPlugin.startEditors()",1,3,3
"com.android.ide.eclipse.adt.AdtPlugin.stop(BundleContext)",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.stopEditors()",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.streamContains(Reader,String)",9,10,12
"com.android.ide.eclipse.adt.AdtPlugin.updateTargetListeners(IAndroidTarget)",1,3,3
"com.android.ide.eclipse.adt.AdtPlugin.updateTargetListeners(IProject)",1,3,3
"com.android.ide.eclipse.adt.AdtPlugin.warning(String,Object...)",1,1,1
"com.android.ide.eclipse.adt.AdtPlugin.writeFile(File,String)",1,5,5
"com.android.ide.eclipse.adt.AdtPluginTest.testReadStream()",1,1,1
"com.android.ide.eclipse.adt.AdtPluginTest.testReadWriteFile()",1,1,1
"com.android.ide.eclipse.adt.AdtPluginTest.testReaderContains()",1,1,1
"com.android.ide.eclipse.adt.AdtUtils.capitalize(String)",2,3,4
"com.android.ide.eclipse.adt.AdtUtils.editDistance(String,String)",1,4,6
"com.android.ide.eclipse.adt.AdtUtils.endsWithIgnoreCase(String,String)",1,1,1
"com.android.ide.eclipse.adt.AdtUtils.getActiveEditor()",3,3,3
"com.android.ide.eclipse.adt.AdtUtils.getActiveFile()",3,3,3
"com.android.ide.eclipse.adt.AdtUtils.getActiveTextEditor()",3,3,3
"com.android.ide.eclipse.adt.AdtUtils.stripWhitespace(String)",1,3,3
"com.android.ide.eclipse.adt.AdtUtilsTest.testCapitalize()",1,1,1
"com.android.ide.eclipse.adt.AdtUtilsTest.testEditDistance()",1,1,1
"com.android.ide.eclipse.adt.AdtUtilsTest.testEndsWithIgnoreCase()",1,1,1
"com.android.ide.eclipse.adt.AdtUtilsTest.testStripWhitespace()",1,1,1
"com.android.ide.eclipse.adt.AndroidPrintStream.AndroidPrintStream(IProject,String,OutputStream)",1,1,1
"com.android.ide.eclipse.adt.AndroidPrintStream.getMessageTag(String)",2,2,2
"com.android.ide.eclipse.adt.AndroidPrintStream.println(String)",1,3,3
"com.android.ide.eclipse.adt.AndroidPrintStream.setPrefix(String)",1,1,1
"com.android.ide.eclipse.adt.DebuggerConnector.connectDebugger(String,int,int)",2,2,2
"com.android.ide.eclipse.adt.Messages.Messages()",1,1,1
"com.android.ide.eclipse.adt.SourceRevealer.reveal(String,String,int)",2,2,2
"com.android.ide.eclipse.adt.ToolsLocator.getAdbLocation()",1,1,1
"com.android.ide.eclipse.adt.ToolsLocator.getHprofConvLocation()",1,1,1
"com.android.ide.eclipse.adt.ToolsLocator.getTraceViewLocation()",1,1,1
"com.android.ide.eclipse.adt.internal.VersionCheck.checkVersion(String,CheckSdkErrorHandler)",5,9,14
"com.android.ide.eclipse.adt.internal.actions.AddCompatibilityJarAction.copyJarIntoProject(IProject,File,IProgressMonitor)",1,4,4
"com.android.ide.eclipse.adt.internal.actions.AddCompatibilityJarAction.init(IWorkbenchWindow)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.AddCompatibilityJarAction.install(IProject,boolean)",5,11,12
"com.android.ide.eclipse.adt.internal.actions.AddCompatibilityJarAction.run(IAction)",1,6,6
"com.android.ide.eclipse.adt.internal.actions.AddCompatibilityJarAction.selectionChanged(IAction,ISelection)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.AddCompatibilityJarAction.setActivePart(IAction,IWorkbenchPart)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.AvdManagerAction.dispose()",1,1,1
"com.android.ide.eclipse.adt.internal.actions.AvdManagerAction.init(IWorkbenchWindow)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.AvdManagerAction.run(IAction)",1,2,2
"com.android.ide.eclipse.adt.internal.actions.AvdManagerAction.selectionChanged(IAction,ISelection)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.AvdManagerAction.setActivePart(IAction,IWorkbenchPart)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.DexDumpAction.dexDumpProject(IProject)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.DexDumpAction.grabProcessOutput(IProject,String[],File)",5,6,13
"com.android.ide.eclipse.adt.internal.actions.DexDumpAction.run(IAction)",1,6,6
"com.android.ide.eclipse.adt.internal.actions.DexDumpAction.runDexDump(IProject,IProgressMonitor)",5,19,21
"com.android.ide.eclipse.adt.internal.actions.DexDumpAction.selectionChanged(IAction,ISelection)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.DexDumpAction.setActivePart(IAction,IWorkbenchPart)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.FixProjectAction.fixProject(IProject)",1,10,10
"com.android.ide.eclipse.adt.internal.actions.FixProjectAction.init(IWorkbenchWindow)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.FixProjectAction.run(IAction)",1,6,6
"com.android.ide.eclipse.adt.internal.actions.FixProjectAction.selectionChanged(IAction,ISelection)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.FixProjectAction.setActivePart(IAction,IWorkbenchPart)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.SdkManagerAction.dispose()",1,1,1
"com.android.ide.eclipse.adt.internal.actions.SdkManagerAction.init(IWorkbenchWindow)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.SdkManagerAction.run(IAction)",1,3,3
"com.android.ide.eclipse.adt.internal.actions.SdkManagerAction.selectionChanged(IAction,ISelection)",1,1,1
"com.android.ide.eclipse.adt.internal.actions.SdkManagerAction.setActivePart(IAction,IWorkbenchPart)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.ChooseAssetTypePage()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.canFlipToNextPage()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.changeProject(IProject)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.createControl(Composite)",1,2,2
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.getOutputName()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.getProject()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.modifyText(ModifyEvent)",3,4,4
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.setProject(IProject)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.validatePage()",1,4,5
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.widgetDefaultSelected(SelectionEvent)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ChooseAssetTypePage.widgetSelected(SelectionEvent)",1,3,3
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.ConfigureAssetSetPage()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.chooseForegroundTab(Button,Composite)",1,2,2
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.createControl(Composite)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.generatePreviews()",8,9,12
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.getImage(String,boolean)",1,5,6
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.getPadding()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.getSelectedFont()",1,1,3
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.loadImageResource(String)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.modifyText(ModifyEvent)",1,3,3
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.requestUpdatePreview(boolean)",2,1,3
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.setVisible(boolean)",1,7,7
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.updateColor(Display,RGB,boolean)",1,2,2
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.updateFontLabel(Font)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.updatePreview()",2,3,5
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.validatePage()",1,6,8
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.widgetDefaultSelected(SelectionEvent)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureAssetSetPage.widgetSelected(SelectionEvent)",1,29,29
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureLauncherAssetsPanel.ConfigureLauncherAssetsPanel(Composite,int)",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.ConfigureLauncherAssetsPanel.checkSubclass()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.CreateAssetSetWizard.CreateAssetSetWizard()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.CreateAssetSetWizard.addPages()",1,1,1
"com.android.ide.eclipse.adt.internal.assetstudio.CreateAssetSetWizard.getProject()",2,2,2
"com.android.ide.eclipse.adt.internal.assetstudio.CreateAssetSetWizard.guessProject(IStructuredSelection)",11,11,15
"com.android.ide.eclipse.adt.internal.assetstudio.CreateAssetSetWizard.init(IWorkbench,IStructuredSelection)",1,2,2
"com.android.ide.eclipse.adt.internal.assetstudio.CreateAssetSetWizard.performFinish()",6,13,16
"com.android.ide.eclipse.adt.internal.build.AaptExecException.AaptExecException(String,Throwable)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParser.checkAndMark(String,String,String,String,IProject,String,int)",13,10,19
"com.android.ide.eclipse.adt.internal.build.AaptParser.findLineTextRange(IFile,int)",7,6,8
"com.android.ide.eclipse.adt.internal.build.AaptParser.findRange(IFile,int,String)",11,12,13
"com.android.ide.eclipse.adt.internal.build.AaptParser.findRange(IFile,int,String,String)",1,4,5
"com.android.ide.eclipse.adt.internal.build.AaptParser.getNextLineMatcher(String[],int,Pattern)",3,1,3
"com.android.ide.eclipse.adt.internal.build.AaptParser.getResourceFromFullPath(String,String,IProject)",3,2,3
"com.android.ide.eclipse.adt.internal.build.AaptParser.parseOutput(List<String>,IProject)",2,2,2
"com.android.ide.eclipse.adt.internal.build.AaptParser.parseOutput(String[],IProject)",25,13,27
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.checkRanges(String,String,String,String,String)",1,2,2
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testBasic()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange1()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange10()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange11()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange12()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange2()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange3()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange4()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange5()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange6()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange7()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptParserTest.testRange9()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.AaptQuickFix()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.CreateNamespaceFix(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.apply(IDocument)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getAdditionalProposalInfo()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getContextInformation()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getDescription()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getDisplayString()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getImage()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getLabel()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.getSelection(IDocument)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.perform(IDocument)",1,2,2
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.perform(IFile)",1,3,3
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.perform(IStructuredModel)",2,2,2
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateNamespaceFix.run(IMarker)",1,4,4
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.CreateResourceProposal(IProject,String)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.apply(IDocument)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getAdditionalProposalInfo()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getContextInformation()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getDescription()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getDisplayString()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getImage()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getLabel()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.getSelection(IDocument)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.perform()",2,4,9
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.CreateResourceProposal.run(IMarker)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.canAssist(IQuickAssistInvocationContext)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.canFix(Annotation)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.computeQuickAssistProposals(IQuickAssistInvocationContext)",7,8,11
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.getErrorMessage()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.getResolutions(IMarker)",4,5,7
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.getTargetMarkerErrorMessage()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.getUnboundErrorMessage()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFix.hasResolutions(IMarker)",1,4,4
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.checkNamespaceFix(String,String)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.checkResourceFix(String,String,String)",3,4,5
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.testCaseNeedsUniqueProject()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.testQuickFix1()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.testQuickFix2()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.testQuickFix3()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptQuickFixTest.testQuickFix4()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AaptResultException.AaptResultException(int,String[])",1,1,1
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.AidlProcessor(IJavaProject,IFolder)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.createFolder(IFolder,IProgressMonitor)",1,3,3
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.doCompileFiles(List<IFile>,BaseBuilder,IProject,IAndroidTarget,List<IPath>,List<IFile>,IProgressMonitor)",1,9,9
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.execAidl(BaseBuilder,IProject,String[],IFile,boolean)",2,8,9
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.getAidlOutputFile(IFile,boolean,IProgressMonitor)",2,4,4
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.getAidlType(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.getExtension()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.getSavePropertyName()",1,1,1
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.loadOutputAndDependencies()",1,2,3
"com.android.ide.eclipse.adt.internal.build.AidlProcessor.parseAidlOutput(ArrayList<String>,IFile)",4,3,5
"com.android.ide.eclipse.adt.internal.build.BaseBuilderTest.testParseAaptOutput()",1,1,1
"com.android.ide.eclipse.adt.internal.build.BuildHelper.BuildHelper(IProject,AndroidPrintStream,AndroidPrintStream,boolean,boolean)",1,1,1
"com.android.ide.eclipse.adt.internal.build.BuildHelper.checkFileForPackaging(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.BuildHelper.checkFolderForPackaging(IFolder)",1,1,1
"com.android.ide.eclipse.adt.internal.build.BuildHelper.createWindowsProguardConfig(List<String>)",2,2,4
"com.android.ide.eclipse.adt.internal.build.BuildHelper.executeAapt(String,String,List<String>,String,String,String,int)",2,19,19
"com.android.ide.eclipse.adt.internal.build.BuildHelper.executeDx(IJavaProject,String[],String)",3,4,6
"com.android.ide.eclipse.adt.internal.build.BuildHelper.finalDebugPackage(String,String,String,IJavaProject,List<IProject>,List<IJavaProject>,ResourceMarker)",2,3,7
"com.android.ide.eclipse.adt.internal.build.BuildHelper.finalPackage(String,String,String,IJavaProject,List<IProject>,List<IJavaProject>,String,PrivateKey,X509Certificate,ResourceMarker)",5,19,21
"com.android.ide.eclipse.adt.internal.build.BuildHelper.getCompiledCodePaths(boolean,ResourceMarker)",1,2,2
"com.android.ide.eclipse.adt.internal.build.BuildHelper.getExternalDependencies(ResourceMarker)",1,9,9
"com.android.ide.eclipse.adt.internal.build.BuildHelper.getJavaProjects(List<IProject>)",1,4,4
"com.android.ide.eclipse.adt.internal.build.BuildHelper.getProjectJavaOutputs()",1,1,1
"com.android.ide.eclipse.adt.internal.build.BuildHelper.getProjectJavaOutputs(List<IJavaProject>)",3,5,6
"com.android.ide.eclipse.adt.internal.build.BuildHelper.grabProcessOutput(IProject,Process,ArrayList<String>)",5,7,9
"com.android.ide.eclipse.adt.internal.build.BuildHelper.handleClasspathEntry(IClasspathEntry,IWorkspaceRoot,ArrayList<String>,ResourceMarker)",1,11,11
"com.android.ide.eclipse.adt.internal.build.BuildHelper.packageResources(IFile,List<IProject>,String,int,String,String)",1,8,10
"com.android.ide.eclipse.adt.internal.build.BuildHelper.quotePath(String)",1,1,2
"com.android.ide.eclipse.adt.internal.build.BuildHelper.quoteWinArg(String)",1,2,3
"com.android.ide.eclipse.adt.internal.build.BuildHelper.runProguard(File,File,String[],File,File)",2,17,17
"com.android.ide.eclipse.adt.internal.build.BuildHelper.updateCrunchCache()",1,3,3
"com.android.ide.eclipse.adt.internal.build.BuildHelper.writeFolderResources(IArchiveBuilder,IJavaProject,IFolder)",4,3,5
"com.android.ide.eclipse.adt.internal.build.BuildHelper.writeResources(IArchiveBuilder,IJavaProject)",1,1,1
"com.android.ide.eclipse.adt.internal.build.BuildHelper.writeStandardProjectResources(IArchiveBuilder,IJavaProject,IWorkspaceRoot)",1,4,4
"com.android.ide.eclipse.adt.internal.build.BuildHelper.writeStandardResources(IArchiveBuilder,IJavaProject,List<IJavaProject>)",1,4,4
"com.android.ide.eclipse.adt.internal.build.DexException.DexException(String)",1,1,1
"com.android.ide.eclipse.adt.internal.build.DexException.DexException(String,Throwable)",1,1,1
"com.android.ide.eclipse.adt.internal.build.DexWrapper.createErrorStatus(String,Throwable)",1,1,1
"com.android.ide.eclipse.adt.internal.build.DexWrapper.loadDex(String)",2,7,7
"com.android.ide.eclipse.adt.internal.build.DexWrapper.run(String,String[],boolean,PrintStream,PrintStream)",3,6,6
"com.android.ide.eclipse.adt.internal.build.DexWrapper.unload()",1,1,1
"com.android.ide.eclipse.adt.internal.build.ExecResultException.ExecResultException(int,String[])",1,1,1
"com.android.ide.eclipse.adt.internal.build.ExecResultException.getErrorCode()",1,1,1
"com.android.ide.eclipse.adt.internal.build.ExecResultException.getLabel()",1,1,1
"com.android.ide.eclipse.adt.internal.build.ExecResultException.getMessage()",1,1,1
"com.android.ide.eclipse.adt.internal.build.ExecResultException.getOutput()",1,1,1
"com.android.ide.eclipse.adt.internal.build.ExecResultException.toString()",1,1,5
"com.android.ide.eclipse.adt.internal.build.Messages.Messages()",1,1,1
"com.android.ide.eclipse.adt.internal.build.NativeLibInJarException.NativeLibInJarException(JarStatus,String,String,String[])",1,1,1
"com.android.ide.eclipse.adt.internal.build.NativeLibInJarException.getAdditionalInfo()",1,1,1
"com.android.ide.eclipse.adt.internal.build.NativeLibInJarException.getJarName()",1,1,1
"com.android.ide.eclipse.adt.internal.build.NativeLibInJarException.getStatus()",1,1,1
"com.android.ide.eclipse.adt.internal.build.ProguardExecException.ProguardExecException(String,Throwable)",1,1,1
"com.android.ide.eclipse.adt.internal.build.ProguardResultException.ProguardResultException(int,String[])",1,1,1
"com.android.ide.eclipse.adt.internal.build.ProguardResultException.getLabel()",1,1,1
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.RenderScriptProcessor(IJavaProject,IFolder)",1,1,1
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.RsChangeHandler.filterResourceFolder(IContainer)",1,1,1
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.RsChangeHandler.handleGeneratedFile(IFile,int)",5,8,8
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.doCompileFiles(List<IFile>,BaseBuilder,IProject,IAndroidTarget,List<IPath>,List<IFile>,IProgressMonitor)",1,8,8
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.doRemoveFiles(SourceFileData)",1,2,2
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.execLlvmRsCc(BaseBuilder,IProject,String[],IFile,boolean)",2,8,9
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.fillList(String[],List<IFile>)",1,4,4
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.getDependencyFileFor(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.getDependencyFolder(IFile)",2,2,2
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.getExtension()",1,1,1
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.getSavePropertyName()",1,1,1
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.loadOutputAndDependencies()",1,3,3
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.parseDependencyFile(SourceFileData,File)",1,3,3
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.parseDependencyFileFor(IFile)",2,3,3
"com.android.ide.eclipse.adt.internal.build.RenderScriptProcessor.parseLlvmOutput(ArrayList<String>)",5,4,7
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.addFileToCompile(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.addRemovedFile(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.filterResourceFolder(IContainer)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.getFilesToCompile()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.getProcessor()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.getRemovedFiles()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.handleGeneratedFile(IFile,int)",3,3,4
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.handleResourceFile(IFile,int)",1,2,2
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.handleSourceFile(IFile,int)",1,3,3
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.init(SourceProcessor)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceChangeHandler.reset()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.SourceFileData(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.SourceFileData(IFile,IFile)",1,2,2
"com.android.ide.eclipse.adt.internal.build.SourceFileData.SourceFileData(IFile,List<IFile>,List<IFile>)",1,3,3
"com.android.ide.eclipse.adt.internal.build.SourceFileData.dependsOn(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.generated(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.getDependencyFiles()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.getOutput()",2,2,2
"com.android.ide.eclipse.adt.internal.build.SourceFileData.getOutputFiles()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.getSourceFile()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceFileData.setDependencyFiles(List<IFile>)",1,2,2
"com.android.ide.eclipse.adt.internal.build.SourceFileData.setOutputFile(IFile)",1,2,2
"com.android.ide.eclipse.adt.internal.build.SourceFileData.setOutputFiles(List<IFile>)",1,2,2
"com.android.ide.eclipse.adt.internal.build.SourceFileData.toString()",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceProcessor.SourceProcessor(IJavaProject,IFolder)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceProcessor.SourceProcessor(IJavaProject,IFolder,SourceChangeHandler)",1,2,2
"com.android.ide.eclipse.adt.internal.build.SourceProcessor.addData(SourceFileData)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceProcessor.addFileToCompile(IFile)",1,1,1
"com.android.ide.eclipse.adt.internal.build.SourceProcessor.buildSourceFileList()",1,4,4
"com.android.ide.eclipse.adt.internal.build.SourceProcessor.compileFiles(BaseBuilder,IProject,IAndroidTarget,List<IPath>,IProgressMonitor)",2,7,8
