Complexity metrics,Qui, 26 out 2017 16:49:18 BRST
Method,ev(G),iv(G),v(G)
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.clearPending()",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.completeEncoding()",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.encode(InputStream,OutputStream)",1,2,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.encode(byte)",1,15,15
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.encodeChunk(byte[],int,int)",1,2,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.escape(byte)",1,2,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.flushOutput()",1,2,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.initEncoding(OutputStream)",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.lineBreak()",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.plain(byte)",1,2,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.softBreak()",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.write(byte)",1,2,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.writePending()",1,4,4
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.QuotedPrintableInputStream(InputStream)",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.asciiCharToNumericValue(byte)",4,1,7
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.close()",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.fillBuffer()",5,18,29
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.populatePushbackQueue()",4,3,7
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.read()",4,2,4
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.QuotedPrintableOutputStream(OutputStream,boolean)",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.close()",2,1,2
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.flush()",1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.write(byte[],int,int)",2,1,2
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.write(int)",1,1,1
