Chidamber-Kemerer metrics,Qui, 5 out 2017 19:33:09 BRT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.cassandra.cache.OHCProvider.OHCacheAdapter",1,0,1,0,14,14
"org.apache.cassandra.cache.OHCProvider.ValueSerializer",7,0,1,0,11,6
"org.apache.cassandra.cache.RefCountedMemory",1,1,3,0,10,10
"org.apache.cassandra.cache.RowCacheKey",9,0,1,0,11,10
"org.apache.cassandra.cache.RowCacheSentinel",1,0,0,0,4,5
"org.apache.cassandra.cache.SerializingCache",5,0,2,0,26,34
"org.apache.cassandra.cache.SerializingCacheProvider",2,0,1,0,2,1
"org.apache.cassandra.cache.SerializingCacheProvider.RowCacheSerializer",6,0,1,0,7,6
"org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService",3,0,6,0,20,19
"org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService.FutureTask",4,1,4,1,14,11
"org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService.LocalSessionFutureTask",2,2,1,0,6,3
"org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor",6,0,3,0,7,10
"org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor.UncomplainingRunnable",2,0,1,0,3,2
"org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor",10,0,11,0,25,34
"org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor.LocalSessionWrapper",1,0,2,0,4,4
"org.apache.cassandra.concurrent.ExecutorLocal",n/a,n/a,n/a,n/a,2,n/a
"org.apache.cassandra.concurrent.ExecutorLocals",6,0,1,0,4,7
"org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor",1,0,0,0,1,1
"org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutorMBean",n/a,n/a,n/a,n/a,2,n/a
"org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor",11,0,5,2,22,22
"org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutorMBean",n/a,n/a,n/a,n/a,4,n/a
"org.apache.cassandra.concurrent.LocalAwareExecutorService",n/a,n/a,n/a,n/a,2,n/a
"org.apache.cassandra.concurrent.NamedThreadFactory",29,0,2,0,10,11
"org.apache.cassandra.concurrent.SEPExecutor",9,0,2,0,32,42
"org.apache.cassandra.concurrent.SEPWorker",2,0,1,0,17,44
"org.apache.cassandra.concurrent.SEPWorker.Work",3,0,4,0,8,8
"org.apache.cassandra.concurrent.ScheduledExecutors",25,0,0,0,0,0
"org.apache.cassandra.concurrent.SharedExecutorPool",2,0,2,0,5,8
"org.apache.cassandra.concurrent.Stage",26,n/a,2,n/a,4,8
"org.apache.cassandra.concurrent.StageManager",28,0,3,0,11,7
"org.apache.cassandra.concurrent.StageManager.TracingExecutor",1,0,1,0,3,3
"org.apache.cassandra.config.Config",51,0,2,0,3,6
