Package,PDcy,PDpt
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ngram",3,1
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.nl",6,0
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.no",7,1
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.path",3,1
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.payloads",4,4
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.position",3,1
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.pt",7,2
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.query",3,0
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.reverse",3,2
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ro",5,0
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ru",6,1
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.shingle",7,4
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.sinks",3,0
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.snowball",7,19
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.sv",7,1
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.synonym",5,2
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.th",5,2
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.tr",6,2
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.util",0,20
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.wikipedia",3,3
"contrib.analyzers.common.src.java.org.tartarus.snowball",1,5
"contrib.analyzers.common.src.java.org.tartarus.snowball.ext",1,17
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.ar",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.bg",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.br",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.ca",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.compound.hyphenation",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.cz",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.el",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.eu",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.fa",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.ga",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.gl",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.hi",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.hy",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.id",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.lv",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.pt",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.ro",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.snowball",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.th",0,0
"contrib.analyzers.common.src.resources.org.apache.lucene.analysis.tr",0,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.ar",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.bg",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.br",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.ca",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.charfilter",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.cjk",6,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.cn",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.compound",6,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.cz",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.da",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.de",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.el",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.en",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.es",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.eu",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.fa",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.fi",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.fr",7,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.ga",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.gl",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.hi",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.hu",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.hunspell",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.hy",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.id",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.in",2,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.it",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.lv",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.miscellaneous",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.ngram",3,0
