Package,PDcy,PDpt
"fr.jayasoft.ivy",20,23
"fr.jayasoft.ivy.ant",13,0
"fr.jayasoft.ivy.circular",2,2
"fr.jayasoft.ivy.conf",0,0
"fr.jayasoft.ivy.conflict",2,2
"fr.jayasoft.ivy.event",7,7
"fr.jayasoft.ivy.event.download",4,2
"fr.jayasoft.ivy.event.resolve",4,4
"fr.jayasoft.ivy.extendable",0,10
"fr.jayasoft.ivy.external.m2",7,2
"fr.jayasoft.ivy.filter",1,4
"fr.jayasoft.ivy.latest",1,4
"fr.jayasoft.ivy.matcher",2,7
"fr.jayasoft.ivy.namespace",3,3
"fr.jayasoft.ivy.parser",6,5
"fr.jayasoft.ivy.report",5,7
"fr.jayasoft.ivy.repository",5,11
"fr.jayasoft.ivy.repository.file",2,2
"fr.jayasoft.ivy.repository.sftp",3,1
"fr.jayasoft.ivy.repository.ssh",5,2
"fr.jayasoft.ivy.repository.url",3,7
"fr.jayasoft.ivy.repository.vfs",5,1
"fr.jayasoft.ivy.repository.vsftp",5,1
"fr.jayasoft.ivy.resolver",20,4
"fr.jayasoft.ivy.status",2,5
"fr.jayasoft.ivy.tools.analyser",4,0
"fr.jayasoft.ivy.url",1,7
"fr.jayasoft.ivy.util",3,23
"fr.jayasoft.ivy.version",5,3
"fr.jayasoft.ivy.xml",16,7

